CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
2213572,,CPT4,CPT4
2213573,,CPT4,CPT4
2213575,,CPT4,CPT4
2213576,,CPT4,CPT4
2213577,,CPT4,CPT4
2213598,,CPT4,CPT4
2213599,,CPT4,CPT4
2213601,,CPT4,CPT4
2213581,,CPT4,CPT4
2213583,,CPT4,CPT4
2213582,,CPT4,CPT4
2213593,,CPT4,CPT4
2213590,,CPT4,CPT4
2213592,,CPT4,CPT4
2213591,,CPT4,CPT4
2213600,,CPT4,CPT4
2213594,,CPT4,CPT4
2213596,,CPT4,CPT4
2213597,,CPT4,CPT4
2213595,,CPT4,CPT4
2213588,,CPT4,CPT4
2213587,,CPT4,CPT4
2213589,,CPT4,CPT4
2213580,,CPT4,CPT4
2213578,,CPT4,CPT4
2213579,,CPT4,CPT4
2213584,,CPT4,CPT4
2213585,,CPT4,CPT4
2213586,,CPT4,CPT4
