TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
193782,46177005,End-stage renal disease,SNOMED,Mapped from,3372285,End stage renal disease,46177005,Clinical Finding,Nebraska Lexicon
193782,46177005,End-stage renal disease,SNOMED,Subsumes,37018886,End stage renal disease due to hypertension,111411000119103,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Has interpretation,4125554,Impaired,260379002,Qualifier Value,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Has finding site,4271678,Kidney structure,64033007,Body Structure,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,40395607,End stage renal failure,197755007,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Subsumes,4128200,End stage renal failure untreated by renal replacement therapy,236434000,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Concept same_as from,40395607,End stage renal failure,197755007,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,45601717,End-stage renal disease,N18.0,ICD10 code,ICD10
193782,46177005,End-stage renal disease,SNOMED,Concept poss_eq from,40395140,Renal failure: [chronic] or [end stage],197654000,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Subsumes,4125970,End stage renal failure with renal transplant,236436003,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,1126443,Patients with a diagnosis of end stage renal disease (esrd),M1187,HCPCS,HCPCS
193782,46177005,End-stage renal disease,SNOMED,Asso finding of,46287046,Family history of end stage renal disease,959511000000100,Context-dependent,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Due to of,4179226,Dependence on dialysis due to end stage renal disease,429075005,Clinical Finding,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Has clinical course,4236661,Chronic,90734009,Qualifier Value,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Is a,198185,Chronic renal failure,90688005,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Concept same_as from,40395141,End stage renal failure,197655004,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,40395141,End stage renal failure,197655004,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Is a,37156007,End stage organ failure,153611000112104,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Due to of,4181476,Dependence on hemodialysis due to end stage renal disease,428982002,Clinical Finding,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,44827889,End stage renal disease,585.6,4-dig billing code,ICD9CM
193782,46177005,End-stage renal disease,SNOMED,Concept same_as from,3554166,End stage renal disease,219601000000106,Undefined,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,3125969,End stage renal failure,197655004,Clinical Finding,Nebraska Lexicon
193782,46177005,End-stage renal disease,SNOMED,Maps to,193782,End-stage renal disease,46177005,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,193782,End-stage renal disease,46177005,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Has status,40642537,Defined,900000000000073002,Model Comp,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Has Module,40642539,SNOMED CT core,900000000000207008,Model Comp,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,3554166,End stage renal disease,219601000000106,Undefined,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,45924283,Chronic Renal Insufficiency, Stage V,118647,Diagnosis,CIEL
193782,46177005,End-stage renal disease,SNOMED,Subsumes,4030520,End stage renal failure on dialysis,236435004,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,45947399,ESRD (end-stage renal disease),118646,Diagnosis,CIEL
193782,46177005,End-stage renal disease,SNOMED,Subsumes,44782813,Hypertensive renal disease with end stage renal failure,698810000,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,45548653,End stage renal disease,N18.6,4-char billing code,ICD10CM
193782,46177005,End-stage renal disease,SNOMED,Mapped from,3126013,End stage renal failure,197755007,Clinical Finding,Nebraska Lexicon
193782,46177005,End-stage renal disease,SNOMED,Concept poss_eq from,40317621,Renal failure: [chronic] or [end stage],155856009,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Due to of,4177685,Dependence on peritoneal dialysis due to end stage renal disease,428937001,Clinical Finding,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Due to of,37209515,Dependence on continuous ambulatory peritoneal dialysis due to end stage renal disease,16320631000119104,Clinical Finding,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Has interprets,40282772,Renal function,11953005,Observable Entity,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Mapped from,3125968,Renal failure: [chronic] or [end stage],197654000,Clinical Finding,Nebraska Lexicon
193782,46177005,End-stage renal disease,SNOMED,Due to of,45768813,Anemia in end stage renal disease,707324008,Disorder,SNOMED
193782,46177005,End-stage renal disease,SNOMED,Subsumes,45768813,Anemia in end stage renal disease,707324008,Disorder,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Has clinical course,4236661,Chronic,90734009,Qualifier Value,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Is a,4030520,End stage renal failure on dialysis,236435004,Disorder,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Has interpretation,4125554,Impaired,260379002,Qualifier Value,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Has status,40642537,Defined,900000000000073002,Model Comp,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Has Module,40642539,SNOMED CT core,900000000000207008,Model Comp,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Maps to,601166,End stage renal disease on dialysis due to drug induced diabetes mellitus,368471000119109,Disorder,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Has finding site,4271678,Kidney structure,64033007,Body Structure,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Has interprets,40282772,Renal function,11953005,Observable Entity,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Is a,609309,Disorder of kidney due to drug induced diabetes mellitus,368201000119100,Disorder,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Has due to,4202383,Drug-induced diabetes mellitus,5368009,Disorder,SNOMED
601166,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus,SNOMED,Mapped from,601166,End stage renal disease on dialysis due to drug induced diabetes mellitus,368471000119109,Disorder,SNOMED
4030520,236435004,End stage renal failure on dialysis,SNOMED,Has interprets,40282772,Renal function,11953005,Observable Entity,SNOMED
4030520,236435004,End stage renal failure on dialysis,SNOMED,Has finding site,4271678,Kidney structure,64033007,Body Structure,SNOMED
4030520,236435004,End stage renal failure on dialysis,SNOMED,Subsumes,601166,End stage renal disease on dialysis due to drug induced diabetes mellitus,368471000119109,Disorder,SNOMED
4030520,236435004,End stage renal failure on dialysis,SNOMED,Due to of,45757392,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus,127991000119101,Disorder,SNOMED
4030520,236435004,End stage renal failure on dialysis,SNOMED,Subsumes,45769904,End stage renal disease on dialysis due to type 1 diabetes mellitus,90771000119100,Disorder,SNOMED
4030520,236435004,End stage renal failure on dialysis,SNOMED,Due to of,45772751,Hypertension concurrent and due to end stage renal disease on dialysis,704667004,Disorder,SNOMED
4030520,236435004,End stage renal failure on dialysis,SNOMED,Maps to,4030520,End stage renal failure on dialysis,236435004,Disorder,SNOMED
4030520,236435004,End stage renal failure on dialysis,SNOMED,Subsumes,45772751,Hypertension concurrent and due to end stage renal disease on dialysis,704667004,Disorder,SNOMED
4030520,236435004,End stage renal failure on dialysis,SNOMED,Mapped from,4030520,End stage renal failure on dialysis,236435004,Disorder,SNOMED
