CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
3372285,End stage renal disease,Clinical Finding,Nebraska Lexicon
37018886,End stage renal disease due to hypertension,Disorder,SNOMED
40395607,End stage renal failure,Disorder,SNOMED
4128200,End stage renal failure untreated by renal replacement therapy,Disorder,SNOMED
45601717,End-stage renal disease,ICD10 code,ICD10
40395140,Renal failure: [chronic] or [end stage],Disorder,SNOMED
4125970,End stage renal failure with renal transplant,Disorder,SNOMED
1126443,Patients with a diagnosis of end stage renal disease (esrd),HCPCS,HCPCS
46287046,Family history of end stage renal disease,Context-dependent,SNOMED
4179226,Dependence on dialysis due to end stage renal disease,Clinical Finding,SNOMED
40395141,End stage renal failure,Disorder,SNOMED
4181476,Dependence on hemodialysis due to end stage renal disease,Clinical Finding,SNOMED
44827889,End stage renal disease,4-dig billing code,ICD9CM
3554166,End stage renal disease,Undefined,SNOMED
3125969,End stage renal failure,Clinical Finding,Nebraska Lexicon
193782,End-stage renal disease,Disorder,SNOMED
45924283,Chronic Renal Insufficiency, Stage V,Diagnosis,CIEL
4030520,End stage renal failure on dialysis,Disorder,SNOMED
45947399,ESRD (end-stage renal disease),Diagnosis,CIEL
44782813,Hypertensive renal disease with end stage renal failure,Disorder,SNOMED
45548653,End stage renal disease,4-char billing code,ICD10CM
3126013,End stage renal failure,Clinical Finding,Nebraska Lexicon
40317621,Renal failure: [chronic] or [end stage],Disorder,SNOMED
4177685,Dependence on peritoneal dialysis due to end stage renal disease,Clinical Finding,SNOMED
37209515,Dependence on continuous ambulatory peritoneal dialysis due to end stage renal disease,Clinical Finding,SNOMED
40282772,Renal function,Observable Entity,SNOMED
3125968,Renal failure: [chronic] or [end stage],Clinical Finding,Nebraska Lexicon
45768813,Anemia in end stage renal disease,Disorder,SNOMED
601166,End stage renal disease on dialysis due to drug induced diabetes mellitus,Disorder,SNOMED
45757392,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus,Disorder,SNOMED
45769904,End stage renal disease on dialysis due to type 1 diabetes mellitus,Disorder,SNOMED
45772751,Hypertension concurrent and due to end stage renal disease on dialysis,Disorder,SNOMED
45757393,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus,Disorder,SNOMED
43021864,Malignant hypertensive end stage renal disease on dialysis,Disorder,SNOMED
3242693,End stage renal failure on dialysis,Clinical Finding,Nebraska Lexicon
45926096,end stage renal failure on dialysis,Diagnosis,CIEL
45769906,End stage renal disease on dialysis due to type 2 diabetes mellitus,Disorder,SNOMED
3229385,End stage renal failure with renal transplant,Clinical Finding,Nebraska Lexicon
3280225,End stage renal failure untreated by renal replacement therapy,Clinical Finding,Nebraska Lexicon
3223181,End stage renal disease due to hypertension,Clinical Finding,Nebraska Lexicon
43020455,Malignant hypertensive end stage renal disease,Disorder,SNOMED
46273164,End stage renal disease due to benign hypertension,Disorder,SNOMED
3162306,Hypertensive renal disease with end stage renal failure,Clinical Finding,Nebraska Lexicon
44782717,End stage renal disease on dialysis due to hypertension,Disorder,SNOMED
762973,Hypertensive end stage renal disease,Disorder,SNOMED
3333785,End stage renal disease due to hypertension,Clinical Finding,Nebraska Lexicon
3380470,Malignant hypertensive end stage renal disease,Clinical Finding,Nebraska Lexicon
44825426,Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease,5-dig billing code,ICD9CM
3368936,Malignant hypertensive end stage renal disease on dialysis,Clinical Finding,Nebraska Lexicon
3302754,End stage renal disease on dialysis due to hypertension,Clinical Finding,Nebraska Lexicon
4326744,Blood pressure,Observable Entity,SNOMED
3304855,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus,Clinical Finding,Nebraska Lexicon
3365166,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus,Clinical Finding,Nebraska Lexicon
3432432,Anaemia co-occurrent and due to end stage renal disease,Clinical Finding,Nebraska Lexicon
3392187,End stage renal disease on dialysis due to type 1 diabetes mellitus,Clinical Finding,Nebraska Lexicon
3169388,End stage renal disease on dialysis due to type 2 diabetes mellitus,Clinical Finding,Nebraska Lexicon
3265509,Hypertension concurrent and due to end stage renal disease on dialysis,Clinical Finding,Nebraska Lexicon
3258026,End stage renal disease due to benign hypertension,Clinical Finding,Nebraska Lexicon
601165,Chronic kidney disease stage 5 due to drug induced diabetes mellitus,Disorder,SNOMED
37017813,Chronic kidney disease stage 5 on dialysis,Disorder,SNOMED
35209278,Chronic kidney disease, stage 5,4-char billing code,ICD10CM
37018761,Chronic kidney disease stage 5 with transplant,Disorder,SNOMED
3422269,Chronic kidney disease stage 5,Clinical Finding,Nebraska Lexicon
44792254,Chronic kidney disease stage 5 with proteinuria,Disorder,SNOMED
443611,Chronic kidney disease stage 5,Disorder,SNOMED
45926955,Chronic Kidney Disease, Stage V,Diagnosis,CIEL
42506066,Chronic kidney disease, stage 5,KCD7 code,KCD7
37395652,Anemia in chronic kidney disease stage 5,Disorder,SNOMED
44792255,Chronic kidney disease stage 5 without proteinuria,Disorder,SNOMED
43531562,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,Disorder,SNOMED
1126399,Patients with a diagnosis of chronic kidney disease (ckd) stage 5,HCPCS,HCPCS
606970,Inflammation of retina due to chronic kidney disease stage 5,Disorder,SNOMED
3559379,Chronic kidney disease stage 5,Undefined,SNOMED
44837192,Chronic kidney disease, Stage V,4-dig billing code,ICD9CM
45769903,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,Disorder,SNOMED
44782690,Chronic kidney disease stage 5 due to hypertension,Disorder,SNOMED
45582394,Chronic kidney disease, stage 5,ICD10 code,ICD10
3553409,Chronic kidney disease stage 5,Disorder,SNOMED
3275047,Benign hypertensive heart disease and chronic kidney disease stage 5,Clinical Finding,Nebraska Lexicon
760850,Benign hypertensive heart disease and chronic renal disease stage 5,Disorder,SNOMED
3233078,Chronic kidney disease stage 5 on dialysis,Clinical Finding,Nebraska Lexicon
3221264,Chronic kidney disease stage 5 with transplant,Clinical Finding,Nebraska Lexicon
43020437,Malignant hypertensive chronic kidney disease stage 5,Disorder,SNOMED
3296191,Malignant hypertensive chronic kidney disease stage 5,Clinical Finding,Nebraska Lexicon
45757444,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus,Disorder,SNOMED
3237151,Diabetic stage 5 chronic renal impairment due to type 2 diabetes mellitus,Clinical Finding,Nebraska Lexicon
46270356,Chronic kidney disease stage 5 due to benign hypertension,Disorder,SNOMED
44828971,Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease,5-dig billing code,ICD9CM
3295955,Chronic kidney disease stage 5 due to hypertension,Clinical Finding,Nebraska Lexicon
44784638,Hypertensive heart AND chronic kidney disease stage 5,Disorder,SNOMED
3393270,Hypertensive heart AND chronic kidney disease stage 5,Clinical Finding,Nebraska Lexicon
46284600,CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,Disorder,SNOMED
3555445,Chronic kidney disease stage 5 with proteinuria,Undefined,SNOMED
46284602,CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,Disorder,SNOMED
46284603,CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,Disorder,SNOMED
3555446,Chronic kidney disease stage 5 with proteinuria,Undefined,SNOMED
3555448,Chronic kidney disease stage 5 without proteinuria,Undefined,SNOMED
3555447,Chronic kidney disease stage 5 without proteinuria,Undefined,SNOMED
3244126,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus,Clinical Finding,Nebraska Lexicon
3248084,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,Clinical Finding,Nebraska Lexicon
3325243,Chronic kidney disease stage 5 due to benign hypertension,Clinical Finding,Nebraska Lexicon
3561158,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,Undefined,SNOMED
3561159,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,Undefined,SNOMED
3561160,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,Undefined,SNOMED
604484,Dependence on prolonged intermittent renal replacement therapy due to renal failure,Clinical Finding,SNOMED
4086154,Function,Observable Entity,SNOMED
3194066,Requires sustained low efficiency dialysis,Clinical Finding,Nebraska Lexicon
3269256,Functional observable,Observable Entity,Nebraska Lexicon
42505949,Dependence on renal dialysis,KCD7 code,KCD7
3561568,Dependence on renal dialysis,Undefined,SNOMED
45581097,Dependence on renal dialysis,ICD10 code,ICD10
35225436,Dependence on renal dialysis,4-char billing code,ICD10CM
40482357,Dependence on peritoneal dialysis,Clinical Finding,SNOMED
40480136,Dependence on hemodialysis,Clinical Finding,SNOMED
4264843,Functional observable,Observable Entity,SNOMED
3426910,Dependence on peritoneal dialysis due to end stage renal disease,Clinical Finding,Nebraska Lexicon
3446758,Dependence on dialysis due to end stage renal disease,Clinical Finding,Nebraska Lexicon
36713020,Hyperparathyroidism due to end stage renal disease on dialysis,Disorder,SNOMED
3468346,Dependence on haemodialysis due to end stage renal disease,Clinical Finding,Nebraska Lexicon
45917365,hemodialysis status,Diagnosis,CIEL
3435447,Dependence on haemodialysis,Clinical Finding,Nebraska Lexicon
46269985,Dependence on continuous cycling peritoneal dialysis,Clinical Finding,SNOMED
3465225,Dependence on peritoneal dialysis,Clinical Finding,Nebraska Lexicon
3459331,Dependence on continuous ambulatory peritoneal dialysis,Clinical Finding,Nebraska Lexicon
3453268,Dependence on continuous cycling peritoneal dialysis,Clinical Finding,Nebraska Lexicon
619390,Prolonged intermittent renal replacement therapy,Procedure,SNOMED
44783963,Sustained low-efficiency dialysis,Procedure,SNOMED
4231018,Filtration - action,Qualifier Value,SNOMED
801350,The number of adult patient-months in the denominator who were on maintenance hemodialysis under the care of the same practitioner or group partner as of the last hemodialysis session of the reporting month using a catheter continuously for less than t...,HCPCS,HCPCS
801351,The number of adult patient-months in the denominator who were on maintenance hemodialysis using a catheter continuously for three months or longer under the care of the same practitioner or group partner as of the last hemodialysis session of the repo...,HCPCS,HCPCS
1126186,Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomos...,HCPCS,HCPCS
1126187,Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomos...,HCPCS,HCPCS
1126188,Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomos...,HCPCS,HCPCS
1126203,Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomos...,HCPCS,HCPCS
2101833,,CPT4,CPT4
4162085,Development of care plan,Procedure,SNOMED
4130003,Documentation procedure,Procedure,SNOMED
4051328,Continuous arteriovenous hemodialysis,Procedure,SNOMED
2108564,,CPT4,CPT4
2108566,,CPT4,CPT4
2108567,,CPT4,CPT4
4297090,Evaluation procedure,Procedure,SNOMED
2213572,,CPT4,CPT4
