DX_CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
E08,NA,NA,NA,1567906,Diabetes mellitus due to underlying condition,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
E08.0,NA,NA,NA,1567907,Diabetes mellitus due to underlying condition with hyperosmolarity,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
E08.00,E0800,Diab d/t undrl cond w hyprosm w/o nonket hyprgly-hypros coma,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),45586132,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
E08.01,E0801,Diabetes due to underlying condition w hyprosm w coma,Diabetes mellitus due to underlying condition with hyperosmolarity with coma,45557106,Diabetes mellitus due to underlying condition with hyperosmolarity with coma,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
E08.1,NA,NA,NA,1567908,Diabetes mellitus due to underlying condition with ketoacidosis,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
E08.10,E0810,Diabetes due to underlying condition w ketoacidosis w/o coma,Diabetes mellitus due to underlying condition with ketoacidosis without coma,45571649,Diabetes mellitus due to underlying condition with ketoacidosis without coma,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
E08.11,E0811,Diabetes due to underlying condition w ketoacidosis w coma,Diabetes mellitus due to underlying condition with ketoacidosis with coma,45537953,Diabetes mellitus due to underlying condition with ketoacidosis with coma,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
E08.2,NA,NA,NA,1567909,Diabetes mellitus due to underlying condition with kidney complications,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
E08.21,E0821,Diabetes due to underlying condition w diabetic nephropathy,Diabetes mellitus due to underlying condition with diabetic nephropathy,45533009,Diabetes mellitus due to underlying condition with diabetic nephropathy,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
E08.22,E0822,Diabetes due to undrl cond w diabetic chronic kidney disease,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,45552372,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
