CONCEPT_CODE,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCAB_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE
C01,45571487,Malignant neoplasm of base of tongue,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C02,45566569,Malignant neoplasm of other and unspecified parts of tongue,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C09,45561784,Malignant neoplasm of tonsil,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C10,45556963,Malignant neoplasm of oropharynx,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C15,45600480,Malignant neoplasm of oesophagus,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C16,45532893,Malignant neoplasm of stomach,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C17,45585985,Malignant neoplasm of small intestine,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C19,45561791,Malignant neoplasm of rectosigmoid junction,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C20,45542587,Malignant neoplasm of rectum,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C21,45755315,Malignant neoplasm of anus and anal canal,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C26,45581203,Malignant neoplasm of other and ill-defined digestive organs,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C37,45605264,Malignant neoplasm of thymus,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C39,45605266,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C41,45595650,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C43,45571501,Malignant melanoma of skin,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C46,45561805,Kaposi sarcoma,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C50,45571518,Malignant neoplasm of breast,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C56,45542614,Malignant neoplasm of ovary,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C57,45556998,Malignant neoplasm of other and unspecified female genital organs,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C58,45605281,Malignant neoplasm of placenta,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C60,45566610,Malignant neoplasm of penis,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C61,45547509,Malignant neoplasm of prostate,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C62,45557000,Malignant neoplasm of testis,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C63,45537827,Malignant neoplasm of other and unspecified male genital organs,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C65,45552268,Malignant neoplasm of renal pelvis,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C66,45600518,Malignant neoplasm of ureter,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C67,45552269,Malignant neoplasm of bladder,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C68,45566612,Malignant neoplasm of other and unspecified urinary organs,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C70,45557007,Malignant neoplasm of meninges,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C71,45532930,Malignant neoplasm of brain,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C73,45590920,Malignant neoplasm of thyroid gland,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C74,45590921,Malignant neoplasm of adrenal gland,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C75,45542624,Malignant neoplasm of other endocrine glands and related structures,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C76,45755340,Malignant neoplasm of other and ill-defined sites,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C83,45755342,Non-follicular lymphoma,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C88,45561870,Malignant immunoproliferative diseases,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
C90,45755347,Multiple myeloma and malignant plasma cell neoplasms,Condition,ICD10,ICD10 Hierarchy,19900501,20991231
