DX_CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
N18,NA,NA,NA,1571486,Chronic kidney disease (CKD),Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
N18.1,N181,"Chronic kidney disease, stage 1","Chronic kidney disease, stage 1                                                                                                                                                                                                                                 ",35209274,"Chronic kidney disease, stage 1",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
N18.2,N182,"Chronic kidney disease, stage 2 (mild)","Chronic kidney disease, stage 2 (mild)                                                                                                                                                                                                                          ",35209275,"Chronic kidney disease, stage 2 (mild)",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
N18.3,N183,"Chronic kidney disease, stage 3 (moderate)","Chronic kidney disease, stage 3 (moderate)                                                                                                                                                                                                                      ",35209276,"Chronic kidney disease, stage 3 (moderate)",Condition,ICD10CM,4-char nonbill code,1/1/2007,12/31/2099,TRUE
N18.30,N1830,"Chronic kidney disease, stage 3 unspecified ","Chronic kidney disease, stage 3 unspecified ",725440,"Chronic kidney disease, stage 3 unspecified",Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,TRUE
N18.31,N1831,"Chronic kidney disease, stage 3a ","Chronic kidney disease, stage 3a ",725441,"Chronic kidney disease, stage 3a",Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,TRUE
N18.32,N1832,"Chronic kidney disease, stage 3b","Chronic kidney disease, stage 3b",725442,"Chronic kidney disease, stage 3b",Condition,ICD10CM,5-char billing code,1/1/2021,12/31/2099,TRUE
N18.4,N184,"Chronic kidney disease, stage 4 (severe)","Chronic kidney disease, stage 4 (severe)                                                                                                                                                                                                                        ",35209277,"Chronic kidney disease, stage 4 (severe)",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
N18.5,N185,"Chronic kidney disease, stage 5","Chronic kidney disease, stage 5                                                                                                                                                                                                                                 ",35209278,"Chronic kidney disease, stage 5",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
N18.6,N186,End stage renal disease,End stage renal disease                                                                                                                                                                                                                                         ,45548653,End stage renal disease,Condition,ICD10CM,4-char billing code,1/1/1970,12/31/2099,TRUE
N18.9,N189,"Chronic kidney disease, unspecified","Chronic kidney disease, unspecified                                                                                                                                                                                                                             ",35209279,"Chronic kidney disease, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
