"DX_CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"D64.4","D644","Congenital dyserythropoietic anemia","Congenital dyserythropoietic anemia                                                                                                                                                                                                                             ",35206755,"Congenital dyserythropoietic anemia","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31",FALSE
"D69.42","D6942","Congenital and hereditary thrombocytopenia purpura","Congenital and hereditary thrombocytopenia purpura",45571640,"Congenital and hereditary thrombocytopenia purpura","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31",FALSE
"O36.82",NA,NA,NA,1571795,"Fetal anemia and thrombocytopenia","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",FALSE
"O36.821",NA,NA,NA,10100,"Fetal anemia and thrombocytopenia, first trimester","Condition","ICD10CM","6-char nonbill code","2014-01-01","2099-12-31",FALSE
"O36.8210","O368210","Fetal anemia and thrombocytopenia, first trimester, unsp","Fetal anemia and thrombocytopenia, first trimester, not applicable or unspecified",45548778,"Fetal anemia and thrombocytopenia, first trimester, not applicable or unspecified","Condition","ICD10CM","7-char billing code","1970-01-01","2099-12-31",FALSE
"O36.8211","O368211","Fetal anemia and thrombocytopenia, first trimester, fetus 1","Fetal anemia and thrombocytopenia, first trimester, fetus 1",45563133,"Fetal anemia and thrombocytopenia, first trimester, fetus 1","Condition","ICD10CM","7-char billing code","1970-01-01","2099-12-31",FALSE
"O36.8212","O368212","Fetal anemia and thrombocytopenia, first trimester, fetus 2","Fetal anemia and thrombocytopenia, first trimester, fetus 2",45596994,"Fetal anemia and thrombocytopenia, first trimester, fetus 2","Condition","ICD10CM","7-char billing code","1970-01-01","2099-12-31",FALSE
"O36.8213","O368213","Fetal anemia and thrombocytopenia, first trimester, fetus 3","Fetal anemia and thrombocytopenia, first trimester, fetus 3",45539164,"Fetal anemia and thrombocytopenia, first trimester, fetus 3","Condition","ICD10CM","7-char billing code","1970-01-01","2099-12-31",FALSE
"O36.8214","O368214","Fetal anemia and thrombocytopenia, first trimester, fetus 4","Fetal anemia and thrombocytopenia, first trimester, fetus 4",45548779,"Fetal anemia and thrombocytopenia, first trimester, fetus 4","Condition","ICD10CM","7-char billing code","1970-01-01","2099-12-31",FALSE
"O36.8215","O368215","Fetal anemia and thrombocytopenia, first trimester, fetus 5","Fetal anemia and thrombocytopenia, first trimester, fetus 5",45577620,"Fetal anemia and thrombocytopenia, first trimester, fetus 5","Condition","ICD10CM","7-char billing code","1970-01-01","2099-12-31",FALSE
