"CONCEPT_CODE","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCAB_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE"
"B22.1",45561748,"HIV disease resulting in lymphoid interstitial pneumonitis","Condition","ICD10","ICD10 code",19900501,20991231
"B22.2",45571463,"HIV disease resulting in wasting syndrome","Condition","ICD10","ICD10 code",19900501,20991231
"B22.7",45590847,"HIV disease resulting in multiple diseases classified elsewhere","Condition","ICD10","ICD10 code",19900501,20991231
"B23",45755326,"Human immunodeficiency virus [HIV] disease resulting in other conditions","Condition","ICD10","ICD10 Hierarchy",19900501,20991231
"B20",45571458,"Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases","Condition","ICD10","ICD10 Hierarchy",19900501,20991231
"B20.0",45552213,"HIV disease resulting in mycobacterial infection","Condition","ICD10","ICD10 code",19900501,20991231
"B20.1",45542556,"HIV disease resulting in other bacterial infections","Condition","ICD10","ICD10 code",19900501,20991231
"B20.2",45537755,"HIV disease resulting in cytomegaloviral disease","Condition","ICD10","ICD10 code",19900501,20991231
"B20.3",45566541,"HIV disease resulting in other viral infections","Condition","ICD10","ICD10 code",19900501,20991231
"B20.4",45585950,"HIV disease resulting in candidiasis","Condition","ICD10","ICD10 code",19900501,20991231
"B20.5",45600449,"HIV disease resulting in other mycoses","Condition","ICD10","ICD10 code",19900501,20991231
"B20.6",45571459,"HIV disease resulting in Pneumocystis jirovecii pneumonia","Condition","ICD10","ICD10 code",19900501,20991231
"B20.7",45542557,"HIV disease resulting in multiple infections","Condition","ICD10","ICD10 code",19900501,20991231
"B20.8",45556930,"HIV disease resulting in other infectious and parasitic diseases","Condition","ICD10","ICD10 code",19900501,20991231
"B20.9",45556931,"HIV disease resulting in unspecified infectious or parasitic disease","Condition","ICD10","ICD10 code",19900501,20991231
"B21",45755324,"Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms","Condition","ICD10","ICD10 Hierarchy",19900501,20991231
"B21.0",45571460,"HIV disease resulting in Kaposi sarcoma","Condition","ICD10","ICD10 code",19900501,20991231
"B21.1",45571461,"HIV disease resulting in Burkitt lymphoma","Condition","ICD10","ICD10 code",19900501,20991231
"B21.2",45556932,"HIV disease resulting in other types of non-Hodgkin lymphoma","Condition","ICD10","ICD10 code",19900501,20991231
"B21.7",45581152,"HIV disease resulting in multiple malignant neoplasms","Condition","ICD10","ICD10 code",19900501,20991231
"B21.8",45561747,"HIV disease resulting in other malignant neoplasms","Condition","ICD10","ICD10 code",19900501,20991231
"B21.9",45532867,"HIV disease resulting in unspecified malignant neoplasm","Condition","ICD10","ICD10 code",19900501,20991231
"B22",45755325,"Human immunodeficiency virus [HIV] disease resulting in other specified diseases","Condition","ICD10","ICD10 Hierarchy",19900501,20991231
"B22.0",45595610,"HIV disease resulting in encephalopathy","Condition","ICD10","ICD10 code",19900501,20991231
"B23.0",45576260,"Acute HIV infection syndrome","Condition","ICD10","ICD10 code",19900501,20991231
"B23.1",45532868,"HIV disease resulting in (persistent) generalized lymphadenopathy","Condition","ICD10","ICD10 code",19900501,20991231
"B23.8",45561749,"HIV disease resulting in other specified conditions","Condition","ICD10","ICD10 code",19900501,20991231
"B24",45547443,"Unspecified human immunodeficiency virus [HIV] disease","Condition","ICD10","ICD10 Hierarchy",19900501,20991231
"Z21",45566407,"Asymptomatic human immunodeficiency virus [HIV] infection status","Condition","ICD10","ICD10 Hierarchy",19900501,20991231
