"CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"B20",NA,NA,NA,35205776,"Human immunodeficiency virus [HIV] disease","Condition","ICD10CM","3-char billing code","2007-01-01","2099-12-31","TRUE"
"O98.7",NA,NA,NA,45558346,"Human immunodeficiency virus [HIV] disease complicating pregnancy, childbirth and the puerperium","Condition","ICD10CM","4-char nonbill code","2006-12-30","2099-12-31","FALSE"
"O98.71",NA,NA,NA,1571918,"Human immunodeficiency virus [HIV] disease complicating pregnancy","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31","FALSE"
"O98.711","O98711","Human immunodef virus disease comp preg, first trimester","Human immunodeficiency virus [HIV] disease complicating pregnancy, first trimester",45606666,"Human immunodeficiency virus [HIV] disease complicating pregnancy, first trimester","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31","FALSE"
"O98.712","O98712","Human immunodef virus disease comp preg, second trimester","Human immunodeficiency virus [HIV] disease complicating pregnancy, second trimester",45572902,"Human immunodeficiency virus [HIV] disease complicating pregnancy, second trimester","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31","FALSE"
"O98.713","O98713","Human immunodef virus disease comp preg, third trimester","Human immunodeficiency virus [HIV] disease complicating pregnancy, third trimester",45534320,"Human immunodeficiency virus [HIV] disease complicating pregnancy, third trimester","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31","FALSE"
"O98.719","O98719","Human immunodef virus disease comp pregnancy, unsp trimester","Human immunodeficiency virus [HIV] disease complicating pregnancy, unspecified trimester",45563193,"Human immunodeficiency virus [HIV] disease complicating pregnancy, unspecified trimester","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31","FALSE"
"O98.72","O9872","Human immunodeficiency virus disease complicating childbirth","Human immunodeficiency virus [HIV] disease complicating childbirth",45597051,"Human immunodeficiency virus [HIV] disease complicating childbirth","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31","FALSE"
"O98.73","O9873","Human immunodef virus disease complicating the puerperium","Human immunodeficiency virus [HIV] disease complicating the puerperium",45539221,"Human immunodeficiency virus [HIV] disease complicating the puerperium","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31","FALSE"
"Z21",NA,NA,NA,35225089,"Asymptomatic human immunodeficiency virus [HIV] infection status","Condition","ICD10CM","3-char billing code","2007-01-01","2099-12-31","FALSE"
