"CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE"
"C81",NA,NA,NA,1567633,"Hodgkin lymphoma","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"C81.0",NA,NA,NA,1567634,"Nodular lymphocyte predominant Hodgkin lymphoma","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
"C81.00","C8100","Nodular lymphocyte predominant Hodgkin lymphoma, unsp site","Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",45581228,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.01","C8101","Nodlr lymphocy predom Hdgkn lymph, nodes of head, face, & nk","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",45557019,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.02","C8102","Nodular lymphocy predom Hodgkin lymphoma, intrathorac nodes","Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes",45552290,"Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.03","C8103","Nodular lymphocyte predom Hodgkin lymphoma, intra-abd nodes","Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",45561837,"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.04","C8104","Nodlr lymphocy predom Hdgkn lymph, nodes of axla and upr lmb","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb",45566621,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.05","C8105","Nodlr lymphocy predom Hdgkn lymph,nodes of ing rgn & low lmb","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45590928,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.06","C8106","Nodular lymphocyte predom Hodgkin lymphoma, intrapelv nodes","Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",45561838,"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
"C81.07","C8107","Nodular lymphocyte predominant Hodgkin lymphoma, spleen","Nodular lymphocyte predominant Hodgkin lymphoma, spleen",45600535,"Nodular lymphocyte predominant Hodgkin lymphoma, spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31"
