"DX_CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE"
"O00",NA,NA,NA,1571602,"Ectopic pregnancy","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"O00.0","O000","Abdominal pregnancy","Abdominal pregnancy",35209513,"Abdominal pregnancy","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31"
"O00.00","O0000","Abdominal pregnancy without intrauterine pregnancy","Abdominal pregnancy without intrauterine pregnancy",37200942,"Abdominal pregnancy without intrauterine pregnancy","Condition","ICD10CM","5-char billing code","2017-01-01","2099-12-31"
"O00.01","O0001","Abdominal pregnancy with intrauterine pregnancy","Abdominal pregnancy with intrauterine pregnancy",37200943,"Abdominal pregnancy with intrauterine pregnancy","Condition","ICD10CM","5-char billing code","2017-01-01","2099-12-31"
"O00.1","O001","Tubal pregnancy","Tubal pregnancy",35209514,"Tubal pregnancy","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31"
"O00.10","O0010","Tubal pregnancy without intrauterine pregnancy","Tubal pregnancy without intrauterine pregnancy",37200944,"Tubal pregnancy without intrauterine pregnancy","Condition","ICD10CM","5-char nonbill code","2017-01-01","2099-12-31"
"O00.101","O00101","Right tubal pregnancy without intrauterine pregnancy","Right tubal pregnancy without intrauterine pregnancy",1326728,"Right tubal pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.102","O00102","Left tubal pregnancy without intrauterine pregnancy","Left tubal pregnancy without intrauterine pregnancy",1326729,"Left tubal pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.109","O00109","Unspecified tubal pregnancy without intrauterine pregnancy","Unspecified tubal pregnancy without intrauterine pregnancy",1326730,"Unspecified tubal pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.11","O0011","Tubal pregnancy with intrauterine pregnancy","Tubal pregnancy with intrauterine pregnancy",37200945,"Tubal pregnancy with intrauterine pregnancy","Condition","ICD10CM","5-char nonbill code","2017-01-01","2099-12-31"
"O00.111","O00111","Right tubal pregnancy with intrauterine pregnancy","Right tubal pregnancy with intrauterine pregnancy",1326731,"Right tubal pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.112","O00112","Left tubal pregnancy with intrauterine pregnancy","Left tubal pregnancy with intrauterine pregnancy",1326732,"Left tubal pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.119","O00119","Unspecified tubal pregnancy with intrauterine pregnancy","Unspecified tubal pregnancy with intrauterine pregnancy",1326733,"Unspecified tubal pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.2","O002","Ovarian pregnancy","Ovarian pregnancy",35209515,"Ovarian pregnancy","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31"
"O00.20","O0020","Ovarian pregnancy without intrauterine pregnancy","Ovarian pregnancy without intrauterine pregnancy",37200946,"Ovarian pregnancy without intrauterine pregnancy","Condition","ICD10CM","5-char nonbill code","2017-01-01","2099-12-31"
"O00.201","O00201","Right ovarian pregnancy without intrauterine pregnancy","Right ovarian pregnancy without intrauterine pregnancy",1326734,"Right ovarian pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.202","O00202","Left ovarian pregnancy without intrauterine pregnancy","Left ovarian pregnancy without intrauterine pregnancy",1326735,"Left ovarian pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.209","O00209","Unspecified ovarian pregnancy without intrauterine pregnancy","Unspecified ovarian pregnancy without intrauterine pregnancy",1326736,"Unspecified ovarian pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.21","O0021","Ovarian pregnancy with intrauterine pregnancy","Ovarian pregnancy with intrauterine pregnancy",37200947,"Ovarian pregnancy with intrauterine pregnancy","Condition","ICD10CM","5-char nonbill code","2017-01-01","2099-12-31"
"O00.211","O00211","Right ovarian pregnancy with intrauterine pregnancy","Right ovarian pregnancy with intrauterine pregnancy",1326737,"Right ovarian pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.212","O00212","Left ovarian pregnancy with intrauterine pregnancy","Left ovarian pregnancy with intrauterine pregnancy",1326738,"Left ovarian pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.219","O00219","Unspecified ovarian pregnancy with intrauterine pregnancy","Unspecified ovarian pregnancy with intrauterine pregnancy",1326739,"Unspecified ovarian pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31"
"O00.8","O008","Other ectopic pregnancy","Other ectopic pregnancy",35209516,"Other ectopic pregnancy","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31"
"O00.80","O0080","Other ectopic pregnancy without intrauterine pregnancy","Other ectopic pregnancy without intrauterine pregnancy",37200948,"Other ectopic pregnancy without intrauterine pregnancy","Condition","ICD10CM","5-char billing code","2017-01-01","2099-12-31"
"O00.81","O0081","Other ectopic pregnancy with intrauterine pregnancy","Other ectopic pregnancy with intrauterine pregnancy",37200949,"Other ectopic pregnancy with intrauterine pregnancy","Condition","ICD10CM","5-char billing code","2017-01-01","2099-12-31"
"O00.9","O009","Ectopic pregnancy, unspecified","Ectopic pregnancy, unspecified",35209517,"Ectopic pregnancy, unspecified","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31"
"O00.90","O0090","Unspecified ectopic pregnancy without intrauterine pregnancy","Unspecified ectopic pregnancy without intrauterine pregnancy",37200950,"Unspecified ectopic pregnancy without intrauterine pregnancy","Condition","ICD10CM","5-char billing code","2017-01-01","2099-12-31"
"O00.91","O0091","Unspecified ectopic pregnancy with intrauterine pregnancy","Unspecified ectopic pregnancy with intrauterine pregnancy",37200951,"Unspecified ectopic pregnancy with intrauterine pregnancy","Condition","ICD10CM","5-char billing code","2017-01-01","2099-12-31"
"O01",NA,NA,NA,1571603,"Hydatidiform mole","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"O01.0","O010","Classical hydatidiform mole","Classical hydatidiform mole",35209518,"Classical hydatidiform mole","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O01.1","O011","Incomplete and partial hydatidiform mole","Incomplete and partial hydatidiform mole",35209519,"Incomplete and partial hydatidiform mole","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O01.9","O019","Hydatidiform mole, unspecified","Hydatidiform mole, unspecified",35209520,"Hydatidiform mole, unspecified","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O02",NA,NA,NA,1571604,"Other abnormal products of conception","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"O02.0","O020","Blighted ovum and nonhydatidiform mole","Blighted ovum and nonhydatidiform mole",35209521,"Blighted ovum and nonhydatidiform mole","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O02.1","O021","Missed abortion","Missed abortion",35209522,"Missed abortion","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O02.8",NA,NA,NA,35209523,"Other specified abnormal products of conception","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31"
"O02.81","O0281","Inapprop chg quantitav hCG in early pregnancy","Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy",45582435,"Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy","Measurement","ICD10CM","5-char billing code","2006-12-30","2099-12-31"
"O02.89","O0289","Other abnormal products of conception","Other abnormal products of conception",45592169,"Other abnormal products of conception","Condition","ICD10CM","5-char billing code","2006-12-30","2099-12-31"
"O02.9","O029","Abnormal product of conception, unspecified","Abnormal product of conception, unspecified",35209524,"Abnormal product of conception, unspecified","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O03",NA,NA,NA,1571605,"Spontaneous abortion","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31"
"O03.0","O030","Genitl trct and pelvic infection fol incmpl spon abortion","Genital tract and pelvic infection following incomplete spontaneous abortion",35209525,"Genital tract and pelvic infection following incomplete spontaneous abortion","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O03.1","O031","Delayed or excessive hemor following incmpl spon abortion","Delayed or excessive hemorrhage following incomplete spontaneous abortion",35209526,"Delayed or excessive hemorrhage following incomplete spontaneous abortion","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O03.2","O032","Embolism following incomplete spontaneous abortion","Embolism following incomplete spontaneous abortion",35209527,"Embolism following incomplete spontaneous abortion","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31"
"O03.3",NA,NA,NA,1571606,"Other and unspecified complications following incomplete spontaneous abortion","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31"
