CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
A02.1,A021,Salmonella sepsis,Salmonella sepsis,35205404,Salmonella sepsis,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
A22.7,A227,Anthrax sepsis,Anthrax sepsis,35205487,Anthrax sepsis,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
A26.7,A267,Erysipelothrix sepsis,Erysipelothrix sepsis,35205504,Erysipelothrix sepsis,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
A32.7,A327,Listerial sepsis,Listerial sepsis,35205527,Listerial sepsis,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
A40,NA,NA,NA,1567285,Streptococcal sepsis,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
A40.0,A400,"Sepsis due to streptococcus, group A","Sepsis due to streptococcus, group A",35205543,"Sepsis due to streptococcus, group A",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
A40.1,A401,"Sepsis due to streptococcus, group B","Sepsis due to streptococcus, group B",35205544,"Sepsis due to streptococcus, group B",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
A40.3,A403,Sepsis due to Streptococcus pneumoniae,Sepsis due to Streptococcus pneumoniae,35205545,Sepsis due to Streptococcus pneumoniae,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
A40.8,A408,Other streptococcal sepsis,Other streptococcal sepsis,35205546,Other streptococcal sepsis,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
A40.9,A409,"Streptococcal sepsis, unspecified","Streptococcal sepsis, unspecified",35205547,"Streptococcal sepsis, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
