DX_CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
E10,NA,NA,NA,1567940,Type 1 diabetes mellitus,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
E10.1,NA,NA,NA,1567941,Type 1 diabetes mellitus with ketoacidosis,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,FALSE
E10.10,E1010,Type 1 diabetes mellitus with ketoacidosis without coma,Type 1 diabetes mellitus with ketoacidosis without coma                                                                                                                                                                                                         ,45600636,Type 1 diabetes mellitus with ketoacidosis without coma,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
E10.11,E1011,Type 1 diabetes mellitus with ketoacidosis with coma,Type 1 diabetes mellitus with ketoacidosis with coma                                                                                                                                                                                                            ,45557110,Type 1 diabetes mellitus with ketoacidosis with coma,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
E10.2,NA,NA,NA,1567942,Type 1 diabetes mellitus with kidney complications,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,FALSE
E10.21,E1021,Type 1 diabetes mellitus with diabetic nephropathy,Type 1 diabetes mellitus with diabetic nephropathy                                                                                                                                                                                                              ,45552379,Type 1 diabetes mellitus with diabetic nephropathy,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
E10.22,E1022,Type 1 diabetes mellitus w diabetic chronic kidney disease,Type 1 diabetes mellitus with diabetic chronic kidney disease                                                                                                                                                                                                   ,45547621,Type 1 diabetes mellitus with diabetic chronic kidney disease,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
E10.29,E1029,Type 1 diabetes mellitus w oth diabetic kidney complication,Type 1 diabetes mellitus with other diabetic kidney complication                                                                                                                                                                                                ,45600637,Type 1 diabetes mellitus with other diabetic kidney complication,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,FALSE
E10.3,NA,NA,NA,1567943,Type 1 diabetes mellitus with ophthalmic complications,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,FALSE
E10.31,NA,NA,NA,1567944,Type 1 diabetes mellitus with unspecified diabetic retinopathy,Condition,ICD10CM,5-char nonbill code,1/1/2012,12/31/2099,FALSE
E10.311,E10311,Type 1 diabetes w unsp diabetic retinopathy w macular edema,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema                                                                                                                                                                               ,45552381,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
E10.319,E10319,Type 1 diabetes w unsp diabetic rtnop w/o macular edema,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema                                                                                                                                                                            ,45542736,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,Condition,ICD10CM,6-char billing code,1/1/1970,12/31/2099,FALSE
E10.32,NA,NA,NA,1567945,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy,Condition,ICD10CM,5-char nonbill code,1/1/2012,12/31/2099,FALSE
E10.321,E10321,Type 1 diab w mild nonprlf diabetic rtnop w macular edema,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema                                                                                                                                                                     ,45595793,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,Condition,ICD10CM,6-char nonbill code,1/1/1970,12/31/2099,FALSE
E10.3211,E103211,"Type 1 diab with mild nonp rtnop with macular edema, r eye","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",37200141,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3212,E103212,"Type 1 diab with mild nonp rtnop with macular edema, l eye","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",37200142,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3213,E103213,"Type 1 diabetes with mild nonp rtnop with macular edema, bi","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",37200143,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3219,E103219,"Type 1 diab with mild nonp rtnop with macular edema, unsp","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",37200144,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.329,E10329,Type 1 diab w mild nonprlf diabetic rtnop w/o macular edema,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema                                                                                                                                                                  ,45591026,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,Condition,ICD10CM,6-char nonbill code,1/1/1970,12/31/2099,FALSE
E10.3291,E103291,"Type 1 diab with mild nonp rtnop without mclr edema, r eye","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",37200145,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3292,E103292,"Type 1 diab with mild nonp rtnop without mclr edema, l eye","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",37200146,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3293,E103293,"Type 1 diab with mild nonp rtnop without macular edema, bi","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",37200147,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3299,E103299,"Type 1 diab with mild nonp rtnop without macular edema, unsp","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",37200148,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.33,NA,NA,NA,1567946,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy,Condition,ICD10CM,5-char nonbill code,1/1/2012,12/31/2099,FALSE
E10.331,E10331,Type 1 diab w moderate nonprlf diab rtnop w macular edema,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema                                                                                                                                                                 ,45561947,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,Condition,ICD10CM,6-char nonbill code,1/1/1970,12/31/2099,FALSE
E10.3311,E103311,"Type 1 diab with mod nonp rtnop with macular edema, r eye","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",37200149,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3312,E103312,"Type 1 diab with mod nonp rtnop with macular edema, l eye","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",37200150,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3313,E103313,"Type 1 diab with moderate nonp rtnop with macular edema, bi","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",37200151,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3319,E103319,"Type 1 diab with mod nonp rtnop with macular edema, unsp","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",37200152,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.339,E10339,Type 1 diab w moderate nonprlf diab rtnop w/o macular edema,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema                                                                                                                                                              ,45605397,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,Condition,ICD10CM,6-char nonbill code,1/1/1970,12/31/2099,FALSE
E10.3391,E103391,"Type 1 diab with mod nonp rtnop without macular edema, r eye","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",37200153,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3392,E103392,"Type 1 diab with mod nonp rtnop without macular edema, l eye","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",37200154,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
E10.3393,E103393,"Type 1 diab with mod nonp rtnop without macular edema, bi","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",37200155,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",Condition,ICD10CM,7-char billing code,1/1/2017,12/31/2099,FALSE
