DX_CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
D61,NA,NA,NA,1567854,Other aplastic anemias and other bone marrow failure syndromes,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
D61.0,NA,NA,NA,1567855,Constitutional aplastic anemia,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
D61.01,D6101,Constitutional (pure) red blood cell aplasia,Constitutional (pure) red blood cell aplasia,45532992,Constitutional (pure) red blood cell aplasia,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
D61.02,D6102,Shwachman-Diamond syndrome,Shwachman-Diamond syndrome,785902,Shwachman-Diamond syndrome,Condition,ICD10CM,5-char billing code,10/1/2023,12/31/2099,TRUE
D61.03,NA,NA,NA,1102626,Fanconi anemia,Condition,ICD10CM,5-char billing code,10/1/2024,12/31/2099,TRUE
D61.09,D6109,Other constitutional aplastic anemia,Other constitutional aplastic anemia,45557087,Other constitutional aplastic anemia,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
D61.1,D611,Drug-induced aplastic anemia,Drug-induced aplastic anemia,35206744,Drug-induced aplastic anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
D61.2,D612,Aplastic anemia due to other external agents,Aplastic anemia due to other external agents,35206745,Aplastic anemia due to other external agents,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
D61.3,D613,Idiopathic aplastic anemia,Idiopathic aplastic anemia,35206746,Idiopathic aplastic anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
D61.8,NA,NA,NA,1567856,Other specified aplastic anemias and other bone marrow failure syndromes,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
D61.81,NA,NA,NA,45566706,Pancytopenia,Condition,ICD10CM,5-char nonbill code,1/1/1970,12/31/2099,TRUE
D61.810,D61810,Antineoplastic chemotherapy induced pancytopenia,Antineoplastic chemotherapy induced pancytopenia,45591012,Antineoplastic chemotherapy induced pancytopenia,Condition,ICD10CM,6-char billing code,12/30/2006,12/31/2099,TRUE
D61.811,D61811,Other drug-induced pancytopenia,Other drug-induced pancytopenia,45591013,Other drug-induced pancytopenia,Condition,ICD10CM,6-char billing code,12/30/2006,12/31/2099,TRUE
D61.818,D61818,Other pancytopenia,Other pancytopenia,45595770,Other pancytopenia,Condition,ICD10CM,6-char billing code,12/30/2006,12/31/2099,TRUE
D61.82,D6182,Myelophthisis,Myelophthisis,45537922,Myelophthisis,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
D61.89,D6189,Oth aplastic anemias and other bone marrow failure syndromes,Other specified aplastic anemias and other bone marrow failure syndromes,45557088,Other specified aplastic anemias and other bone marrow failure syndromes,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
D61.9,D619,"Aplastic anemia, unspecified","Aplastic anemia, unspecified",35206747,"Aplastic anemia, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
