"DX_CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"I25.81",NA,NA,NA,1569146,"Atherosclerosis of other coronary vessels without angina pectoris","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",FALSE
"I25.810","I25810","Atherosclerosis of CABG w/o angina pectoris","Atherosclerosis of coronary artery bypass graft(s) without angina pectoris                                                                                                                                                                                      ",45567167,"Atherosclerosis of coronary artery bypass graft(s) without angina pectoris","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",FALSE
"I25.811","I25811","Athscl native cor art of transplanted heart w/o ang pctrs","Atherosclerosis of native coronary artery of transplanted heart without angina pectoris                                                                                                                                                                         ",45562344,"Atherosclerosis of native coronary artery of transplanted heart without angina pectoris","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",FALSE
"I25.812","I25812","Athscl bypass of cor art of transplanted heart w/o ang pctrs","Atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris                                                                                                                                                                ",45605787,"Atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",FALSE
"I25.82","I2582","Chronic total occlusion of coronary artery","Chronic total occlusion of coronary artery                                                                                                                                                                                                                      ",45596199,"Chronic total occlusion of coronary artery","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31",FALSE
"I25.83","I2583","Coronary atherosclerosis due to lipid rich plaque","Coronary atherosclerosis due to lipid rich plaque                                                                                                                                                                                                               ",45548013,"Coronary atherosclerosis due to lipid rich plaque","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31",FALSE
"I25.84","I2584","Coronary atherosclerosis due to calcified coronary lesion","Coronary atherosclerosis due to calcified coronary lesion                                                                                                                                                                                                       ",45567168,"Coronary atherosclerosis due to calcified coronary lesion","Condition","ICD10CM","5-char billing code","2006-12-30","2099-12-31",FALSE
"I67.2","I672","Cerebral atherosclerosis","Cerebral atherosclerosis",35207830,"Cerebral atherosclerosis","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31",FALSE
"I70",NA,NA,NA,1569271,"Atherosclerosis","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.0","I700","Atherosclerosis of aorta","Atherosclerosis of aorta",35207841,"Atherosclerosis of aorta","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31",TRUE
"I70.1","I701","Atherosclerosis of renal artery","Atherosclerosis of renal artery",35207842,"Atherosclerosis of renal artery","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31",TRUE
"I70.2",NA,NA,NA,1569272,"Atherosclerosis of native arteries of the extremities","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.20",NA,NA,NA,1569273,"Unspecified atherosclerosis of native arteries of extremities","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.201","I70201","Unsp athscl native arteries of extremities, right leg","Unspecified atherosclerosis of native arteries of extremities, right leg",45557568,"Unspecified atherosclerosis of native arteries of extremities, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.202","I70202","Unsp athscl native arteries of extremities, left leg","Unspecified atherosclerosis of native arteries of extremities, left leg",45572116,"Unspecified atherosclerosis of native arteries of extremities, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.203","I70203","Unsp athscl native arteries of extremities, bilateral legs","Unspecified atherosclerosis of native arteries of extremities, bilateral legs",45596232,"Unspecified atherosclerosis of native arteries of extremities, bilateral legs","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.208","I70208","Unsp athscl native arteries of extremities, oth extremity","Unspecified atherosclerosis of native arteries of extremities, other extremity",45591494,"Unspecified atherosclerosis of native arteries of extremities, other extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.209","I70209","Unsp athscl native arteries of extremities, unsp extremity","Unspecified atherosclerosis of native arteries of extremities, unspecified extremity",45567207,"Unspecified atherosclerosis of native arteries of extremities, unspecified extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.21",NA,NA,NA,1569274,"Atherosclerosis of native arteries of extremities with intermittent claudication","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.211","I70211","Athscl native arteries of extrm w intrmt claud, right leg","Atherosclerosis of native arteries of extremities with intermittent claudication, right leg",45605828,"Atherosclerosis of native arteries of extremities with intermittent claudication, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.212","I70212","Athscl native arteries of extrm w intrmt claud, left leg","Atherosclerosis of native arteries of extremities with intermittent claudication, left leg",45562385,"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.213","I70213","Athscl native arteries of extrm w intrmt claud, bi legs","Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs",45567208,"Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.218","I70218","Athscl native arteries of extrm w intrmt claud, oth extrm","Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity",45605829,"Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.219","I70219","Athscl native arteries of extrm w intrmt claud, unsp extrm","Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity",45605830,"Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.22",NA,NA,NA,1569275,"Atherosclerosis of native arteries of extremities with rest pain","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.221","I70221","Athscl native arteries of extremities w rest pain, right leg","Atherosclerosis of native arteries of extremities with rest pain, right leg",45572117,"Atherosclerosis of native arteries of extremities with rest pain, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.222","I70222","Athscl native arteries of extremities w rest pain, left leg","Atherosclerosis of native arteries of extremities with rest pain, left leg",45596233,"Atherosclerosis of native arteries of extremities with rest pain, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.223","I70223","Athscl native arteries of extrm w rest pain, bilateral legs","Atherosclerosis of native arteries of extremities with rest pain, bilateral legs",45596234,"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.228","I70228","Athscl native arteries of extrm w rest pain, oth extremity","Atherosclerosis of native arteries of extremities with rest pain, other extremity",45581798,"Atherosclerosis of native arteries of extremities with rest pain, other extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.229","I70229","Athscl native arteries of extrm w rest pain, unsp extremity","Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity",45548056,"Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.23",NA,NA,NA,1569276,"Atherosclerosis of native arteries of right leg with ulceration","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.231","I70231","Athscl native arteries of right leg w ulceration of thigh","Atherosclerosis of native arteries of right leg with ulceration of thigh",45591495,"Atherosclerosis of native arteries of right leg with ulceration of thigh","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.232","I70232","Athscl native arteries of right leg w ulceration of calf","Atherosclerosis of native arteries of right leg with ulceration of calf",45591496,"Atherosclerosis of native arteries of right leg with ulceration of calf","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.233","I70233","Athscl native arteries of right leg w ulceration of ankle","Atherosclerosis of native arteries of right leg with ulceration of ankle",45548057,"Atherosclerosis of native arteries of right leg with ulceration of ankle","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.234","I70234","Athscl native art of right leg w ulcer of heel and midfoot","Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot",45557569,"Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.235","I70235","Athscl native arteries of right leg w ulcer oth prt foot","Atherosclerosis of native arteries of right leg with ulceration of other part of foot",45605831,"Atherosclerosis of native arteries of right leg with ulceration of other part of foot","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.238","I70238","Athscl native art of right leg with ulcer oth prt low leg","Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg",45548058,"Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.239","I70239","Athscl native arteries of right leg w ulcer of unsp site","Atherosclerosis of native arteries of right leg with ulceration of unspecified site",45596235,"Atherosclerosis of native arteries of right leg with ulceration of unspecified site","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.24",NA,NA,NA,1569277,"Atherosclerosis of native arteries of left leg with ulceration","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.241","I70241","Athscl native arteries of left leg w ulceration of thigh","Atherosclerosis of native arteries of left leg with ulceration of thigh",45581799,"Atherosclerosis of native arteries of left leg with ulceration of thigh","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.242","I70242","Athscl native arteries of left leg w ulceration of calf","Atherosclerosis of native arteries of left leg with ulceration of calf",45581800,"Atherosclerosis of native arteries of left leg with ulceration of calf","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.243","I70243","Athscl native arteries of left leg w ulceration of ankle","Atherosclerosis of native arteries of left leg with ulceration of ankle",45562386,"Atherosclerosis of native arteries of left leg with ulceration of ankle","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.244","I70244","Athscl native art of left leg w ulcer of heel and midfoot","Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot",45548059,"Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.245","I70245","Athscl native arteries of left leg w ulceration oth prt foot","Atherosclerosis of native arteries of left leg with ulceration of other part of foot",45548060,"Atherosclerosis of native arteries of left leg with ulceration of other part of foot","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.248","I70248","Athscl native art of left leg with ulcer oth prt low leg","Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg",45601065,"Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.249","I70249","Athscl native arteries of left leg w ulceration of unsp site","Atherosclerosis of native arteries of left leg with ulceration of unspecified site",45567209,"Atherosclerosis of native arteries of left leg with ulceration of unspecified site","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.25","I7025","Athscl native arteries of extremities w ulceration","Atherosclerosis of native arteries of other extremities with ulceration",45548061,"Atherosclerosis of native arteries of other extremities with ulceration","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31",TRUE
"I70.26",NA,NA,NA,1569278,"Atherosclerosis of native arteries of extremities with gangrene","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.261","I70261","Athscl native arteries of extremities w gangrene, right leg","Atherosclerosis of native arteries of extremities with gangrene, right leg",45538422,"Atherosclerosis of native arteries of extremities with gangrene, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.262","I70262","Athscl native arteries of extremities w gangrene, left leg","Atherosclerosis of native arteries of extremities with gangrene, left leg",45605832,"Atherosclerosis of native arteries of extremities with gangrene, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.263","I70263","Athscl native arteries of extrm w gangrene, bilateral legs","Atherosclerosis of native arteries of extremities with gangrene, bilateral legs",45552823,"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.268","I70268","Athscl native arteries of extrm w gangrene, oth extremity","Atherosclerosis of native arteries of extremities with gangrene, other extremity",45567210,"Atherosclerosis of native arteries of extremities with gangrene, other extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.269","I70269","Athscl native arteries of extrm w gangrene, unsp extremity","Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity",45552824,"Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.29",NA,NA,NA,1569279,"Other atherosclerosis of native arteries of extremities","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.291","I70291","Oth athscl native arteries of extremities, right leg","Other atherosclerosis of native arteries of extremities, right leg",45533483,"Other atherosclerosis of native arteries of extremities, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.292","I70292","Oth athscl native arteries of extremities, left leg","Other atherosclerosis of native arteries of extremities, left leg",45557570,"Other atherosclerosis of native arteries of extremities, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.293","I70293","Oth athscl native arteries of extremities, bilateral legs","Other atherosclerosis of native arteries of extremities, bilateral legs",45552825,"Other atherosclerosis of native arteries of extremities, bilateral legs","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.298","I70298","Oth athscl native arteries of extremities, oth extremity","Other atherosclerosis of native arteries of extremities, other extremity",45552826,"Other atherosclerosis of native arteries of extremities, other extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.299","I70299","Oth athscl native arteries of extremities, unsp extremity","Other atherosclerosis of native arteries of extremities, unspecified extremity",45605833,"Other atherosclerosis of native arteries of extremities, unspecified extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.3",NA,NA,NA,1569280,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.30",NA,NA,NA,1569281,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.301","I70301","Unsp athscl unsp type bypass of the extremities, right leg","Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",45596236,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.302","I70302","Unsp athscl unsp type bypass of the extremities, left leg","Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",45562387,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.303","I70303","Unsp athscl unsp type bypass of the extrm, bilateral legs","Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",45601066,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.308","I70308","Unsp athscl unsp type bypass of the extrm, oth extremity","Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",45552827,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.309","I70309","Unsp athscl unsp type bypass of the extrm, unsp extremity","Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",45562388,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.31",NA,NA,NA,1569282,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.311","I70311","Athscl unsp type bypass of extrm w intrmt claud, right leg","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, right leg",45581801,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.312","I70312","Athscl unsp type bypass of extrm w intrmt claud, left leg","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, left leg",45557571,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.313","I70313","Athscl unsp type bypass of the extrm w intrmt claud, bi legs","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",45557572,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.318","I70318","Athscl unsp type bypass of extrm w intrmt claud, oth extrm","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, other extremity",45591497,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, other extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.319","I70319","Athscl unsp type bypass of extrm w intrmt claud, unsp extrm","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",45572118,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.32",NA,NA,NA,1569283,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.321","I70321","Athscl unsp type bypass of the extrm w rest pain, right leg","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg",45576903,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.322","I70322","Athscl unsp type bypass of the extrm w rest pain, left leg","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg",45576904,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.323","I70323","Athscl unsp type bypass of the extrm w rest pain, bi legs","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs",45567211,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.328","I70328","Athscl unsp type bypass of the extrm w rest pain, oth extrm","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity",45552828,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.329","I70329","Athscl unsp type bypass of the extrm w rest pain, unsp extrm","Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity",45601067,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
"I70.33",NA,NA,NA,1569284,"Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration","Condition","ICD10CM","5-char nonbill code","2012-01-01","2099-12-31",TRUE
"I70.331","I70331","Athscl unsp type bypass of the right leg w ulcer of thigh","Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh",45557573,"Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh","Condition","ICD10CM","6-char billing code","1970-01-01","2099-12-31",TRUE
