DX_CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
C00,NA,NA,NA,1567461,Malignant neoplasm of lip,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C00.0,C000,Malignant neoplasm of external upper lip,Malignant neoplasm of external upper lip,35206047,Malignant neoplasm of external upper lip,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C00.1,C001,Malignant neoplasm of external lower lip,Malignant neoplasm of external lower lip,35206048,Malignant neoplasm of external lower lip,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C00.2,C002,"Malignant neoplasm of external lip, unspecified","Malignant neoplasm of external lip, unspecified",35206049,"Malignant neoplasm of external lip, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C00.3,C003,"Malignant neoplasm of upper lip, inner aspect","Malignant neoplasm of upper lip, inner aspect",35206050,"Malignant neoplasm of upper lip, inner aspect",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C00.4,C004,"Malignant neoplasm of lower lip, inner aspect","Malignant neoplasm of lower lip, inner aspect",35206051,"Malignant neoplasm of lower lip, inner aspect",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C00.5,C005,"Malignant neoplasm of lip, unspecified, inner aspect","Malignant neoplasm of lip, unspecified, inner aspect",35206052,"Malignant neoplasm of lip, unspecified, inner aspect",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C00.6,C006,"Malignant neoplasm of commissure of lip, unspecified","Malignant neoplasm of commissure of lip, unspecified",35206053,"Malignant neoplasm of commissure of lip, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C00.8,C008,Malignant neoplasm of overlapping sites of lip,Malignant neoplasm of overlapping sites of lip,35206054,Malignant neoplasm of overlapping sites of lip,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C00.9,C009,"Malignant neoplasm of lip, unspecified","Malignant neoplasm of lip, unspecified",35206055,"Malignant neoplasm of lip, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C01,NA,NA,NA,35206056,Malignant neoplasm of base of tongue,Condition,ICD10CM,3-char billing code,1/1/2007,12/31/2099,TRUE
C02,NA,NA,NA,1567462,Malignant neoplasm of other and unspecified parts of tongue,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C02.0,C020,Malignant neoplasm of dorsal surface of tongue,Malignant neoplasm of dorsal surface of tongue,35206057,Malignant neoplasm of dorsal surface of tongue,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C02.1,C021,Malignant neoplasm of border of tongue,Malignant neoplasm of border of tongue,35206058,Malignant neoplasm of border of tongue,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C02.2,C022,Malignant neoplasm of ventral surface of tongue,Malignant neoplasm of ventral surface of tongue,35206059,Malignant neoplasm of ventral surface of tongue,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C02.3,C023,"Malig neoplasm of anterior two-thirds of tongue, part unsp","Malignant neoplasm of anterior two-thirds of tongue, part unspecified",35206060,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C02.4,C024,Malignant neoplasm of lingual tonsil,Malignant neoplasm of lingual tonsil,35206061,Malignant neoplasm of lingual tonsil,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C02.8,C028,Malignant neoplasm of overlapping sites of tongue,Malignant neoplasm of overlapping sites of tongue,35206062,Malignant neoplasm of overlapping sites of tongue,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C02.9,C029,"Malignant neoplasm of tongue, unspecified","Malignant neoplasm of tongue, unspecified",35206063,"Malignant neoplasm of tongue, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C03,NA,NA,NA,1567463,Malignant neoplasm of gum,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C03.0,C030,Malignant neoplasm of upper gum,Malignant neoplasm of upper gum,35206064,Malignant neoplasm of upper gum,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C03.1,C031,Malignant neoplasm of lower gum,Malignant neoplasm of lower gum,35206065,Malignant neoplasm of lower gum,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C03.9,C039,"Malignant neoplasm of gum, unspecified","Malignant neoplasm of gum, unspecified",35206066,"Malignant neoplasm of gum, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
C04,NA,NA,NA,1567464,Malignant neoplasm of floor of mouth,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C04.0,C040,Malignant neoplasm of anterior floor of mouth,Malignant neoplasm of anterior floor of mouth,35206067,Malignant neoplasm of anterior floor of mouth,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,TRUE
