CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
C91,NA,NA,NA,1567680,Lymphoid leukemia,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C91.0,NA,NA,NA,1567681,Acute lymphoblastic leukemia [ALL],Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
C91.00,C9100,Acute lymphoblastic leukemia not having achieved remission,Acute lymphoblastic leukemia not having achieved remission,45557039,Acute lymphoblastic leukemia not having achieved remission,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C91.01,C9101,"Acute lymphoblastic leukemia, in remission","Acute lymphoblastic leukemia, in remission",45557040,"Acute lymphoblastic leukemia, in remission",Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C91.02,C9102,"Acute lymphoblastic leukemia, in relapse","Acute lymphoblastic leukemia, in relapse",45566647,"Acute lymphoblastic leukemia, in relapse",Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C91.1,NA,NA,NA,1567682,Chronic lymphocytic leukemia of B-cell type,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
C91.10,C9110,Chronic lymphocytic leuk of B-cell type not achieve remis,Chronic lymphocytic leukemia of B-cell type not having achieved remission,45571568,Chronic lymphocytic leukemia of B-cell type not having achieved remission,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C91.11,C9111,Chronic lymphocytic leukemia of B-cell type in remission,Chronic lymphocytic leukemia of B-cell type in remission,45561871,Chronic lymphocytic leukemia of B-cell type in remission,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C91.12,C9112,Chronic lymphocytic leukemia of B-cell type in relapse,Chronic lymphocytic leukemia of B-cell type in relapse,45581253,Chronic lymphocytic leukemia of B-cell type in relapse,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C91.20,NA,NA,NA,35206431,"Subacute lymphocytic leukemia, not in remission",Condition,ICD10CM,5-char billing code,1/1/2007,12/31/2009,TRUE
C91.21,NA,NA,NA,35206432,"Subacute lymphocytic leukemia, in remission",Condition,ICD10CM,5-char billing code,1/1/2007,12/31/2009,TRUE
C91.3,NA,NA,NA,1567683,Prolymphocytic leukemia of B-cell type,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
C91.30,C9130,Prolymphocytic leukemia of B-cell type not achieve remission,Prolymphocytic leukemia of B-cell type not having achieved remission,45532958,Prolymphocytic leukemia of B-cell type not having achieved remission,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
