"CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"N04",NA,NA,NA,1571473,"Nephrotic syndrome","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31","TRUE"
"N04.0","N040","Nephrotic syndrome with minor glomerular abnormality","Nephrotic syndrome with minor glomerular abnormality",35209205,"Nephrotic syndrome with minor glomerular abnormality","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"N04.1","N041","Nephrotic syndrome w focal and segmental glomerular lesions","Nephrotic syndrome with focal and segmental glomerular lesions",35209206,"Nephrotic syndrome with focal and segmental glomerular lesions","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"N04.2","N042","Nephrotic syndrome w diffuse membranous glomerulonephritis","Nephrotic syndrome with diffuse membranous glomerulonephritis",35209207,"Nephrotic syndrome with diffuse membranous glomerulonephritis","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31","TRUE"
"N04.20","N0420","Nephrotic syndrome with diffuse membranous glomrlneph, unsp","Nephrotic syndrome with diffuse membranous glomerulonephritis, unspecified",786083,"Nephrotic syndrome with diffuse membranous glomerulonephritis, unspecified","Condition","ICD10CM","5-char billing code","2023-10-01","2099-12-31","TRUE"
"N04.21","N0421","Primary membranous nephropathy with nephrotic syndrome","Primary membranous nephropathy with nephrotic syndrome",786084,"Primary membranous nephropathy with nephrotic syndrome","Condition","ICD10CM","5-char billing code","2023-10-01","2099-12-31","TRUE"
"N04.22","N0422","Secondary membranous nephropathy with nephrotic syndrome","Secondary membranous nephropathy with nephrotic syndrome",786085,"Secondary membranous nephropathy with nephrotic syndrome","Condition","ICD10CM","5-char billing code","2023-10-01","2099-12-31","TRUE"
"N04.29","N0429","Other nephrotic syndrome with diffuse membranous glomrlneph","Other nephrotic syndrome with diffuse membranous glomerulonephritis",786086,"Other nephrotic syndrome with diffuse membranous glomerulonephritis","Condition","ICD10CM","5-char billing code","2023-10-01","2099-12-31","TRUE"
"N04.3","N043","Nephrotic syndrome w diffuse mesangial prolif glomrlneph","Nephrotic syndrome with diffuse mesangial proliferative glomerulonephritis",35209208,"Nephrotic syndrome with diffuse mesangial proliferative glomerulonephritis","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"N04.4","N044","Nephrotic syndrome w diffuse endocaplry prolif glomrlneph","Nephrotic syndrome with diffuse endocapillary proliferative glomerulonephritis",35209209,"Nephrotic syndrome with diffuse endocapillary proliferative glomerulonephritis","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"N04.5","N045","Nephrotic syndrome w diffuse mesangiocapillary glomrlneph","Nephrotic syndrome with diffuse mesangiocapillary glomerulonephritis",35209210,"Nephrotic syndrome with diffuse mesangiocapillary glomerulonephritis","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"N04.6","N046","Nephrotic syndrome with dense deposit disease","Nephrotic syndrome with dense deposit disease",35209211,"Nephrotic syndrome with dense deposit disease","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"N04.7","N047","Nephrotic syndrome w diffuse crescentic glomerulonephritis","Nephrotic syndrome with diffuse crescentic glomerulonephritis",35209212,"Nephrotic syndrome with diffuse crescentic glomerulonephritis","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"N04.8","N048","Nephrotic syndrome with other morphologic changes","Nephrotic syndrome with other morphologic changes",35209213,"Nephrotic syndrome with other morphologic changes","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"N04.9","N049","Nephrotic syndrome with unspecified morphologic changes","Nephrotic syndrome with unspecified morphologic changes",35209214,"Nephrotic syndrome with unspecified morphologic changes","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"N04.A","N04A","Nephrotic syndrome with C3 glomerulonephritis","Nephrotic syndrome with C3 glomerulonephritis",725436,"Nephrotic syndrome with C3 glomerulonephritis","Condition","ICD10CM","4-char billing code","2021-01-01","2099-12-31","TRUE"
"Z87.441",NA,NA,NA,45595553,"Personal history of nephrotic syndrome","Observation","ICD10CM","6-char billing code","1970-01-01","2099-12-31","FALSE"
