"DX_CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"O00",NA,NA,NA,1571602,"Ectopic pregnancy","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31",TRUE
"O00.0","O000","Abdominal pregnancy","Abdominal pregnancy",35209513,"Abdominal pregnancy","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31",TRUE
"O00.00","O0000","Abdominal pregnancy without intrauterine pregnancy","Abdominal pregnancy without intrauterine pregnancy",37200942,"Abdominal pregnancy without intrauterine pregnancy","Condition","ICD10CM","5-char billing code","2017-01-01","2099-12-31",TRUE
"O00.01","O0001","Abdominal pregnancy with intrauterine pregnancy","Abdominal pregnancy with intrauterine pregnancy",37200943,"Abdominal pregnancy with intrauterine pregnancy","Condition","ICD10CM","5-char billing code","2017-01-01","2099-12-31",TRUE
"O00.1","O001","Tubal pregnancy","Tubal pregnancy",35209514,"Tubal pregnancy","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31",TRUE
"O00.10","O0010","Tubal pregnancy without intrauterine pregnancy","Tubal pregnancy without intrauterine pregnancy",37200944,"Tubal pregnancy without intrauterine pregnancy","Condition","ICD10CM","5-char nonbill code","2017-01-01","2099-12-31",TRUE
"O00.101","O00101","Right tubal pregnancy without intrauterine pregnancy","Right tubal pregnancy without intrauterine pregnancy",1326728,"Right tubal pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.102","O00102","Left tubal pregnancy without intrauterine pregnancy","Left tubal pregnancy without intrauterine pregnancy",1326729,"Left tubal pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.109","O00109","Unspecified tubal pregnancy without intrauterine pregnancy","Unspecified tubal pregnancy without intrauterine pregnancy",1326730,"Unspecified tubal pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.11","O0011","Tubal pregnancy with intrauterine pregnancy","Tubal pregnancy with intrauterine pregnancy",37200945,"Tubal pregnancy with intrauterine pregnancy","Condition","ICD10CM","5-char nonbill code","2017-01-01","2099-12-31",TRUE
"O00.111","O00111","Right tubal pregnancy with intrauterine pregnancy","Right tubal pregnancy with intrauterine pregnancy",1326731,"Right tubal pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.112","O00112","Left tubal pregnancy with intrauterine pregnancy","Left tubal pregnancy with intrauterine pregnancy",1326732,"Left tubal pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.119","O00119","Unspecified tubal pregnancy with intrauterine pregnancy","Unspecified tubal pregnancy with intrauterine pregnancy",1326733,"Unspecified tubal pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.2","O002","Ovarian pregnancy","Ovarian pregnancy",35209515,"Ovarian pregnancy","Condition","ICD10CM","4-char nonbill code","2007-01-01","2099-12-31",TRUE
"O00.20","O0020","Ovarian pregnancy without intrauterine pregnancy","Ovarian pregnancy without intrauterine pregnancy",37200946,"Ovarian pregnancy without intrauterine pregnancy","Condition","ICD10CM","5-char nonbill code","2017-01-01","2099-12-31",TRUE
"O00.201","O00201","Right ovarian pregnancy without intrauterine pregnancy","Right ovarian pregnancy without intrauterine pregnancy",1326734,"Right ovarian pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.202","O00202","Left ovarian pregnancy without intrauterine pregnancy","Left ovarian pregnancy without intrauterine pregnancy",1326735,"Left ovarian pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.209","O00209","Unspecified ovarian pregnancy without intrauterine pregnancy","Unspecified ovarian pregnancy without intrauterine pregnancy",1326736,"Unspecified ovarian pregnancy without intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.21","O0021","Ovarian pregnancy with intrauterine pregnancy","Ovarian pregnancy with intrauterine pregnancy",37200947,"Ovarian pregnancy with intrauterine pregnancy","Condition","ICD10CM","5-char nonbill code","2017-01-01","2099-12-31",TRUE
"O00.211","O00211","Right ovarian pregnancy with intrauterine pregnancy","Right ovarian pregnancy with intrauterine pregnancy",1326737,"Right ovarian pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.212","O00212","Left ovarian pregnancy with intrauterine pregnancy","Left ovarian pregnancy with intrauterine pregnancy",1326738,"Left ovarian pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
"O00.219","O00219","Unspecified ovarian pregnancy with intrauterine pregnancy","Unspecified ovarian pregnancy with intrauterine pregnancy",1326739,"Unspecified ovarian pregnancy with intrauterine pregnancy","Condition","ICD10CM","6-char billing code","2018-01-01","2099-12-31",TRUE
