"CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"D73",NA,NA,NA,1567870,"Diseases of spleen","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31","TRUE"
"D73.0","D730","Hyposplenism","Hyposplenism",35206779,"Hyposplenism","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"D73.1","D731","Hypersplenism","Hypersplenism",35206780,"Hypersplenism","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"D73.2","D732","Chronic congestive splenomegaly","Chronic congestive splenomegaly",35206781,"Chronic congestive splenomegaly","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"D73.3","D733","Abscess of spleen","Abscess of spleen",35206782,"Abscess of spleen","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"D73.4","D734","Cyst of spleen","Cyst of spleen",35206783,"Cyst of spleen","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"D73.5","D735","Infarction of spleen","Infarction of spleen",35206784,"Infarction of spleen","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"D73.8",NA,NA,NA,1567871,"Other diseases of spleen","Condition","ICD10CM","4-char nonbill code","2012-01-01","2099-12-31","TRUE"
"D73.81","D7381","Neutropenic splenomegaly","Neutropenic splenomegaly",45576415,"Neutropenic splenomegaly","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31","TRUE"
"D73.89","D7389","Other diseases of spleen","Other diseases of spleen",45586122,"Other diseases of spleen","Condition","ICD10CM","5-char billing code","1970-01-01","2099-12-31","TRUE"
"D73.9","D739","Disease of spleen, unspecified","Disease of spleen, unspecified",35206785,"Disease of spleen, unspecified","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","TRUE"
"R16",NA,NA,NA,1572206,"Hepatomegaly and splenomegaly, not elsewhere classified","Condition","ICD10CM","3-char nonbill code","2012-01-01","2099-12-31","FALSE"
"R16.0","R160","Hepatomegaly, not elsewhere classified","Hepatomegaly, not elsewhere classified",35211295,"Hepatomegaly, not elsewhere classified","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","FALSE"
"R16.1","R161","Splenomegaly, not elsewhere classified","Splenomegaly, not elsewhere classified",35211296,"Splenomegaly, not elsewhere classified","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","FALSE"
"R16.2","R162","Hepatomegaly with splenomegaly, not elsewhere classified","Hepatomegaly with splenomegaly, not elsewhere classified",35211297,"Hepatomegaly with splenomegaly, not elsewhere classified","Condition","ICD10CM","4-char billing code","2007-01-01","2099-12-31","FALSE"
