DIAGNOSIS_CODE_ATHENA,DIAGNOSIS_CODE_MEDICARE,SHORT_NAME_MEDICARE,CONCEPT_NAME_MEDICARE,CONCEPT_ID,CONCEPT_NAME_ATHENA,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
D50,NA,NA,NA,1567838,Iron deficiency anemia,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D50.0,D500,Iron deficiency anemia secondary to blood loss (chronic),Iron deficiency anemia secondary to blood loss (chronic),35206692,Iron deficiency anemia secondary to blood loss (chronic),Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D50.1,D501,Sideropenic dysphagia,Sideropenic dysphagia,35206693,Sideropenic dysphagia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D50.8,D508,Other iron deficiency anemias,Other iron deficiency anemias,35206694,Other iron deficiency anemias,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D50.9,D509,"Iron deficiency anemia, unspecified","Iron deficiency anemia, unspecified",35206695,"Iron deficiency anemia, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D51,NA,NA,NA,1567839,Vitamin B12 deficiency anemia,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D51.0,D510,Vitamin B12 defic anemia due to intrinsic factor deficiency,Vitamin B12 deficiency anemia due to intrinsic factor deficiency,35206696,Vitamin B12 deficiency anemia due to intrinsic factor deficiency,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D51.1,D511,Vit B12 defic anemia d/t slctv vit B12 malabsorp w protein,Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria,35206697,Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D51.2,D512,Transcobalamin II deficiency,Transcobalamin II deficiency,35206698,Transcobalamin II deficiency,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D51.3,D513,Other dietary vitamin B12 deficiency anemia,Other dietary vitamin B12 deficiency anemia,35206699,Other dietary vitamin B12 deficiency anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D51.8,D518,Other vitamin B12 deficiency anemias,Other vitamin B12 deficiency anemias,35206700,Other vitamin B12 deficiency anemias,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D51.9,D519,"Vitamin B12 deficiency anemia, unspecified","Vitamin B12 deficiency anemia, unspecified",35206701,"Vitamin B12 deficiency anemia, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D52,NA,NA,NA,1567840,Folate deficiency anemia,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D52.0,D520,Dietary folate deficiency anemia,Dietary folate deficiency anemia,35206702,Dietary folate deficiency anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D52.1,D521,Drug-induced folate deficiency anemia,Drug-induced folate deficiency anemia,35206703,Drug-induced folate deficiency anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D52.8,D528,Other folate deficiency anemias,Other folate deficiency anemias,35206704,Other folate deficiency anemias,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D52.9,D529,"Folate deficiency anemia, unspecified","Folate deficiency anemia, unspecified",35206705,"Folate deficiency anemia, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D53,NA,NA,NA,1567841,Other nutritional anemias,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D53.0,D530,Protein deficiency anemia,Protein deficiency anemia,35206706,Protein deficiency anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D53.1,D531,"Other megaloblastic anemias, not elsewhere classified","Other megaloblastic anemias, not elsewhere classified",35206707,"Other megaloblastic anemias, not elsewhere classified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D53.2,D532,Scorbutic anemia,Scorbutic anemia,35206708,Scorbutic anemia,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D53.8,D538,Other specified nutritional anemias,Other specified nutritional anemias,35206709,Other specified nutritional anemias,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D53.9,D539,"Nutritional anemia, unspecified","Nutritional anemia, unspecified",35206710,"Nutritional anemia, unspecified",Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D55,NA,NA,NA,1567842,Anemia due to enzyme disorders,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,FALSE
D55.0,D550,Anemia due to glucose-6-phosphate dehydrogenase deficiency,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,35206711,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D55.1,D551,Anemia due to other disorders of glutathione metabolism,Anemia due to other disorders of glutathione metabolism,35206712,Anemia due to other disorders of glutathione metabolism,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
D55.2,D552,Anemia due to disorders of glycolytic enzymes,Anemia due to disorders of glycolytic enzymes,35206713,Anemia due to disorders of glycolytic enzymes,Condition,ICD10CM,4-char nonbill code,1/1/2007,12/31/2099,FALSE
D55.21,D5521,Anemia due to pyruvate kinase deficiency,Anemia due to pyruvate kinase deficiency,766342,Anemia due to pyruvate kinase deficiency,Condition,ICD10CM,5-char billing code,10/1/2021,12/31/2099,FALSE
D55.29,D5529,Anemia due to other disorders of glycolytic enzymes,Anemia due to other disorders of glycolytic enzymes,766343,Anemia due to other disorders of glycolytic enzymes,Condition,ICD10CM,5-char billing code,10/1/2021,12/31/2099,FALSE
D55.3,D553,Anemia due to disorders of nucleotide metabolism,Anemia due to disorders of nucleotide metabolism,35206714,Anemia due to disorders of nucleotide metabolism,Condition,ICD10CM,4-char billing code,1/1/2007,12/31/2099,FALSE
