"DX_CODE_2","CODE","LONG_DESCRIPTION","SHORT_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"414",NA,NA,NA,44827784,"Other forms of chronic ischemic heart disease","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31",FALSE
"414.0",NA,NA,NA,44835931,"Coronary atherosclerosis","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",FALSE
"414.00","41400","Coronary atherosclerosis of unspecified type of vessel, native or graft","Cor ath unsp vsl ntv/gft",44835932,"Coronary atherosclerosis of unspecified type of vessel, native or graft","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.01","41401","Coronary atherosclerosis of native coronary artery","Crnry athrscl natve vssl",44830080,"Coronary atherosclerosis of native coronary artery","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.02","41402","Coronary atherosclerosis of autologous vein bypass graft","Crn ath atlg vn bps grft",44834726,"Coronary atherosclerosis of autologous vein bypass graft","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.03","41403","Coronary atherosclerosis of nonautologous biological bypass graft","Crn ath nonatlg blg grft",44821951,"Coronary atherosclerosis of nonautologous biological bypass graft","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.04","41404","Coronary atherosclerosis of artery bypass graft","Cor ath artry bypas grft",44824238,"Coronary atherosclerosis of artery bypass graft","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.05","41405","Coronary atherosclerosis of unspecified bypass graft","Cor ath bypass graft NOS",44819703,"Coronary atherosclerosis of unspecified bypass graft","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.06","41406","Coronary atherosclerosis of native coronary artery of transplanted heart","Cor ath natv art tp hrt",44831239,"Coronary atherosclerosis of native coronary artery of transplanted heart","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.07","41407","Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart","Cor ath bps graft tp hrt",44833563,"Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.1",NA,NA,NA,44825431,"Aneurysm and dissection of heart","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",FALSE
"414.10","41410","Aneurysm of heart (wall)","Aneurysm of heart",44825432,"Aneurysm of heart (wall)","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.11","41411","Aneurysm of coronary vessels","Aneurysm coronary vessel",44825433,"Aneurysm of coronary vessels","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.12","41412","Dissection of coronary artery","Dissection cor artery",44827785,"Dissection of coronary artery","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.19","41419","Other aneurysm of heart","Aneurysm of heart NEC",44833564,"Other aneurysm of heart","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",FALSE
"414.2","4142","Chronic total occlusion of coronary artery","Chr tot occlus cor artry",44834727,"Chronic total occlusion of coronary artery","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31",FALSE
"414.3","4143","Coronary atherosclerosis due to lipid rich plaque","Cor ath d/t lpd rch plaq",44828975,"Coronary atherosclerosis due to lipid rich plaque","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31",FALSE
"414.4","4144","Coronary atherosclerosis due to calcified coronary lesion","Cor ath d/t calc cor lsn",44821952,"Coronary atherosclerosis due to calcified coronary lesion","Condition","ICD9CM","4-dig billing code","2013-10-10","2099-12-31",FALSE
"414.8","4148","Other specified forms of chronic ischemic heart disease","Chr ischemic hrt dis NEC",44830081,"Other specified forms of chronic ischemic heart disease","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31",FALSE
"414.9","4149","Chronic ischemic heart disease, unspecified","Chr ischemic hrt dis NOS",44821953,"Chronic ischemic heart disease, unspecified","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31",FALSE
"437.0","4370","Cerebral atherosclerosis","Cerebral atherosclerosis",44834739,"Cerebral atherosclerosis","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31",FALSE
"440",NA,NA,NA,44825446,"Atherosclerosis","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31",TRUE
"440.0","4400","Atherosclerosis of aorta","Aortic atherosclerosis",44823124,"Atherosclerosis of aorta","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31",TRUE
"440.1","4401","Atherosclerosis of renal artery","Renal artery atheroscler",44828991,"Atherosclerosis of renal artery","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31",TRUE
"440.2",NA,NA,NA,44828992,"Atherosclerosis of native arteries of the extremities","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",TRUE
"440.20","44020","Atherosclerosis of native arteries of the extremities, unspecified","Athscl extrm ntv art NOS",44837116,"Atherosclerosis of native arteries of the extremities, unspecified","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"440.21","44021","Atherosclerosis of native arteries of the extremities with intermittent claudication","Ath ext ntv at w claudct",44825447,"Atherosclerosis of native arteries of the extremities with intermittent claudication","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"440.22","44022","Atherosclerosis of native arteries of the extremities with rest pain","Ath ext ntv at w rst pn",44823125,"Atherosclerosis of native arteries of the extremities with rest pain","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"440.23","44023","Atherosclerosis of native arteries of the extremities with ulceration","Ath ext ntv art ulcrtion",44827804,"Atherosclerosis of native arteries of the extremities with ulceration","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"440.24","44024","Atherosclerosis of native arteries of the extremities with gangrene","Ath ext ntv art gngrene",44831256,"Atherosclerosis of native arteries of the extremities with gangrene","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"440.29","44029","Other atherosclerosis of native arteries of the extremities","Athrsc extrm ntv art oth",44824257,"Other atherosclerosis of native arteries of the extremities","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"440.3",NA,NA,NA,44826651,"Of bypass graft of the extremities","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",TRUE
"440.30","44030","Atherosclerosis of unspecified bypass graft of the extremities","Athscl extrm bps gft NOS",44833579,"Atherosclerosis of unspecified bypass graft of the extremities","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"440.31","44031","Atherosclerosis of autologous vein bypass graft of the extremities","Ath ext autologs bps gft",44819718,"Atherosclerosis of autologous vein bypass graft of the extremities","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
