"DX_CODE_2","CODE","LONG_DESCRIPTION","SHORT_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE"
"140",NA,NA,NA,44824020,"Malignant neoplasm of lip","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31"
"140.0","1400","Malignant neoplasm of upper lip, vermilion border","Mal neo upper vermilion",44829787,"Malignant neoplasm of upper lip, vermilion border","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"140.1","1401","Malignant neoplasm of lower lip, vermilion border","Mal neo lower vermilion",44828724,"Malignant neoplasm of lower lip, vermilion border","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"140.3","1403","Malignant neoplasm of upper lip, inner aspect","Mal neo upper lip, inner",44825188,"Malignant neoplasm of upper lip, inner aspect","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"140.4","1404","Malignant neoplasm of lower lip, inner aspect","Mal neo lower lip, inner",44836817,"Malignant neoplasm of lower lip, inner aspect","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"140.5","1405","Malignant neoplasm of lip, unspecified, inner aspect","Mal neo lip, inner NOS",44824021,"Malignant neoplasm of lip, unspecified, inner aspect","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"140.6","1406","Malignant neoplasm of commissure of lip","Mal neo lip, commissure",44834474,"Malignant neoplasm of commissure of lip","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"140.8","1408","Malignant neoplasm of other sites of lip","Mal neo lip NEC",44827542,"Malignant neoplasm of other sites of lip","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"140.9","1409","Malignant neoplasm of lip, unspecified, vermilion border","Mal neo lip/vermil NOS",44824022,"Malignant neoplasm of lip, unspecified, vermilion border","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"141",NA,NA,NA,44832117,"Malignant neoplasm of tongue","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31"
"141.0","1410","Malignant neoplasm of base of tongue","Mal neo tongue base",44825189,"Malignant neoplasm of base of tongue","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"141.1","1411","Malignant neoplasm of dorsal surface of tongue","Mal neo dorsal tongue",44825190,"Malignant neoplasm of dorsal surface of tongue","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"141.2","1412","Malignant neoplasm of tip and lateral border of tongue","Mal neo tip/lat tongue",44834475,"Malignant neoplasm of tip and lateral border of tongue","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"141.3","1413","Malignant neoplasm of ventral surface of tongue","Mal neo ventral tongue",44828725,"Malignant neoplasm of ventral surface of tongue","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"141.4","1414","Malignant neoplasm of anterior two-thirds of tongue, part unspecified","Mal neo ant 2/3 tongue",44833280,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"141.5","1415","Malignant neoplasm of junctional zone of tongue","Mal neo tongue junction",44833281,"Malignant neoplasm of junctional zone of tongue","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"141.6","1416","Malignant neoplasm of lingual tonsil","Mal neo lingual tonsil",44821721,"Malignant neoplasm of lingual tonsil","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"141.8","1418","Malignant neoplasm of other sites of tongue","Malig neo tongue NEC",44836818,"Malignant neoplasm of other sites of tongue","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"141.9","1419","Malignant neoplasm of tongue, unspecified","Malig neo tongue NOS",44835660,"Malignant neoplasm of tongue, unspecified","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"142",NA,NA,NA,44835661,"Malignant neoplasm of major salivary glands","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31"
"142.0","1420","Malignant neoplasm of parotid gland","Malig neo parotid",44835662,"Malignant neoplasm of parotid gland","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"142.1","1421","Malignant neoplasm of submandibular gland","Malig neo submandibular",44825191,"Malignant neoplasm of submandibular gland","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"142.2","1422","Malignant neoplasm of sublingual gland","Malig neo sublingual",44833282,"Malignant neoplasm of sublingual gland","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"142.8","1428","Malignant neoplasm of other major salivary glands","Mal neo maj salivary NEC",44825192,"Malignant neoplasm of other major salivary glands","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"142.9","1429","Malignant neoplasm of salivary gland, unspecified","Mal neo salivary NOS",44829788,"Malignant neoplasm of salivary gland, unspecified","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"143",NA,NA,NA,44835663,"Malignant neoplasm of gum","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31"
"143.0","1430","Malignant neoplasm of upper gum","Malig neo upper gum",44826384,"Malignant neoplasm of upper gum","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"143.1","1431","Malignant neoplasm of lower gum","Malig neo lower gum",44834476,"Malignant neoplasm of lower gum","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"143.8","1438","Malignant neoplasm of other sites of gum","Malig neo gum NEC",44836819,"Malignant neoplasm of other sites of gum","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"143.9","1439","Malignant neoplasm of gum, unspecified","Malig neo gum NOS",44820594,"Malignant neoplasm of gum, unspecified","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31"
"144",NA,NA,NA,44833283,"Malignant neoplasm of floor of mouth","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31"
