"CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"204",NA,NA,NA,44821758,"Lymphoid leukemia","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31","TRUE"
"204.0",NA,NA,NA,44821759,"Lymphoid leukemia, acute","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31","TRUE"
"204.00","20400","Acute lymphoid leukemia, without mention of having achieved remission","Ac lym leuk wo achv rmsn",44829844,"Acute lymphoid leukemia, without mention of having achieved remission","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","TRUE"
"204.01","20401","Acute lymphoid leukemia, in remission","Act lym leuk w rmsion",44821760,"Acute lymphoid leukemia, in remission","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","TRUE"
"204.02","20402","Acute lymphoid leukemia, in relapse","Act lymp leuk in relapse",44822907,"Acute lymphoid leukemia, in relapse","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","TRUE"
"204.1",NA,NA,NA,44831013,"Lymphoid leukemia, chronic","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31","TRUE"
"204.10","20410","Chronic lymphoid leukemia, without mention of having achieved remission","Ch lym leuk wo achv rmsn",44834519,"Chronic lymphoid leukemia, without mention of having achieved remission","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","TRUE"
"204.11","20411","Chronic lymphoid leukemia, in remission","Chr lym leuk w rmsion",44825231,"Chronic lymphoid leukemia, in remission","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","TRUE"
"204.12","20412","Chronic lymphoid leukemia, in relapse","Chr lymp leuk in relapse",44821761,"Chronic lymphoid leukemia, in relapse","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","TRUE"
"204.2",NA,NA,NA,44833336,"Lymphoid leukemia, subacute","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31","TRUE"
"204.20","20420","Subacute lymphoid leukemia, without mention of having achieved remission","Sbac lym leu wo ach rmsn",44822908,"Subacute lymphoid leukemia, without mention of having achieved remission","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","TRUE"
"204.21","20421","Subacute lymphoid leukemia, in remission","Sbac lym leuk w rmsion",44833337,"Subacute lymphoid leukemia, in remission","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","TRUE"
"204.22","20422","Subacute lymphoid leukemia, in relapse","Sbac lym leuk in relapse",44831014,"Subacute lymphoid leukemia, in relapse","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","TRUE"
"204.8",NA,NA,NA,44824053,"Other lymphoid leukemia","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31","TRUE"
