"CODE_2","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"581",NA,NA,NA,44820966,"Nephrotic syndrome","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31","TRUE"
"581.0","5810","Nephrotic syndrome with lesion of proliferative glomerulonephritis","Nephrotic syn, prolifer",44836033,"Nephrotic syndrome with lesion of proliferative glomerulonephritis","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31","FALSE"
"581.1","5811","Nephrotic syndrome with lesion of membranous glomerulonephritis","Epimembranous nephritis",44831324,"Nephrotic syndrome with lesion of membranous glomerulonephritis","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31","FALSE"
"581.2","5812","Nephrotic syndrome with lesion of membranoproliferative glomerulonephritis","Membranoprolif nephrosis",44819813,"Nephrotic syndrome with lesion of membranoproliferative glomerulonephritis","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31","FALSE"
"581.3","5813","Nephrotic syndrome with lesion of minimal change glomerulonephritis","Minimal change nephrosis",44833656,"Nephrotic syndrome with lesion of minimal change glomerulonephritis","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31","FALSE"
"581.8",NA,NA,NA,44820967,"Nephrotic syndrome with other specified pathological lesion in kidney","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31","FALSE"
"581.81","58181","Nephrotic syndrome in diseases classified elsewhere","Nephrotic syn in oth dis",44829059,"Nephrotic syndrome in diseases classified elsewhere","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","FALSE"
"581.89","58189","Nephrotic syndrome with other specified pathological lesion in kidney","Nephrotic syndrome NEC",44820968,"Nephrotic syndrome with other specified pathological lesion in kidney","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31","FALSE"
"581.9","5819","Nephrotic syndrome with unspecified pathological lesion in kidney","Nephrotic syndrome NOS",44829060,"Nephrotic syndrome with unspecified pathological lesion in kidney","Condition","ICD9CM","4-dig billing code","1970-01-01","2099-12-31","FALSE"
"V13.03","V1303","Personal history, nephrotic syndrome","Personl hx nephrotic syn",44824957,"Personal history, nephrotic syndrome","Observation","ICD9CM","5-dig billing V code","1970-01-01","2099-12-31","FALSE"
