"DX_CODE_2","CODE","LONG_DESCRIPTION","SHORT_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE"
"250.0",NA,NA,NA,44834548,"Diabetes mellitus without mention of complication","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31"
"250.00","25000","Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled","DMII wo cmp nt st uncntr",44836914,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31"
"250.01","25001","Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled","DMI wo cmp nt st uncntrl",44820682,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31"
"250.02","25002","Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled","DMII wo cmp uncntrld",44836915,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31"
"250.03","25003","Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled","DMI wo cmp uncntrld",44821787,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31"
"250.2",NA,NA,NA,44826459,"Diabetes mellitus with hyperosmolarity","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31"
"250.20","25020","Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled","DMII hprsm nt st uncntrl",44836916,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31"
"250.21","25021","Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled","DMI hprsm nt st uncntrld",44832190,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31"
"250.22","25022","Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled","DMII hprosmlr uncontrold",44824073,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31"
"250.23","25023","Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled","DMI hprosmlr uncontrold",44832191,"Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31"
