DX_CODE_2,CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
242,NA,NA,NA,44828784,Thyrotoxicosis with or without goiter,Condition,ICD9CM,3-dig nonbill code,1/1/1970,12/31/2099,TRUE
242,NA,NA,NA,44824070,Toxic diffuse goiter,Condition,ICD9CM,4-dig nonbill code,1/1/1970,12/31/2099,TRUE
242,24200,Toxic diffuse goiter without mention of thyrotoxic crisis or storm,Tox dif goiter no crisis,44819495,Toxic diffuse goiter without mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.01,24201,Toxic diffuse goiter with mention of thyrotoxic crisis or storm,Tox dif goiter w crisis,44820678,Toxic diffuse goiter with mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.1,NA,NA,NA,44819496,Toxic uninodular goiter,Condition,ICD9CM,4-dig nonbill code,1/1/1970,12/31/2099,TRUE
242.1,24210,Toxic uninodular goiter without mention of thyrotoxic crisis or storm,Tox uninod goit no cris,44820679,Toxic uninodular goiter without mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.11,24211,Toxic uninodular goiter with mention of thyrotoxic crisis or storm,Tox uninod goit w crisis,44827612,Toxic uninodular goiter with mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.2,NA,NA,NA,44822929,Toxic multinodular goiter,Condition,ICD9CM,4-dig nonbill code,1/1/1970,12/31/2099,TRUE
242.2,24220,Toxic multinodular goiter without mention of thyrotoxic crisis or storm,Tox multnod goit no cris,44826454,Toxic multinodular goiter without mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.21,24221,Toxic multinodular goiter with mention of thyrotoxic crisis or storm,Tox multnod goit w cris,44825258,Toxic multinodular goiter with mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.3,NA,NA,NA,44836906,"Toxic nodular goiter, unspecified type",Condition,ICD9CM,4-dig nonbill code,1/1/1970,12/31/2099,TRUE
242.3,24230,"Toxic nodular goiter, unspecified type, without mention of thyrotoxic crisis or storm",Tox nod goiter no crisis,44835743,"Toxic nodular goiter, unspecified type, without mention of thyrotoxic crisis or storm",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.31,24231,"Toxic nodular goiter, unspecified type, with mention of thyrotoxic crisis or storm",Tox nod goiter w crisis,44828785,"Toxic nodular goiter, unspecified type, with mention of thyrotoxic crisis or storm",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.4,NA,NA,NA,44834544,Thyrotoxicosis from ectopic thyroid nodule,Condition,ICD9CM,4-dig nonbill code,1/1/1970,12/31/2099,TRUE
242.4,24240,Thyrotoxicosis from ectopic thyroid nodule without mention of thyrotoxic crisis or storm,Thyrotox-ect nod no cris,44826455,Thyrotoxicosis from ectopic thyroid nodule without mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.41,24241,Thyrotoxicosis from ectopic thyroid nodule with mention of thyrotoxic crisis or storm,Thyrotox-ect nod w cris,44822930,Thyrotoxicosis from ectopic thyroid nodule with mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.8,NA,NA,NA,44835744,Thyrotoxicosis of other specified origin,Condition,ICD9CM,4-dig nonbill code,1/1/1970,12/31/2099,TRUE
242.8,24280,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,Thyrtox orig NEC no cris,44821783,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.81,24281,Thyrotoxicosis of other specified origin with mention of thyrotoxic crisis or storm,Thyrotox orig NEC w cris,44836907,Thyrotoxicosis of other specified origin with mention of thyrotoxic crisis or storm,Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.9,NA,NA,NA,44836908,Thyrotoxicosis without mention of goiter or other cause,Condition,ICD9CM,4-dig nonbill code,1/1/1970,12/31/2099,TRUE
242.9,24290,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",Thyrotox NOS no crisis,44829872,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
242.91,24291,"Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm",Thyrotox NOS w crisis,44834545,"Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
775.3,7753,Neonatal thyrotoxicosis,Neonatal thyrotoxicosis,44830432,Neonatal thyrotoxicosis,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099,FALSE
