DIAGNOSIS_CODE_ATHENA,DIAGNOSIS_CODE_MEDICARE,CONCEPT_NAME_MEDICARE,SHORT_NAME_MEDICARE,CONCEPT_ID,CONCEPT_NAME_ATHENA,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE
280,NA,NA,NA,44821803,Iron deficiency anemias,Condition,ICD9CM,3-dig nonbill code,1/1/1970,12/31/2099
280,2800,Iron deficiency anemia secondary to blood loss (chronic),Chr blood loss anemia,44836940,Iron deficiency anemia secondary to blood loss (chronic),Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
280.1,2801,Iron deficiency anemia secondary to inadequate dietary iron intake,Iron def anemia dietary,44827636,Iron deficiency anemia secondary to inadequate dietary iron intake,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
280.8,2808,Other specified iron deficiency anemias,Iron defic anemia NEC,44824094,Other specified iron deficiency anemias,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
280.9,2809,"Iron deficiency anemia, unspecified",Iron defic anemia NOS,44828816,"Iron deficiency anemia, unspecified",Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
281,NA,NA,NA,44831061,Other deficiency anemias,Condition,ICD9CM,3-dig nonbill code,1/1/1970,12/31/2099
281,2810,Pernicious anemia,Pernicious anemia,44819527,Pernicious anemia,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
281.1,2811,Other vitamin B12 deficiency anemia,B12 defic anemia NEC,44833390,Other vitamin B12 deficiency anemia,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
281.2,2812,Folate-deficiency anemia,Folate-deficiency anemia,44831062,Folate-deficiency anemia,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
281.3,2813,Other specified megaloblastic anemias not elsewhere classified,Megaloblastic anemia NEC,44829907,Other specified megaloblastic anemias not elsewhere classified,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
281.4,2814,Protein-deficiency anemia,Protein defic anemia,44835765,Protein-deficiency anemia,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
281.8,2818,Anemia associated with other specified nutritional deficiency,Nutritional anemia NEC,44831063,Anemia associated with other specified nutritional deficiency,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
281.9,2819,Unspecified deficiency anemia,Deficiency anemia NOS,44824095,Unspecified deficiency anemia,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
282,NA,NA,NA,44836941,Hereditary hemolytic anemias,Condition,ICD9CM,3-dig nonbill code,1/1/1970,12/31/2099
282,2820,Hereditary spherocytosis,Hereditary spherocytosis,44832209,Hereditary spherocytosis,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099
