CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
585.5,5855,"Chronic kidney disease, Stage V",Chron kidney dis stage V,44837192,"Chronic kidney disease, Stage V",Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099,TRUE
585.6,5856,End stage renal disease,End stage renal disease,44827889,End stage renal disease,Condition,ICD9CM,4-dig billing code,1/1/1970,12/31/2099,TRUE
V56,NA,NA,NA,44822716,Encounter for dialysis and dialysis catheter care,Procedure,ICD9CM,3-dig nonbill V code,1/1/1970,12/31/2099,FALSE
V56.0,V560,Encounter for extracorporeal dialysis,Renal dialysis encounter,44829649,Encounter for extracorporeal dialysis,Procedure,ICD9CM,4-dig billing V code,1/1/1970,12/31/2099,FALSE
V56.1,V561,Fitting and adjustment of extracorporeal dialysis catheter,Ft/adj xtrcorp dial cath,44829650,Fitting and adjustment of extracorporeal dialysis catheter,Procedure,ICD9CM,4-dig billing V code,1/1/1970,12/31/2099,FALSE
V56.2,V562,Fitting and adjustment of peritoneal dialysis catheter,Fit/adj perit dial cath,44833130,Fitting and adjustment of peritoneal dialysis catheter,Procedure,ICD9CM,4-dig billing V code,1/1/1970,12/31/2099,FALSE
V56.3,NA,NA,NA,44833131,Encounter for adequacy testing for dialysis,Measurement,ICD9CM,4-dig nonbill V code,1/1/1970,12/31/2099,FALSE
V56.31,V5631,Encounter for adequacy testing for hemodialysis,Hemodialysis testing,44835496,Encounter for adequacy testing for hemodialysis,Observation,ICD9CM,5-dig billing V code,1/1/1970,12/31/2099,FALSE
V56.32,V5632,Encounter for adequacy testing for peritoneal dialysis,Peritoneal dialysis test,44835497,Encounter for adequacy testing for peritoneal dialysis,Observation,ICD9CM,5-dig billing V code,1/1/1970,12/31/2099,FALSE
V56.8,V568,Encounter for other dialysis,"Dialysis encounter, NEC",44821578,Encounter for other dialysis,Procedure,ICD9CM,4-dig billing V code,1/1/1970,12/31/2099,FALSE
