"DX_CODE_2","CODE","LONG_DESCRIPTION","SHORT_DESCRIPTION","CONCEPT_ID","CONCEPT_NAME","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","START_DATE","END_DATE","PREV_DOC_FLAG"
"630",NA,NA,NA,44826756,"Hydatidiform mole","Condition","ICD9CM","3-dig billing code","1970-01-01","2099-12-31",TRUE
"631",NA,NA,NA,44821001,"Other abnormal product of conception","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31",TRUE
"631.0","6310","Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy","Inapp chg hCG early preg",44821002,"Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy","Measurement","ICD9CM","4-dig billing code","2013-10-10","2099-12-31",TRUE
"631.8","6318","Other abnormal products of conception","Oth abn prod conception",44833693,"Other abnormal products of conception","Condition","ICD9CM","4-dig billing code","2014-07-01","2099-12-31",TRUE
"632",NA,NA,NA,44837213,"Missed abortion","Condition","ICD9CM","3-dig billing code","1970-01-01","2099-12-31",TRUE
"633",NA,NA,NA,44834860,"Ectopic pregnancy","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31",TRUE
"633.0",NA,NA,NA,44837214,"Abdominal pregnancy","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",TRUE
"633.00","63300","Abdominal pregnancy without intrauterine pregnancy","Abd preg w/o intrau preg",44824369,"Abdominal pregnancy without intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"633.01","63301","Abdominal pregnancy with intrauterine pregnancy","Abd preg w intraut preg",44821003,"Abdominal pregnancy with intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"633.1",NA,NA,NA,44821004,"Tubal pregnancy","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",TRUE
"633.10","63310","Tubal pregnancy without intrauterine pregnancy","Tubal preg w/o intra prg",44837215,"Tubal pregnancy without intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"633.11","63311","Tubal pregnancy with intrauterine pregnancy","Tubal preg w intra preg",44823216,"Tubal pregnancy with intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"633.2",NA,NA,NA,44833694,"Ovarian pregnancy","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",TRUE
"633.20","63320","Ovarian pregnancy without intrauterine pregnancy","Ovarn preg w/o intra prg",44836063,"Ovarian pregnancy without intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"633.21","63321","Ovarian pregnancy with intrauterine pregnancy","Ovarian preg w intra prg",44821005,"Ovarian pregnancy with intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"633.8",NA,NA,NA,44824370,"Other ectopic pregnancy","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",TRUE
"633.80","63380","Other ectopic pregnancy without intrauterine pregnancy","Ect preg NEC w/o int prg",44821006,"Other ectopic pregnancy without intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"633.81","63381","Other ectopic pregnancy with intrauterine pregnancy","Ectpc prg NEC w int preg",44833695,"Other ectopic pregnancy with intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"633.9",NA,NA,NA,44826757,"Unspecified ectopic pregnancy","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",TRUE
"633.90","63390","Unspecified ectopic pregnancy without intrauterine pregnancy","Ect preg NOS w/o int prg",44822064,"Unspecified ectopic pregnancy without intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"633.91","63391","Unspecified ectopic pregnancy with intrauterine pregnancy","Ectp preg NOS w int preg",44821007,"Unspecified ectopic pregnancy with intrauterine pregnancy","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
"634",NA,NA,NA,44823217,"Spontaneous abortion","Condition","ICD9CM","3-dig nonbill code","1970-01-01","2099-12-31",TRUE
"634.0",NA,NA,NA,44824371,"Spontaneous abortion complicated by genital tract and pelvic infection","Condition","ICD9CM","4-dig nonbill code","1970-01-01","2099-12-31",TRUE
"634.00","63400","Spontaneous abortion, complicated by genital tract and pelvic infection, unspecified","Spon abor w pel inf-unsp",44825572,"Spontaneous abortion, complicated by genital tract and pelvic infection, unspecified","Condition","ICD9CM","5-dig billing code","1970-01-01","2099-12-31",TRUE
