CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
250,25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",DMII wo cmp nt st uncntr,44836914,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.02,25002,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",DMII wo cmp uncntrld,44836915,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.1,25010,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled",DMII keto nt st uncntrld,44829878,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.12,25012,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",DMII ketoacd uncontrold,44824072,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.2,25020,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled",DMII hprsm nt st uncntrl,44836916,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.22,25022,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled",DMII hprosmlr uncontrold,44824073,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.3,25030,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled",DMII o cm nt st uncntrld,44826460,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.32,25032,"Diabetes with other coma, type II or unspecified type, uncontrolled",DMII oth coma uncontrold,44832193,"Diabetes with other coma, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.4,25040,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",DMII renl nt st uncntrld,44831045,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.42,25042,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled",DMII renal uncntrld,44832194,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.5,25050,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled",DMII ophth nt st uncntrl,44819500,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.52,25052,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled",DMII ophth uncntrld,44829879,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.6,25060,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",DMII neuro nt st uncntrl,44828795,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.62,25062,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",DMII neuro uncntrld,44833366,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.7,25070,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled",DMII circ nt st uncntrld,44827616,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.72,25072,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled",DMII circ uncntrld,44833367,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.8,25080,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",DMII oth nt st uncntrld,44831047,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.82,25082,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled",DMII oth uncntrld,44826461,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.9,25090,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled",DMII unspf nt st uncntrl,44827617,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
250.92,25092,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled",DMII unspf uncntrld,44829882,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled",Condition,ICD9CM,5-dig billing code,1/1/1970,12/31/2099,TRUE
