TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
440689,17182001,Agranulocytosis,SNOMED,Mapped from,40321720,Agranulocytosis,154830007,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Concept same_as from,40332444,Agranulocytosis,165508008,Clinical Finding,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Mapped from,40332444,Agranulocytosis,165508008,Clinical Finding,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Subsumes,37169796,Agranulocytosis caused by antithyroid agent,1162505005,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Concept poss_eq from,4150156,Agranulocytopenic disorder,267538002,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Mapped from,4150156,Agranulocytopenic disorder,267538002,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Concept same_as from,4215928,Agranulocytic angina,72050006,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Mapped from,4215928,Agranulocytic angina,72050006,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Mapped from,440689,Agranulocytosis,17182001,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Maps to,440689,Agranulocytosis,17182001,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Subsumes,606394,Secondary agranulocytosis,1144929002,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Concept poss_eq from,4100228,Schultz disease,192783000,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Mapped from,4100228,Schultz disease,192783000,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Concept poss_eq from,4318382,Mucositis necroticans agranulocytica,95362003,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Mapped from,4318382,Mucositis necroticans agranulocytica,95362003,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Concept poss_eq from,40390876,(Agranulocytosis) or (Kostmann's syndrome) or (neutropenia),191336001,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Concept same_as from,40301784,Agranulocytosis,142919000,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Mapped from,40301784,Agranulocytosis,142919000,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Concept same_as from,40321720,Agranulocytosis,154830007,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Subsumes,37017282,Agranulocytosis co-occurrent with human immunodeficiency virus infection,713530002,Disorder,SNOMED
440689,17182001,Agranulocytosis,SNOMED,Subsumes,601107,Agranulocytosis due to and following administration of antineoplastic agent,350691000119103,Disorder,SNOMED
601107,350691000119103,Agranulocytosis due to and following administration of antineoplastic agent,SNOMED,Has due to,4181511,Administration of antineoplastic agent,363688001,Procedure,SNOMED
601107,350691000119103,Agranulocytosis due to and following administration of antineoplastic agent,SNOMED,Maps to,601107,Agranulocytosis due to and following administration of antineoplastic agent,350691000119103,Disorder,SNOMED
601107,350691000119103,Agranulocytosis due to and following administration of antineoplastic agent,SNOMED,Mapped from,601107,Agranulocytosis due to and following administration of antineoplastic agent,350691000119103,Disorder,SNOMED
606394,1144929002,Secondary agranulocytosis,SNOMED,Has due to,4274025,Disease,64572001,Disorder,SNOMED
606394,1144929002,Secondary agranulocytosis,SNOMED,Maps to,606394,Secondary agranulocytosis,1144929002,Disorder,SNOMED
606394,1144929002,Secondary agranulocytosis,SNOMED,Mapped from,606394,Secondary agranulocytosis,1144929002,Disorder,SNOMED
4224553,421312009,Agranulocytosis with AIDS (acquired immunodeficiency syndrome),SNOMED,Maps to,4224553,Agranulocytosis with AIDS (acquired immunodeficiency syndrome),421312009,Disorder,SNOMED
4224553,421312009,Agranulocytosis with AIDS (acquired immunodeficiency syndrome),SNOMED,Has causative agent,4078242,Human immunodeficiency virus,19030005,Organism,SNOMED
4224553,421312009,Agranulocytosis with AIDS (acquired immunodeficiency syndrome),SNOMED,Mapped from,4224553,Agranulocytosis with AIDS (acquired immunodeficiency syndrome),421312009,Disorder,SNOMED
4224553,421312009,Agranulocytosis with AIDS (acquired immunodeficiency syndrome),SNOMED,Concept poss_eq from,40652283,AIDS with agranulocytosis,906000,Disorder,SNOMED
4224553,421312009,Agranulocytosis with AIDS (acquired immunodeficiency syndrome),SNOMED,Mapped from,40652283,AIDS with agranulocytosis,906000,Disorder,SNOMED
