CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
45955183,Leukaemic Reticuloendotheliosis of Lymph Nodes of Head, Face and Neck,Diagnosis,CIEL
132570,Leukemic reticuloendotheliosis of lymph nodes of head, face and neck,Disorder,SNOMED
44832151,Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck,5-dig billing code,ICD9CM
3286170,Leukaemic reticuloendotheliosis of lymph nodes of head, face and neck,Clinical Finding,Nebraska Lexicon
132572,Chronic myeloid leukemia in remission,Disorder,SNOMED
45924568,Chronic Myeloid Leukaemia in Remission,Diagnosis,CIEL
45595721,Chronic myeloid leukemia, BCR/ABL-positive, in remission,5-char billing code,ICD10CM
44832157,Chronic myeloid leukemia, in remission,5-dig billing code,ICD9CM
3359098,Chronic myeloid leukaemia in remission,Clinical Finding,Nebraska Lexicon
3308364,Myeloid leukaemia in remission,Clinical Finding,Nebraska Lexicon
44821762,Other myeloid leukemia, in remission,5-dig billing code,ICD9CM
136367,Erythroleukemia in remission,Disorder,SNOMED
3165055,Subacute monocytic leukaemia in remission,Clinical Finding,Nebraska Lexicon
37311926,Juvenile myelomonocytic leukemia in remission,Disorder,SNOMED
3165019,Monocytic leukaemia in remission,Clinical Finding,Nebraska Lexicon
3164849,Chronic monocytic leukaemia in remission,Clinical Finding,Nebraska Lexicon
4143382,Subacute myeloid leukemia in remission,Disorder,SNOMED
45542665,Other myeloid leukemia, in remission,5-char billing code,ICD10CM
45943028,Myeloid Leukemia in Remission,Diagnosis,CIEL
40649780,Subacute myeloid leukemia in remission,Disorder,SNOMED
45576369,Myeloid leukemia, unspecified in remission,5-char billing code,ICD10CM
3165057,Subacute myeloid leukaemia in remission,Clinical Finding,Nebraska Lexicon
44829847,Unspecified myeloid leukemia, in remission,5-dig billing code,ICD9CM
40649778,Subacute monocytic leukemia in remission,Disorder,SNOMED
40647633,Monocytic leukemia in remission,Disorder,SNOMED
40645853,Chronic monocytic leukemia in remission,Disorder,SNOMED
135762,Acute myeloid leukemia in remission,Disorder,SNOMED
3531792,Other lymphoid leukaemia NOS,Disorder,SNOMED
1567688,Lymphoid leukemia, unspecified,4-char nonbill code,ICD10CM
44821758,Lymphoid leukemia,3-dig nonbill code,ICD9CM
36547481,Lymphoid leukemia, NOS, of hematopoietic system, NOS,ICDO Condition,ICDO3
44824053,Other lymphoid leukemia,4-dig nonbill code,ICD9CM
3120992,Lymphosarcoma cell leukaemia,Clinical Finding,Nebraska Lexicon
44797629,[X]Other lymphoid leukaemia,Disorder,SNOMED
136656,Subacute lymphoid leukemia,Disorder,SNOMED
43021265,History of lymphoid leukemia,Context-dependent,SNOMED
4001331,Prolymphocytic leukemia (clinical),Disorder,SNOMED
40352621,Leukemia: [lymphoid] or [monocytic] or [myeloid] or [specific cell type],Disorder,SNOMED
3085622,Other type of lymphoid leukaemia,Clinical Finding,Nebraska Lexicon
3120557,Other lymphoid leukaemia,Clinical Finding,Nebraska Lexicon
45561874,Other lymphoid leukaemia,ICD10 code,ICD10
36402794,Lymphoid leukemia, NOS, of blood,ICDO Condition,ICDO3
3531793,Lymphoid leukaemia NOS,Disorder,SNOMED
45920079,Leukolymphosarcoma,Diagnosis,CIEL
45586062,Lymphoid leukaemia,ICD10 Hierarchy,ICD10
44820642,Unspecified lymphoid leukemia,4-dig nonbill code,ICD9CM
42485254,Lymphoid leukaemia, unspecified,KCD7 code,KCD7
45595719,Lymphoid leukemia, unspecified not having achieved remission,5-char billing code,ICD10CM
3120874,Lymphoid leukaemia NOS,Clinical Finding,Nebraska Lexicon
132853,Lymphoid leukemia,Disorder,SNOMED
1567680,Lymphoid leukemia,3-char nonbill code,ICD10CM
4082460,Large granular lymphocytic leukemia,Disorder,SNOMED
4097580,Other lymphoid leukemia NOS,Disorder,SNOMED
760934,Lymphoid leukemia in relapse,Disorder,SNOMED
45542663,Lymphoid leukaemia, unspecified,ICD10 code,ICD10
4091924,Lymphoid leukemia NOS,Disorder,SNOMED
45923759,Lymphoid Leukemia,Diagnosis,CIEL
44831015,Other lymphoid leukemia, without mention of having achieved remission,5-dig billing code,ICD9CM
44820643,Unspecified lymphoid leukemia, without mention of having achieved remission,5-dig billing code,ICD9CM
1567687,Other lymphoid leukemia,4-char nonbill code,ICD10CM
4097100,Other lymphoid leukemia,Disorder,SNOMED
40647531,Lymphoid leukemia,Disorder,SNOMED
3120771,Other lymphoid leukaemia NOS,Clinical Finding,Nebraska Lexicon
138379,Chronic lymphoid leukemia, disease,Disorder,SNOMED
4094550,Adult T-cell leukemia,Disorder,SNOMED
45586065,Lymphoid leukemia, unspecified, in relapse,5-char billing code,ICD10CM
3310871,Lymphatic leukaemia,Clinical Finding,Nebraska Lexicon
45595720,Other lymphoid leukemia not having achieved remission,5-char billing code,ICD10CM
45930094,Lymphosarcoma Cell Leukemia,Diagnosis,CIEL
40320654,Leukemia: [lymphoid] or [monocytic] or [myeloid] or [specific cell type],Disorder,SNOMED
40387126,Lymphosarcoma cell leukemia,Disorder,SNOMED
40276290,Other type of lymphoid leukemia (clinical),Disorder,SNOMED
45576366,Other lymphoid leukemia, in relapse,5-char billing code,ICD10CM
44499862,Lymphoid leukemia, NOS, of bone marrow,ICDO Condition,ICDO3
4094549,Aleukemic lymphoid leukemia,Disorder,SNOMED
3164864,Lymphoid leukaemia,Clinical Finding,Nebraska Lexicon
134305,Acute lymphoid leukemia,Disorder,SNOMED
42485241,Lymphoid leukaemia,KCD7 code,KCD7
40385843,[X]Other lymphoid leukemia,Disorder,SNOMED
42485252,Other lymphoid leukaemia,KCD7 code,KCD7
134596,Lymphoid leukemia in remission,Disorder,SNOMED
44835414,Personal history of lymphoid leukemia,5-dig billing V code,ICD9CM
36559857,Plasma cell leukemia of hematopoietic system, NOS,ICDO Condition,ICDO3
36402498,Plasma cell leukemia of blood,ICDO Condition,ICDO3
3245263,Plasma cell leukaemia, disease,Clinical Finding,Nebraska Lexicon
44504685,Plasma cell leukemia of bone marrow,ICDO Condition,ICDO3
40352619,(Plasma cell leukemia) or (immunoproliferative neoplasm NOS),Disorder,SNOMED
40320653,(Plasma cell leukemia) or (immunoproliferative neoplasm NOS),Disorder,SNOMED
45933824,plasma cell leukemia in relapse,Diagnosis,CIEL
760936,Plasma cell leukemia in relapse,Disorder,SNOMED
45557038,Plasma cell leukemia not having achieved remission,5-char billing code,ICD10CM
40387086,Plasma cell leukemia,Disorder,SNOMED
42485238,Plasma cell leukaemia,KCD7 code,KCD7
36555273,Plasma cell leukemia of reticuloendothelial system, NOS,ICDO Condition,ICDO3
44821757,Plasma cell leukemia, without mention of having achieved remission,5-dig billing code,ICD9CM
44821756,Plasma cell leukemia,4-dig nonbill code,ICD9CM
45914855,Plasma Cell Leukemia,Diagnosis,CIEL
3120977,Plasma cell leukaemia,Clinical Finding,Nebraska Lexicon
133154,Plasma cell leukemia,Disorder,SNOMED
1567677,Plasma cell leukemia,4-char nonbill code,ICD10CM
45552310,Plasma cell leukaemia,ICD10 code,ICD10
133158,Plasma cell leukemia in remission,Disorder,SNOMED
44825230,Plasma cell leukemia, in remission,5-dig billing code,ICD9CM
3322772,Plasma cell leukaemia in remission,Clinical Finding,Nebraska Lexicon
45907287,Plasma Cell Leukaemia in Remission,Diagnosis,CIEL
45595716,Plasma cell leukemia in remission,5-char billing code,ICD10CM
45955023,Chronic Lymphoid Leukaemia in Remission,Diagnosis,CIEL
133438,Chronic lymphoid leukemia in remission,Disorder,SNOMED
44825231,Chronic lymphoid leukemia, in remission,5-dig billing code,ICD9CM
45561871,Chronic lymphocytic leukemia of B-cell type in remission,5-char billing code,ICD10CM
37312023,B-cell prolymphocytic leukemia in remission,Disorder,SNOMED
3220647,Chronic lymphoid leukaemia in remission,Clinical Finding,Nebraska Lexicon
602616,History of acute lymphoid leukemia,Context-dependent,SNOMED
45537873,Acute lymphoblastic leukaemia [ALL],ICD10 code,ICD10
3654647,B lymphoblastic leukemia lymphoma with t(5;14)(q31;q32); IL3-IGH,Disorder,SNOMED
45939066,Acute Lymphoid Leukemia,Diagnosis,CIEL
36712834,Acute lymphoid leukemia relapse,Disorder,SNOMED
36402801,B lymphoblastic leukemia/lymphoma, NOS, of blood,ICDO Condition,ICDO3
37109936,B lymphoblastic leukemia lymphoma with t(9:22) (q34;q11.2); BCR-ABL 1,Disorder,SNOMED
1567681,Acute lymphoblastic leukemia [ALL],4-char nonbill code,ICD10CM
3654653,B lymphoblastic leukemia lymphoma with hyperdiploidy,Disorder,SNOMED
4079281,Null cell acute lymphoblastic leukemia,Disorder,SNOMED
45942618,Acute lymphoblastic leukemia with central nervous system involvement,Diagnosis,CIEL
4081867,Acute biphenotypic leukemia,Disorder,SNOMED
45557039,Acute lymphoblastic leukemia not having achieved remission,5-char billing code,ICD10CM
36539700,B lymphoblastic leukemia/lymphoma, NOS, of hematopoietic system, NOS,ICDO Condition,ICDO3
42512469,Acute lymphoblastic leukemia, L2 type, NOS, of bone marrow,ICDO Condition,ICDO3
36555019,Precursor cell lymphoblastic leukemia, NOS, of hematopoietic system, NOS,ICDO Condition,ICDO3
36712835,Refractory acute lymphoid leukemia,Disorder,SNOMED
4153344,Acute lymphoblastic leukemia, transitional pre-B-cell,Disorder,SNOMED
44821759,Lymphoid leukemia, acute,4-dig nonbill code,ICD9CM
37018869,Disorder of central nervous system co-occurrent and due to acute lymphoid leukemia,Disorder,SNOMED
42512356,Acute lymphoblastic leukemia, L2 type, NOS, of blood,ICDO Condition,ICDO3
45911760,Acute lymphoblastic leukemia involving testes,Finding,CIEL
4082461,Precursor B-cell acute lymphoblastic leukemia,Disorder,SNOMED
44503066,Precursor cell lymphoblastic leukemia, NOS, of bone marrow,ICDO Condition,ICDO3
45939065,Leukemia, Lymphoidocytic,Diagnosis,CIEL
4138008,Philadelphia chromosome-positive acute lymphoblastic leukemia,Disorder,SNOMED
3654651,B lymphoblastic leukemia lymphoma with hypodiploidy,Disorder,SNOMED
4173963,B-cell acute lymphoblastic leukemia,Disorder,SNOMED
3654648,B lymphoblastic leukemia lymphoma with t(v;11q23); MLL rearranged,Disorder,SNOMED
36402759,Precursor cell lymphoblastic leukemia, NOS, of blood,ICDO Condition,ICDO3
45566647,Acute lymphoblastic leukemia, in relapse,5-char billing code,ICD10CM
44501999,B lymphoblastic leukemia/lymphoma, NOS, of bone marrow,ICDO Condition,ICDO3
42485242,Acute lymphoblastic leukaemia [ALL],KCD7 code,KCD7
3170496,Acute lymphoid leukemia in relapse,Clinical Finding,Nebraska Lexicon
141816,Acute lymphoid leukemia in remission,Disorder,SNOMED
4003188,Adult T-cell leukemia/lymphoma,Disorder,SNOMED
3263683,Acute lymphoid leukaemia, disease,Clinical Finding,Nebraska Lexicon
44829844,Acute lymphoid leukemia, without mention of having achieved remission,5-dig billing code,ICD9CM
3654649,B lymphoblastic leukemia lymphoma with t(12;21) (p13;q22); TEL/AML1 (ETV6-RUNX1),Disorder,SNOMED
42512015,Acute lymphoblastic leukemia, NOS, (ICD-O-2) of bone marrow,ICDO Condition,ICDO3
4082462,T-lymphoblastic leukemia,Disorder,SNOMED
45936382,Acute Lymphoblastic Leukaemia,Diagnosis,CIEL
42512143,Acute lymphoblastic leukemia, L2 type, NOS, of hematopoietic system, NOS,ICDO Condition,ICDO3
3654650,B lymphoblastic leukemia lymphoma with t(1;19)(Q23;P13.3); E2A-PBX1 (TCF3/PBX1),Disorder,SNOMED
3183918,Lymphoid leukaemia in remission,Clinical Finding,Nebraska Lexicon
604487,T-cell prolymphocytic leukemia in remission,Disorder,SNOMED
4142254,Aleukemic lymphoid leukemia in remission,Disorder,SNOMED
4139054,Subacute lymphoid leukemia in remission,Disorder,SNOMED
45542664,Other lymphoid leukemia, in remission,5-char billing code,ICD10CM
44832155,Other lymphoid leukemia, in remission,5-dig billing code,ICD9CM
45938648,Lymphoid Leukemia in Remission,Diagnosis,CIEL
45547552,Lymphoid leukemia, unspecified, in remission,5-char billing code,ICD10CM
40649776,Subacute lymphoid leukemia in remission,Disorder,SNOMED
44831016,Unspecified lymphoid leukemia, in remission,5-dig billing code,ICD9CM
3165053,Subacute lymphoid leukaemia in remission,Clinical Finding,Nebraska Lexicon
45920716,Chronic Leukemia in Remission,Diagnosis,CIEL
