CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
1569480,Chronic tonsillitis and adenoiditis,4-char nonbill code,ICD10CM
45946007,Chronic Tonsillitis,Diagnosis,CIEL
3105868,Chronic tonsillitis,Clinical Finding,Nebraska Lexicon
44830108,Chronic tonsillitis and adenoiditis,4-dig nonbill code,ICD9CM
45548113,Chronic tonsillitis,ICD10 code,ICD10
24978,Chronic adenotonsillitis,Disorder,SNOMED
23220,Chronic tonsillitis,Disorder,SNOMED
44826665,Chronic tonsillitis and adenoiditis,5-dig billing code,ICD9CM
45576948,Chronic tonsillitis and adenoiditis,5-char billing code,ICD10CM
40316078,Chronic tonsillitis,Disorder,SNOMED
45533547,Chronic tonsillitis,5-char billing code,ICD10CM
3244834,Chronic tonsillitis,Clinical Finding,Nebraska Lexicon
40395054,(Chronic tonsillitis) or (chronic adenoiditis),Disorder,SNOMED
42488981,Chronic tonsillitis,KCD7 code,KCD7
44820882,Chronic tonsillitis,5-dig billing code,ICD9CM
3105844,Acute tonsillitis,Clinical Finding,Nebraska Lexicon
4109897,Acute catarrhal tonsillitis,Disorder,SNOMED
42488865,Acute tonsillitis due to other specified organisms, not specified as recurrent,KCD7 code,KCD7
40316049,Acute tonsillitis,Disorder,SNOMED
4110363,Acute tonsillitis NOS,Disorder,SNOMED
45934048,Infection of Tonsil,Diagnosis,CIEL
44821975,Acute tonsillitis,3-dig billing code,ICD9CM
45605880,Acute recurrent tonsillitis due to other specified organisms,5-char billing code,ICD10CM
42488867,Acute tonsillitis, unspecified,KCD7 code,KCD7
42488864,Acute tonsillitis due to other specified organisms,KCD7 code,KCD7
40394587,Tonsillitis (& acute),Disorder,SNOMED
45591539,Acute tonsillitis due to other specified organisms,5-char billing code,ICD10CM
3124800,Acute tonsillitis NOS,Clinical Finding,Nebraska Lexicon
3147029,Infective tonsillitis,Clinical Finding,Nebraska Lexicon
45576942,Acute tonsillitis, unspecified,ICD10 code,ICD10
4112009,Acute erythematous tonsillitis,Disorder,SNOMED
45562433,Acute tonsillitis due to other specified organisms,ICD10 code,ICD10
40396923,[X]Acute tonsillitis due to other specified organisms,Disorder,SNOMED
40510246,Infective tonsillitis,Disorder,SNOMED
4110361,Acute viral tonsillitis,Disorder,SNOMED
42488869,Acute tonsillitis, unspecified, not specified as recurrent,KCD7 code,KCD7
1569448,Acute tonsillitis,3-char nonbill code,ICD10CM
4109898,Acute gangrenous tonsillitis,Disorder,SNOMED
42488860,Acute tonsillitis,KCD7 code,KCD7
44799647,[X]Acute tonsillitis due to other specified organisms,Disorder,SNOMED
4112345,Acute bacterial tonsillitis,Disorder,SNOMED
45929399,Acute Tonsillitis,Diagnosis,CIEL
3407274,Infective tonsillitis,Clinical Finding,Nebraska Lexicon
24660,Acute tonsillitis,Disorder,SNOMED
1569450,Acute tonsillitis due to other specified organisms,4-char nonbill code,ICD10CM
1569451,Acute tonsillitis, unspecified,4-char nonbill code,ICD10CM
4109896,Acute ulcerative tonsillitis,Disorder,SNOMED
45552876,Acute tonsillitis,ICD10 Hierarchy,ICD10
4110362,Recurrent acute tonsillitis,Disorder,SNOMED
