TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
443611,433146000,Chronic kidney disease stage 5,SNOMED,Subsumes,45769903,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,90761000119106,Disorder,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Due to of,606970,Inflammation of retina due to chronic kidney disease stage 5,1148920008,Disorder,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Has interprets,40282772,Renal function,11953005,Observable Entity,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Maps to,443611,Chronic kidney disease stage 5,433146000,Disorder,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Mapped from,443611,Chronic kidney disease stage 5,433146000,Disorder,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Mapped from,3559379,Chronic kidney disease stage 5,834041000000103,Undefined,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Concept same_as from,3559379,Chronic kidney disease stage 5,834041000000103,Undefined,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Mapped from,44837192,Chronic kidney disease, Stage V,585.5,4-dig billing code,ICD9CM
443611,433146000,Chronic kidney disease stage 5,SNOMED,Subsumes,44792255,Chronic kidney disease stage 5 without proteinuria,324541000000105,Disorder,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Subsumes,601165,Chronic kidney disease stage 5 due to drug induced diabetes mellitus,368461000119103,Disorder,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Subsumes,37018761,Chronic kidney disease stage 5 with transplant,714153000,Disorder,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Subsumes,43531562,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,711000119100,Disorder,SNOMED
443611,433146000,Chronic kidney disease stage 5,SNOMED,Mapped from,1126399,Patients with a diagnosis of chronic kidney disease (ckd) stage 5,M1188,HCPCS,HCPCS
