CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
45769903,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,Disorder,SNOMED
606970,Inflammation of retina due to chronic kidney disease stage 5,Disorder,SNOMED
40282772,Renal function,Observable Entity,SNOMED
443611,Chronic kidney disease stage 5,Disorder,SNOMED
3559379,Chronic kidney disease stage 5,Undefined,SNOMED
44837192,Chronic kidney disease, Stage V,4-dig billing code,ICD9CM
44792255,Chronic kidney disease stage 5 without proteinuria,Disorder,SNOMED
601165,Chronic kidney disease stage 5 due to drug induced diabetes mellitus,Disorder,SNOMED
37018761,Chronic kidney disease stage 5 with transplant,Disorder,SNOMED
43531562,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,Disorder,SNOMED
1126399,Patients with a diagnosis of chronic kidney disease (ckd) stage 5,HCPCS,HCPCS
44782690,Chronic kidney disease stage 5 due to hypertension,Disorder,SNOMED
44792254,Chronic kidney disease stage 5 with proteinuria,Disorder,SNOMED
35209278,Chronic kidney disease, stage 5,4-char billing code,ICD10CM
37395652,Anemia in chronic kidney disease stage 5,Disorder,SNOMED
3553409,Chronic kidney disease stage 5,Disorder,SNOMED
37017813,Chronic kidney disease stage 5 on dialysis,Disorder,SNOMED
4202383,Drug-induced diabetes mellitus,Disorder,SNOMED
760850,Benign hypertensive heart disease and chronic renal disease stage 5,Disorder,SNOMED
316866,Hypertensive disorder,Disorder,SNOMED
43020437,Malignant hypertensive chronic kidney disease stage 5,Disorder,SNOMED
4289933,Malignant hypertension,Disorder,SNOMED
45757444,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus,Disorder,SNOMED
201826,Type 2 diabetes mellitus,Disorder,SNOMED
46270356,Chronic kidney disease stage 5 due to benign hypertension,Disorder,SNOMED
44828971,Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease,5-dig billing code,ICD9CM
44784638,Hypertensive heart AND chronic kidney disease stage 5,Disorder,SNOMED
46284603,CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,Disorder,SNOMED
46284600,CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,Disorder,SNOMED
46284602,CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,Disorder,SNOMED
3555445,Chronic kidney disease stage 5 with proteinuria,Undefined,SNOMED
3555446,Chronic kidney disease stage 5 with proteinuria,Undefined,SNOMED
3555448,Chronic kidney disease stage 5 without proteinuria,Undefined,SNOMED
3555447,Chronic kidney disease stage 5 without proteinuria,Undefined,SNOMED
4326744,Blood pressure,Observable Entity,SNOMED
201254,Type 1 diabetes mellitus,Disorder,SNOMED
4028741,Benign hypertension,Disorder,SNOMED
3561158,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1,Undefined,SNOMED
3561159,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2,Undefined,SNOMED
3561160,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3,Undefined,SNOMED
