TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
192675,1761006,Biliary cirrhosis,SNOMED,Mapped from,4026129,Biliary cirrhosis NOS,197311004,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Concept was_a from,4026129,Biliary cirrhosis NOS,197311004,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Mapped from,40346413,Biliary cirrhosis (& [primary]),266540000,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Concept poss_eq from,40346413,Biliary cirrhosis (& [primary]),266540000,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Subsumes,4135822,Primary biliary cholangitis,31712002,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Subsumes,4292401,Clonorchiasis with biliary cirrhosis,37688005,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Mapped from,40317576,Biliary cirrhosis (& [primary]),155815006,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Concept poss_eq from,40317576,Biliary cirrhosis (& [primary]),155815006,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Subsumes,4003673,Obstructive biliary cirrhosis,109819003,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Subsumes,4046123,Secondary biliary cirrhosis,12368000,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Mapped from,44832478,Biliary cirrhosis,571.6,4-dig billing code,ICD9CM
192675,1761006,Biliary cirrhosis,SNOMED,Mapped from,192675,Biliary cirrhosis,1761006,Disorder,SNOMED
192675,1761006,Biliary cirrhosis,SNOMED,Mapped from,35208351,Biliary cirrhosis, unspecified,K74.5,4-char billing code,ICD10CM
192675,1761006,Biliary cirrhosis,SNOMED,Maps to,192675,Biliary cirrhosis,1761006,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Concept poss_eq from,40393782,(Liver cirrhosis: [named variants] or [NOS]) or (hepatic fibrosis),197309008,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Mapped from,40317575,Cirrhosis - non-alcoholic,155814005,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Concept same_as from,40317575,Cirrhosis - non-alcoholic,155814005,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Concept was_a from,4144117,Non-alcoholic cirrhosis NOS,266472004,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Mapped from,194692,Cirrhosis - non-alcoholic,266468003,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Maps to,194692,Cirrhosis - non-alcoholic,266468003,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Concept replaces,40317575,Cirrhosis - non-alcoholic,155814005,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Concept same_as from,444246,Cirrhosis of liver not due to alcohol,111370006,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Mapped from,444246,Cirrhosis of liver not due to alcohol,111370006,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Mapped from,4144117,Non-alcoholic cirrhosis NOS,266472004,Disorder,SNOMED
194692,266468003,Cirrhosis - non-alcoholic,SNOMED,Concept poss_eq from,40393760,(Cirrhosis - non alcoholic) or (portal cirrhosis),197290000,Disorder,SNOMED
