CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
4026129,Biliary cirrhosis NOS,Disorder,SNOMED
40346413,Biliary cirrhosis (& [primary]),Disorder,SNOMED
4135822,Primary biliary cholangitis,Disorder,SNOMED
4292401,Clonorchiasis with biliary cirrhosis,Disorder,SNOMED
40317576,Biliary cirrhosis (& [primary]),Disorder,SNOMED
4003673,Obstructive biliary cirrhosis,Disorder,SNOMED
4046123,Secondary biliary cirrhosis,Disorder,SNOMED
44832478,Biliary cirrhosis,4-dig billing code,ICD9CM
192675,Biliary cirrhosis,Disorder,SNOMED
35208351,Biliary cirrhosis, unspecified,4-char billing code,ICD10CM
40393782,(Liver cirrhosis: [named variants] or [NOS]) or (hepatic fibrosis),Disorder,SNOMED
40317575,Cirrhosis - non-alcoholic,Disorder,SNOMED
4144117,Non-alcoholic cirrhosis NOS,Disorder,SNOMED
194692,Cirrhosis - non-alcoholic,Disorder,SNOMED
444246,Cirrhosis of liver not due to alcohol,Disorder,SNOMED
40393760,(Cirrhosis - non alcoholic) or (portal cirrhosis),Disorder,SNOMED
44832477,Cirrhosis of liver without mention of alcohol,4-dig billing code,ICD9CM
3539899,Non-alcoholic cirrhosis NOS,Disorder,SNOMED
196463,Alcoholic cirrhosis,Disorder,SNOMED
46269816,Ascites due to alcoholic cirrhosis,Disorder,SNOMED
1569671,Alcoholic cirrhosis of liver,4-char nonbill code,ICD10CM
40317572,Alcoholic cirrhosis of liver,Disorder,SNOMED
4302633,Ethanol,Substance,SNOMED
40438006,Portal cirrhosis,Disorder,SNOMED
45605952,Alcoholic cirrhosis of liver without ascites,5-char billing code,ICD10CM
44819802,Alcoholic cirrhosis of liver,4-dig billing code,ICD9CM
45538545,Alcoholic cirrhosis of liver with ascites,5-char billing code,ICD10CM
40634954,Alcoholic cirrhosis of liver,Disorder,SNOMED
619608,Esophageal varices due to alcoholic cirrhosis of liver,Disorder,SNOMED
40346332,Alcoholic cirrhosis of liver,Disorder,SNOMED
40393749,Cirrhosis: [florid] or [alcoholic],Disorder,SNOMED
4208951,Ingestible alcohol,Substance,SNOMED
42538541,Classical cystic fibrosis,Disorder,SNOMED
605193,Liver cirrhosis due to classical cystic fibrosis,Disorder,SNOMED
3656096,Cirrhosis of liver due to and following cardiac procedure,Disorder,SNOMED
4042673,Procedure on heart,Procedure,SNOMED
4059289,Biliary cirrhosis of children,Disorder,SNOMED
4046016,Toxic cirrhosis,Disorder,SNOMED
4022675,Substance,Substance,SNOMED
35208350,Secondary biliary cirrhosis,4-char billing code,ICD10CM
4220843,Extrahepatic obstructive biliary disease,Disorder,SNOMED
4048057,Nutritional cirrhosis,Disorder,SNOMED
4048083,Advanced cirrhosis,Disorder,SNOMED
4049282,Cholangiolitic cirrhosis,Disorder,SNOMED
4049419,Latent cirrhosis,Disorder,SNOMED
4050640,Mixed micro and macronodular cirrhosis,Disorder,SNOMED
4053079,Syphilitic cirrhosis,Disorder,SNOMED
4248851,Treponema pallidum,Organism,SNOMED
4055209,Unilobular portal cirrhosis,Disorder,SNOMED
4055210,Diffuse nodular cirrhosis,Disorder,SNOMED
4055212,Bacterial portal cirrhosis,Disorder,SNOMED
4058682,Syphilitic portal cirrhosis,Disorder,SNOMED
4249833,Domain Bacteria,Organism,SNOMED
4058680,Fatty portal cirrhosis,Disorder,SNOMED
4058681,Capsular portal cirrhosis,Disorder,SNOMED
4059285,Pigmentary portal cirrhosis,Disorder,SNOMED
35624491,Iron and/or iron compound,Substance,SNOMED
4146827,Toxic substance,Substance,SNOMED
4059287,Toxic portal cirrhosis,Disorder,SNOMED
45772057,Cirrhosis of liver due to hepatitis B,Disorder,SNOMED
4059284,Cirrhosis and chronic liver disease,Disorder,SNOMED
45601187,Unspecified cirrhosis of liver,5-char billing code,ICD10CM
45539251,Congenital cirrhosis (of liver),5-char billing code,ICD10CM
4098583,Posthepatitic cirrhosis,Disorder,SNOMED
4340945,Cirrhosis of liver NOS,Disorder,SNOMED
4059288,Cardituberculous cirrhosis,Disorder,SNOMED
44805713,Cirrhosis associated with cystic fibrosis,Disorder,SNOMED
40317569,(Cirrhosis &/or chronic liver dis) or (alcoholic liver disease),Disorder,SNOMED
764743,Family history of cirrhosis of liver,Context-dependent,SNOMED
37396401,Decompensated cirrhosis of liver,Disorder,SNOMED
4252074,Cardiac cirrhosis,Disorder,SNOMED
4159158,Early cirrhosis,Disorder,SNOMED
35208338,Toxic liver disease with fibrosis and cirrhosis of liver,4-char billing code,ICD10CM
45581912,Other cirrhosis of liver,5-char billing code,ICD10CM
4071022,Micronodular cirrhosis,Disorder,SNOMED
44783142,North American Indian childhood cirrhosis,Disorder,SNOMED
4143008,Drug-induced cirrhosis of liver,Disorder,SNOMED
37110890,Cirrhotic cardiomyopathy,Disorder,SNOMED
619607,Esophageal varices due to cirrhosis of liver,Disorder,SNOMED
1569682,Other and unspecified cirrhosis of liver,4-char nonbill code,ICD10CM
44826726,Chronic liver disease and cirrhosis,3-dig nonbill code,ICD9CM
43531723,Cirrhosis of liver due to chronic hepatitis C,Disorder,SNOMED
4268006,Indian childhood cirrhosis,Disorder,SNOMED
4313567,Postnecrotic cirrhosis,Disorder,SNOMED
40394676,[X]Other and unspecified cirrhosis of liver,Disorder,SNOMED
4340393,Infectious cirrhosis,Disorder,SNOMED
4133978,Acquired portal-systemic shunt due to cirrhosis,Disorder,SNOMED
42539566,Cirrhosis of liver with primary sclerosing cholangitis,Disorder,SNOMED
