TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
4154790,271650006,Diastolic blood pressure,SNOMED,Has property,36716283,Pressure,722243006,Qualifier Value,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,37160568,Self reported diastolic blood pressure,1162735000,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Inheres in,4014241,Structure of cardiovascular system,113257007,Body Structure,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,35610320,Diastolic arterial pressure,1091811000000102,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Mapped from,4154790,Diastolic blood pressure,271650006,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Maps to,4154790,Diastolic blood pressure,271650006,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Has scale type,4149267,Quantitative,30766002,Qualifier Value,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,44789316,Ambulatory diastolic blood pressure,198091000000104,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,45769783,Diastolic blood pressure of neonate at birth,708507001,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Interprets of,4175340,Decreased diastolic arterial pressure,42689008,Clinical Finding,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,4268883,Standing diastolic blood pressure,400975005,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,4248524,Sitting diastolic blood pressure,407555005,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Interprets of,4047613,Increased diastolic arterial pressure,23154005,Clinical Finding,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,44806886,Diastolic blood pressure centile,814081000000101,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,40486938,Diastolic blood pressure on admission,446226005,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Characterizes,36716961,Diastolic phase,723229005,Qualifier Value,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,37399010,Baseline diastolic blood pressure,716632005,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,4194580,24 hour diastolic blood pressure,314465004,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Concept poss_eq from,40454826,Non-invasive diastolic arterial pressure,251072005,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Subsumes,4236281,Lying diastolic blood pressure,407557002,Observable Entity,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Interprets of,4177952,Abnormal diastolic arterial pressure,49844009,Clinical Finding,SNOMED
4154790,271650006,Diastolic blood pressure,SNOMED,Interprets of,4204973,Normal diastolic arterial pressure,53813002,Clinical Finding,SNOMED
4194580,314465004,24 hour diastolic blood pressure,SNOMED,Has scale type,4149267,Quantitative,30766002,Qualifier Value,SNOMED
4194580,314465004,24 hour diastolic blood pressure,SNOMED,Has property,36716283,Pressure,722243006,Qualifier Value,SNOMED
4194580,314465004,24 hour diastolic blood pressure,SNOMED,Characterizes,36716961,Diastolic phase,723229005,Qualifier Value,SNOMED
4194580,314465004,24 hour diastolic blood pressure,SNOMED,Mapped from,4194580,24 hour diastolic blood pressure,314465004,Observable Entity,SNOMED
4194580,314465004,24 hour diastolic blood pressure,SNOMED,Inheres in,4014241,Structure of cardiovascular system,113257007,Body Structure,SNOMED
4194580,314465004,24 hour diastolic blood pressure,SNOMED,Maps to,4194580,24 hour diastolic blood pressure,314465004,Observable Entity,SNOMED
4194580,314465004,24 hour diastolic blood pressure,SNOMED,Has time aspect,4047939,24 hours,123027009,Qualifier Value,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Mapped from,3551585,Lying diastolic blood pressure,100181000000103,Undefined,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Mapped from,3551317,Lying diastolic blood pressure,95311000000107,Undefined,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Concept same_as from,3551317,Lying diastolic blood pressure,95311000000107,Undefined,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Has precondition,4009887,Recumbent body position,102538003,Clinical Finding,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Inheres in,4014241,Structure of cardiovascular system,113257007,Body Structure,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Mapped from,4236281,Lying diastolic blood pressure,407557002,Observable Entity,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Has scale type,4149267,Quantitative,30766002,Qualifier Value,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Has property,36716283,Pressure,722243006,Qualifier Value,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Characterizes,36716961,Diastolic phase,723229005,Qualifier Value,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Concept same_as from,3551585,Lying diastolic blood pressure,100181000000103,Undefined,SNOMED
4236281,407557002,Lying diastolic blood pressure,SNOMED,Maps to,4236281,Lying diastolic blood pressure,407557002,Observable Entity,SNOMED
