CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
36716283,Pressure,Qualifier Value,SNOMED
37160568,Self reported diastolic blood pressure,Observable Entity,SNOMED
4014241,Structure of cardiovascular system,Body Structure,SNOMED
35610320,Diastolic arterial pressure,Observable Entity,SNOMED
4154790,Diastolic blood pressure,Observable Entity,SNOMED
4149267,Quantitative,Qualifier Value,SNOMED
44789316,Ambulatory diastolic blood pressure,Observable Entity,SNOMED
45769783,Diastolic blood pressure of neonate at birth,Observable Entity,SNOMED
4175340,Decreased diastolic arterial pressure,Clinical Finding,SNOMED
4268883,Standing diastolic blood pressure,Observable Entity,SNOMED
4248524,Sitting diastolic blood pressure,Observable Entity,SNOMED
4047613,Increased diastolic arterial pressure,Clinical Finding,SNOMED
44806886,Diastolic blood pressure centile,Observable Entity,SNOMED
40486938,Diastolic blood pressure on admission,Observable Entity,SNOMED
36716961,Diastolic phase,Qualifier Value,SNOMED
37399010,Baseline diastolic blood pressure,Observable Entity,SNOMED
4194580,24 hour diastolic blood pressure,Observable Entity,SNOMED
40454826,Non-invasive diastolic arterial pressure,Observable Entity,SNOMED
4236281,Lying diastolic blood pressure,Observable Entity,SNOMED
4177952,Abnormal diastolic arterial pressure,Clinical Finding,SNOMED
4204973,Normal diastolic arterial pressure,Clinical Finding,SNOMED
4047939,24 hours,Qualifier Value,SNOMED
3551585,Lying diastolic blood pressure,Undefined,SNOMED
3551317,Lying diastolic blood pressure,Undefined,SNOMED
4009887,Recumbent body position,Clinical Finding,SNOMED
3571349,Sitting diastolic blood pressure,Undefined,SNOMED
4142787,Sitting position,Clinical Finding,SNOMED
3551315,Sitting diastolic blood pressure,Undefined,SNOMED
3550890,Standing diastolic blood pressure,Undefined,SNOMED
3550988,Standing diastolic blood pressure,Undefined,SNOMED
4033753,Orthostatic body position,Clinical Finding,SNOMED
40620464,Diastolic arterial pressure,Observable Entity,SNOMED
4199457,Arterial structure,Body Structure,SNOMED
603082,Self reported,Qualifier Value,SNOMED
46284420,Baseline diastolic blood pressure,Observable Entity,SNOMED
3553855,Ambulatory diastolic blood pressure,Undefined,SNOMED
3553856,Ambulatory diastolic blood pressure,Undefined,SNOMED
3559135,Diastolic blood pressure centile,Undefined,SNOMED
