TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
2213572,90935,,CPT4,CPT4 - SNOMED eq,4120120,Hemodialysis,302497006,Procedure,SNOMED
2213572,90935,,CPT4,Maps to,2213572,,90935,CPT4,CPT4
2213572,90935,,CPT4,Mapped from,2213572,,90935,CPT4,CPT4
2213572,90935,,CPT4,Is a,4120120,Hemodialysis,302497006,Procedure,SNOMED
2213572,90935,,CPT4,CPT4 - SNOMED cat,4120120,Hemodialysis,302497006,Procedure,SNOMED
2213572,90935,,CPT4,Is a,45889034,,1012752,CPT4 Hierarchy,CPT4
2213572,90935,,CPT4,CPT4 - SNOMED eq,4297090,Evaluation procedure,386053000,Procedure,SNOMED
2213573,90937,,CPT4,Maps to,2213573,,90937,CPT4,CPT4
2213573,90937,,CPT4,CPT4 - SNOMED cat,4120120,Hemodialysis,302497006,Procedure,SNOMED
2213573,90937,,CPT4,Is a,45889034,,1012752,CPT4 Hierarchy,CPT4
2213573,90937,,CPT4,CPT4 - SNOMED eq,4297090,Evaluation procedure,386053000,Procedure,SNOMED
2213573,90937,,CPT4,Is a,4120120,Hemodialysis,302497006,Procedure,SNOMED
2213573,90937,,CPT4,CPT4 - SNOMED eq,4120120,Hemodialysis,302497006,Procedure,SNOMED
2213573,90937,,CPT4,CPT4 - SNOMED eq,4013066,Change of prescription,113012008,Procedure,SNOMED
2213573,90937,,CPT4,Mapped from,2213573,,90937,CPT4,CPT4
2213575,90940,,CPT4,CPT4 - SNOMED eq,4223358,Indicator dilution flow measurement,84127006,Procedure,SNOMED
2213575,90940,,CPT4,CPT4 - SNOMED cat,4120120,Hemodialysis,302497006,Procedure,SNOMED
2213575,90940,,CPT4,Is a,45889034,,1012752,CPT4 Hierarchy,CPT4
2213575,90940,,CPT4,Is a,4032243,Dialysis procedure,108241001,Procedure,SNOMED
2213575,90940,,CPT4,CPT4 - SNOMED eq,4032243,Dialysis procedure,108241001,Procedure,SNOMED
2213575,90940,,CPT4,Maps to,2213575,,90940,CPT4,CPT4
2213575,90940,,CPT4,Mapped from,2213575,,90940,CPT4,CPT4
