TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Concept same_as from,40361415,Sickle cell syndrome,276267006,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Concept was_a from,40390968,[X]Other sickle cell disorders,191419008,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Mapped from,40390968,[X]Other sickle cell disorders,191419008,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Concept replaces,40626820,Hemoglobin S disease,80046004,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Mapped from,40626820,Hemoglobin S disease,80046004,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Due to of,4109401,Proliferative retinopathy due to sickle cell disease,193370005,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Concept same_as from,40321273,Sickle cell anemia,154798006,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Subsumes,44799040,[X]Other sickle cell disorders,455791000000104,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Mapped from,44799040,[X]Other sickle cell disorders,455791000000104,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Concept was_a from,44799040,[X]Other sickle cell disorders,455791000000104,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Asso finding of,37310723,NHS Sickle Cell and Thalassaemia Screening Programme result consistent with Hb SS (sickle cell-Haemoglobin SS) disease,148601000000109,Context-dependent,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Follows,254062,Acute chest syndrome,372146004,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Occurs before,254062,Acute chest syndrome,372146004,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Asso finding of,4050803,Family history of sickle cell anemia,160320002,Context-dependent,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Focus of,4014320,Antenatal sickle cell screening,169707007,Procedure,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Mapped from,4100993,Sickle cell anemia NOS,191199004,Disorder,SNOMED
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Mapped from,785896,Hb-SS disease with dactylitis,D57.04,5-char billing code,ICD10CM
22281,127040003,Sickle cell-hemoglobin SS disease,SNOMED,Subsumes,45757146,Sickle cell anemia in mother complicating childbirth,10759351000119103,Disorder,SNOMED
