CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
40361415,Sickle cell syndrome,Disorder,SNOMED
40390968,[X]Other sickle cell disorders,Disorder,SNOMED
40626820,Hemoglobin S disease,Disorder,SNOMED
4109401,Proliferative retinopathy due to sickle cell disease,Disorder,SNOMED
40321273,Sickle cell anemia,Disorder,SNOMED
44799040,[X]Other sickle cell disorders,Disorder,SNOMED
37310723,NHS Sickle Cell and Thalassaemia Screening Programme result consistent with Hb SS (sickle cell-Haemoglobin SS) disease,Context-dependent,SNOMED
254062,Acute chest syndrome,Disorder,SNOMED
4050803,Family history of sickle cell anemia,Context-dependent,SNOMED
4014320,Antenatal sickle cell screening,Procedure,SNOMED
4100993,Sickle cell anemia NOS,Disorder,SNOMED
785896,Hb-SS disease with dactylitis,5-char billing code,ICD10CM
45757146,Sickle cell anemia in mother complicating childbirth,Disorder,SNOMED
607429,Acute chest syndrome due to sickle cell thalassemia with crisis,Disorder,SNOMED
40482271,Screening for sickle cell disease,Procedure,SNOMED
30683,Hemoglobin SS disease without crisis,Disorder,SNOMED
45542708,Hb-SS disease with acute chest syndrome,5-char billing code,ICD10CM
1567844,Sickle-cell disorders,3-char nonbill code,ICD10CM
40390035,Sickle cell anemia,Disorder,SNOMED
40480067,Measurement of total hemoglobin concentration,Procedure,SNOMED
3530067,History of sickle cell anaemia,Context-dependent,SNOMED
4178879,Hemoglobin S,Substance,SNOMED
40479193,History of sickle cell anemia,Context-dependent,SNOMED
26942,Hemoglobin SS disease with crisis,Disorder,SNOMED
4098750,Sickle cell anemia of unspecified type,Disorder,SNOMED
22281,Sickle cell-hemoglobin SS disease,Disorder,SNOMED
603017,Acute chest syndrome due to sickle cell hemoglobin C disease with crisis,Disorder,SNOMED
4121115,Sickle cell anemia with high hemoglobin F,Disorder,SNOMED
4131914,Sickle cell anemia with coexistent alpha-thalassemia,Disorder,SNOMED
765385,Acute chest syndrome due to sickle cell-hemoglobin C disease with crisis,Disorder,SNOMED
3542412,History of sickle cell anaemia,Undefined,SNOMED
