CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
132570,Leukemic reticuloendotheliosis of lymph nodes of head, face and neck,Disorder,SNOMED
44832151,Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck,5-dig billing code,ICD9CM
44832157,Chronic myeloid leukemia, in remission,5-dig billing code,ICD9CM
132572,Chronic myeloid leukemia in remission,Disorder,SNOMED
45595721,Chronic myeloid leukemia, BCR/ABL-positive, in remission,5-char billing code,ICD10CM
132575,Myeloid sarcoma in remission,Disorder,SNOMED
44829846,Myeloid sarcoma, in remission,5-dig billing code,ICD9CM
45552314,Myeloid sarcoma, in remission,5-char billing code,ICD10CM
45605317,Peripheral T-cell lymphoma, not elsewhere classified, lymph nodes of multiple sites,5-char billing code,ICD10CM
45537865,Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites,5-char billing code,ICD10CM
45552308,Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites,5-char billing code,ICD10CM
45571564,Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites,5-char billing code,ICD10CM
45571554,Diffuse large B-cell lymphoma, lymph nodes of multiple sites,5-char billing code,ICD10CM
44822895,Large cell lymphoma, lymph nodes of multiple sites,5-dig billing code,ICD9CM
45576352,Follicular lymphoma grade IIIb, lymph nodes of multiple sites,5-char billing code,ICD10CM
45586033,Follicular lymphoma grade III, unspecified, lymph nodes of multiple sites,5-char billing code,ICD10CM
44831011,Other malignant lymphomas, lymph nodes of multiple sites,5-dig billing code,ICD9CM
36684814,Non-Hodgkin's lymphoma of lymph nodes of multiple sites,Disorder,SNOMED
45566636,Other non-follicular lymphoma, lymph nodes of multiple sites,5-char billing code,ICD10CM
45537852,Follicular lymphoma grade II, lymph nodes of multiple sites,5-char billing code,ICD10CM
45547548,Unspecified B-cell lymphoma, lymph nodes of multiple sites,5-char billing code,ICD10CM
45595710,Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites,5-char billing code,ICD10CM
44836857,Marginal zone lymphoma, lymph nodes of multiple sites,5-dig billing code,ICD9CM
45576364,Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites,5-char billing code,ICD10CM
132841,Malignant lymphoma of lymph nodes of multiple sites,Disorder,SNOMED
35206424,Other specified types of non-Hodgkin's lymphoma, extranodal and solid organ sites,5-char billing code,ICD10CM
316356,Hodgkin's disease of lymph nodes of multiple sites,Disorder,SNOMED
45576351,Follicular lymphoma grade IIIa, lymph nodes of multiple sites,5-char billing code,ICD10CM
44836861,Anaplastic large cell lymphoma, lymph nodes of multiple sites,5-dig billing code,ICD9CM
45537856,Diffuse follicle center lymphoma, lymph nodes of multiple sites,5-char billing code,ICD10CM
45581246,Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites,5-char billing code,ICD10CM
44829828,Primary central nervous system lymphoma, lymph nodes of multiple sites,5-dig billing code,ICD9CM
45595707,Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites,5-char billing code,ICD10CM
44826429,Peripheral T cell lymphoma, lymph nodes of multiple sites,5-dig billing code,ICD9CM
45561856,Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites,5-char billing code,ICD10CM
45552307,Other mature T/NK-cell lymphomas, lymph nodes of multiple sites,5-char billing code,ICD10CM
37311926,Juvenile myelomonocytic leukemia in remission,Disorder,SNOMED
40649780,Subacute myeloid leukemia in remission,Disorder,SNOMED
135762,Acute myeloid leukemia in remission,Disorder,SNOMED
45542665,Other myeloid leukemia, in remission,5-char billing code,ICD10CM
44821762,Other myeloid leukemia, in remission,5-dig billing code,ICD9CM
45576369,Myeloid leukemia, unspecified in remission,5-char billing code,ICD10CM
132850,Myeloid leukemia in remission,Disorder,SNOMED
44829847,Unspecified myeloid leukemia, in remission,5-dig billing code,ICD9CM
40645853,Chronic monocytic leukemia in remission,Disorder,SNOMED
136367,Erythroleukemia in remission,Disorder,SNOMED
40647633,Monocytic leukemia in remission,Disorder,SNOMED
40649778,Subacute monocytic leukemia in remission,Disorder,SNOMED
4143382,Subacute myeloid leukemia in remission,Disorder,SNOMED
4094550,Adult T-cell leukemia,Disorder,SNOMED
