TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
23220,90979004,Chronic tonsillitis,SNOMED,Mapped from,45576948,Chronic tonsillitis and adenoiditis,J35.03,5-char billing code,ICD10CM
23220,90979004,Chronic tonsillitis,SNOMED,Concept same_as from,40316078,Chronic tonsillitis,155530006,Disorder,SNOMED
23220,90979004,Chronic tonsillitis,SNOMED,Mapped from,40316078,Chronic tonsillitis,155530006,Disorder,SNOMED
23220,90979004,Chronic tonsillitis,SNOMED,Mapped from,45533547,Chronic tonsillitis,J35.01,5-char billing code,ICD10CM
23220,90979004,Chronic tonsillitis,SNOMED,Mapped from,44820882,Chronic tonsillitis,474.00,5-dig billing code,ICD9CM
23220,90979004,Chronic tonsillitis,SNOMED,Concept poss_eq from,40395054,(Chronic tonsillitis) or (chronic adenoiditis),195794009,Disorder,SNOMED
23220,90979004,Chronic tonsillitis,SNOMED,Mapped from,44826665,Chronic tonsillitis and adenoiditis,474.02,5-dig billing code,ICD9CM
23220,90979004,Chronic tonsillitis,SNOMED,Mapped from,44830108,Chronic tonsillitis and adenoiditis,474.0,4-dig nonbill code,ICD9CM
23220,90979004,Chronic tonsillitis,SNOMED,Mapped from,1569480,Chronic tonsillitis and adenoiditis,J35.0,4-char nonbill code,ICD10CM
23220,90979004,Chronic tonsillitis,SNOMED,Mapped from,23220,Chronic tonsillitis,90979004,Disorder,SNOMED
23220,90979004,Chronic tonsillitis,SNOMED,Maps to,23220,Chronic tonsillitis,90979004,Disorder,SNOMED
23220,90979004,Chronic tonsillitis,SNOMED,Subsumes,24978,Chronic adenotonsillitis,195798007,Disorder,SNOMED
24660,17741008,Acute tonsillitis,SNOMED,Mapped from,1569451,Acute tonsillitis, unspecified,J03.9,4-char nonbill code,ICD10CM
24660,17741008,Acute tonsillitis,SNOMED,Subsumes,4112009,Acute erythematous tonsillitis,195666007,Disorder,SNOMED
24660,17741008,Acute tonsillitis,SNOMED,Concept was_a from,40396923,[X]Acute tonsillitis due to other specified organisms,196198008,Disorder,SNOMED
