TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45586833,Felty's syndrome, unspecified site,M05.00,5-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45548251,Felty's syndrome, right knee,M05.061,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,1569969,Felty's syndrome, elbow,M05.02,5-char nonbill code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,1569970,Felty's syndrome, wrist,M05.03,5-char nonbill code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45577091,Felty's syndrome, unspecified knee,M05.069,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,44821123,Felty's syndrome,714.1,4-dig billing code,ICD9CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45548250,Felty's syndrome, left hand,M05.042,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45577092,Felty's syndrome, multiple sites,M05.09,5-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45533690,Felty's syndrome, right ankle and foot,M05.071,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45567403,Felty's syndrome, unspecified shoulder,M05.019,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45572326,Felty's syndrome, left knee,M05.062,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Has interprets,4298431,White blood cell count,767002,Procedure,SNOMED
81097,57160007,Felty's syndrome,SNOMED,Mapped from,1569972,Felty's syndrome, hip,M05.05,5-char nonbill code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,1569974,Felty's syndrome, ankle and foot,M05.07,5-char nonbill code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45557752,Felty's syndrome, right elbow,M05.021,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45533689,Felty's syndrome, left shoulder,M05.012,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45606039,Felty's syndrome, right shoulder,M05.011,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45548248,Felty's syndrome, unspecified elbow,M05.029,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,1569973,Felty's syndrome, knee,M05.06,5-char nonbill code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Subsumes,37160421,Felty syndrome with seronegative rheumatoid arthritis,1162364006,Disorder,SNOMED
81097,57160007,Felty's syndrome,SNOMED,Mapped from,81097,Felty's syndrome,57160007,Disorder,SNOMED
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45567405,Felty's syndrome, unspecified hand,M05.049,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,40320314,Felty's syndrome,156482001,Disorder,SNOMED
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45582002,Felty's syndrome, right wrist,M05.031,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Maps to,81097,Felty's syndrome,57160007,Disorder,SNOMED
81097,57160007,Felty's syndrome,SNOMED,Concept same_as from,40320314,Felty's syndrome,156482001,Disorder,SNOMED
81097,57160007,Felty's syndrome,SNOMED,Concept replaces,40320314,Felty's syndrome,156482001,Disorder,SNOMED
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45567404,Felty's syndrome, left wrist,M05.032,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45562581,Felty's syndrome, left elbow,M05.022,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45591685,Felty's syndrome, right hip,M05.051,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45548252,Felty's syndrome, left ankle and foot,M05.072,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,1569971,Felty's syndrome, hand,M05.04,5-char nonbill code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45543428,Felty's syndrome, unspecified hip,M05.059,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45577090,Felty's syndrome, left hip,M05.052,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45548249,Felty's syndrome, right hand,M05.041,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45538622,Felty's syndrome, unspecified wrist,M05.039,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,45553036,Felty's syndrome, unspecified ankle and foot,M05.079,6-char billing code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,1569967,Felty's syndrome,M05.0,4-char nonbill code,ICD10CM
81097,57160007,Felty's syndrome,SNOMED,Mapped from,1569968,Felty's syndrome, shoulder,M05.01,5-char nonbill code,ICD10CM
192298,58381000,Hypersplenism,SNOMED,Concept poss_eq from,40321730,Diseases of spleen (& [hypersplenism] or [infarct]),154839008,Disorder,SNOMED
192298,58381000,Hypersplenism,SNOMED,Mapped from,35206780,Hypersplenism,D73.1,4-char billing code,ICD10CM
192298,58381000,Hypersplenism,SNOMED,Mapped from,192298,Hypersplenism,58381000,Disorder,SNOMED
192298,58381000,Hypersplenism,SNOMED,Subsumes,4227200,Hypersplenism associated with AIDS,420749009,Disorder,SNOMED
192298,58381000,Hypersplenism,SNOMED,Maps to,192298,Hypersplenism,58381000,Disorder,SNOMED
192298,58381000,Hypersplenism,SNOMED,Due to of,4272928,Thrombocytopenia due to hypersplenism,63444004,Disorder,SNOMED
192298,58381000,Hypersplenism,SNOMED,Mapped from,44821808,Hypersplenism,289.4,4-dig billing code,ICD9CM
192298,58381000,Hypersplenism,SNOMED,Concept poss_eq from,40351358,Diseases of spleen (& [hypersplenism] or [infarct]),267570002,Disorder,SNOMED
193157,93518009,Hodgkin's disease, nodular sclerosis of spleen,SNOMED,Maps to,193157,Hodgkin's disease, nodular sclerosis of spleen,93518009,Disorder,SNOMED
193157,93518009,Hodgkin's disease, nodular sclerosis of spleen,SNOMED,Mapped from,45600536,Nodular sclerosis Hodgkin lymphoma, spleen,C81.17,5-char billing code,ICD10CM
193157,93518009,Hodgkin's disease, nodular sclerosis of spleen,SNOMED,Mapped from,44829835,Hodgkin's disease, nodular sclerosis, spleen,201.57,5-dig billing code,ICD9CM
193157,93518009,Hodgkin's disease, nodular sclerosis of spleen,SNOMED,Concept replaces,40386196,Hodgkin's disease, nodular sclerosis of spleen,188571008,Disorder,SNOMED
193157,93518009,Hodgkin's disease, nodular sclerosis of spleen,SNOMED,Concept same_as from,40386196,Hodgkin's disease, nodular sclerosis of spleen,188571008,Disorder,SNOMED
