CONCEPT_CODE	CONCEPT_NAME	DOMAIN_ID	CONCEPT_CLASS_ID	STANDARD_CONCEPT	VOCABULARY_ID	VOCABULARY_NAME
OMOP3136023	urapidil 5.5 MG/ML [Urapidil Ratiopharm]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
OMOP3137839	Angelica archangelica leaf extract 0.19 MG/ML / CRATAEGUS LAEVIGATA FRUIT 76 MG/ML / Equisetum arvense whole extract 40 MG/ML / Ginseng Preparation 0.19 MG/ML / Oats preparation 153 MG/ML / ... Oral Solution [Mistelan] Box of 1	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP3137995	urapidil 5.5 MG/ML Injectable Solution [Urapidil Ratiopharm] Box of 5	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP3136239	urapidil 5.5 MG/ML Injectable Solution	Drug	Clinical Drug	S	RxNorm Extension	OMOP RxNorm Extension
OMOP3137053	urapidil 5.5 MG/ML Injectable Solution Box of 5	Drug	Clinical Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
OMOP3137272	Angelica archangelica leaf extract 0.19 MG/ML / CRATAEGUS LAEVIGATA FRUIT 76 MG/ML / Equisetum arvense whole extract 40 MG/ML / Ginseng Preparation 0.19 MG/ML / Oats preparation 153 MG/ML / Rauwolfia preparation 9 MG/ML / ... Oral Solution [Mistelan]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
2599279	clonidine 0.09 MG/ML [Nexiclon]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
2599282	clonidine 0.17 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
2599284	clonidine 0.17 MG Extended Release Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
1989081	bosentan 32 MG Tablet for Oral Suspension	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
312483	polythiazide 0.5 MG / prazosin 5 MG Oral Capsule	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
754812	polythiazide 0.5 MG / prazosin 1 MG Oral Capsule [Minizide]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
197564	deserpidine 0.25 MG / hydrochlorothiazide 25 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
197771	hydrochlorothiazide 50 MG / reserpine 0.125 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
688649	hydrochlorothiazide 50 MG / methyldopa 500 MG Oral Tablet [Aldoril]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
OMOP5215852	bosentan Oral Capsule	Drug	Clinical Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
311645	methyldopa 250 MG Extended Release Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
316283	methyldopa 250 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
197987	minoxidil 2.5 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
332239	minoxidil 5 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
349253	bosentan 62.5 MG Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
312776	Rauwolfia serpentina (USP) 50 MG Delayed Release Oral Tablet	Drug	Clinical Drug	S	RxNorm	RxNorm (NLM)
316629	Rauwolfia serpentina (USP) 50 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
317483	Rauwolfia serpentina (USP) 100 MG	Drug	Clinical Drug Comp	S	RxNorm	RxNorm (NLM)
351582	Rauwolfia preparation 50 MG Oral Tablet [Rauwolfemms]	Drug	Branded Drug	S	RxNorm	RxNorm (NLM)
