CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
604484,Dependence on prolonged intermittent renal replacement therapy due to renal failure,Clinical Finding,SNOMED
192359,Renal failure syndrome,Disorder,SNOMED
4086154,Function,Observable Entity,SNOMED
3561568,Dependence on renal dialysis,Undefined,SNOMED
4019967,Dependence on renal dialysis,Clinical Finding,SNOMED
4179226,Dependence on dialysis due to end stage renal disease,Clinical Finding,SNOMED
40482357,Dependence on peritoneal dialysis,Clinical Finding,SNOMED
40480136,Dependence on hemodialysis,Clinical Finding,SNOMED
4264843,Functional observable,Observable Entity,SNOMED
35225436,Dependence on renal dialysis,4-char billing code,ICD10CM
193782,End-stage renal disease,Disorder,SNOMED
4177685,Dependence on peritoneal dialysis due to end stage renal disease,Clinical Finding,SNOMED
37209515,Dependence on continuous ambulatory peritoneal dialysis due to end stage renal disease,Clinical Finding,SNOMED
4181476,Dependence on hemodialysis due to end stage renal disease,Clinical Finding,SNOMED
36713020,Hyperparathyroidism due to end stage renal disease on dialysis,Disorder,SNOMED
46269984,Dependence on continuous ambulatory peritoneal dialysis,Clinical Finding,SNOMED
46269985,Dependence on continuous cycling peritoneal dialysis,Clinical Finding,SNOMED
