TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,Mapped from,3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,2085-9,Lab Test,LOINC
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,Has system,1033306,Serum or Plasma,LP7576-4,LOINC System,LOINC
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,Maps to,3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,2085-9,Lab Test,LOINC
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,Has property,1029650,Mass Concentration,LP6827-2,LOINC Property,LOINC
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,Has component,40782589,Cholesterol in HDL,LP15489-5,LOINC Component,LOINC
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,Mapped from,3005984,Deprecated Cholesterol.in HDL [Mass/volume] in Serum or Plasma,2086-7,Lab Test,LOINC
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,Concept replaces,3005984,Deprecated Cholesterol.in HDL [Mass/volume] in Serum or Plasma,2086-7,Lab Test,LOINC
3011884,27340-9,Cholesterol in HDL [Presence] in Serum or Plasma,LOINC,Mapped from,3011884,Cholesterol in HDL [Presence] in Serum or Plasma,27340-9,Lab Test,LOINC
3011884,27340-9,Cholesterol in HDL [Presence] in Serum or Plasma,LOINC,Has system,1033306,Serum or Plasma,LP7576-4,LOINC System,LOINC
3011884,27340-9,Cholesterol in HDL [Presence] in Serum or Plasma,LOINC,Has component,40782589,Cholesterol in HDL,LP15489-5,LOINC Component,LOINC
3011884,27340-9,Cholesterol in HDL [Presence] in Serum or Plasma,LOINC,Has scale type,1033749,Ord,LP7751-3,LOINC Scale,LOINC
3011884,27340-9,Cholesterol in HDL [Presence] in Serum or Plasma,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3011884,27340-9,Cholesterol in HDL [Presence] in Serum or Plasma,LOINC,Maps to,3011884,Cholesterol in HDL [Presence] in Serum or Plasma,27340-9,Lab Test,LOINC
3011884,27340-9,Cholesterol in HDL [Presence] in Serum or Plasma,LOINC,Has property,1015176,Presence or Threshold,LP217195-9,LOINC Property,LOINC
3013473,18263-4,Cholesterol in HDL [Mass/volume] in Serum or Plasma ultracentrifugate,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
3013473,18263-4,Cholesterol in HDL [Mass/volume] in Serum or Plasma ultracentrifugate,LOINC,Has system,1033324,Serum or Plasma ultracentrifugate,LP7578-0,LOINC System,LOINC
3013473,18263-4,Cholesterol in HDL [Mass/volume] in Serum or Plasma ultracentrifugate,LOINC,Maps to,3013473,Cholesterol in HDL [Mass/volume] in Serum or Plasma ultracentrifugate,18263-4,Lab Test,LOINC
3013473,18263-4,Cholesterol in HDL [Mass/volume] in Serum or Plasma ultracentrifugate,LOINC,Mapped from,3013473,Cholesterol in HDL [Mass/volume] in Serum or Plasma ultracentrifugate,18263-4,Lab Test,LOINC
