TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Subsumes,42538960,Asymptomatic human immunodeficiency virus A2 infection,90691000119105,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Subsumes,45773072,Human immunodeficiency virus (HIV) II infection category B2,72631000119101,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Subsumes,45769839,Human immunodeficiency virus (HIV) II infection category B1,72621000119104,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Mapped from,432554,Human immunodeficiency virus II infection,79019005,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Mapped from,45561777,Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere,B97.35,5-char billing code,ICD10CM
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Mapped from,44828699,Human immunodeficiency virus, type 2 [HIV-2],079.53,5-dig billing code,ICD9CM
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Has causative agent,4262565,Human immunodeficiency virus type 2,36115006,Organism,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Subsumes,3654900,Encephalitis caused by human immunodeficiency virus type 2,840442003,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Maps to,432554,Human immunodeficiency virus II infection,79019005,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept poss_eq from,4087606,HIV disease resulting in lymphoid interstitial pneumonitis,186726005,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Due to of,3655331,Esophagitis due to human immunodeficiency virus disease,860872005,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,44794980,[X]HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue,401941000000104,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept was_a from,44794980,[X]HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue,401941000000104,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,4089881,Acquired human immunodeficiency virus infection syndrome NOS,186715004,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept was_a from,4089881,Acquired human immunodeficiency virus infection syndrome NOS,186715004,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,4008081,Acute HIV infection,111880001,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,434752,Positive serological AND/OR viral culture findings for human immunodeficiency virus,78466009,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,434752,Positive serological AND/OR viral culture findings for human immunodeficiency virus,78466009,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept poss_eq from,434752,Positive serological AND/OR viral culture findings for human immunodeficiency virus,78466009,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Due to of,37166066,Autonomic disorder due to HIV infection,1259057001,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,44795858,[X]HIV disease resulting in unspecified malignant neoplasm,413311000000103,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept was_a from,44795858,[X]HIV disease resulting in unspecified malignant neoplasm,413311000000103,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Due to of,37162513,Enteritis of intestine due to human immunodeficiency virus disease,1193752001,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,44795859,[X]HIV disease resulting in multiple diseases classified elsewhere,413321000000109,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,44795859,[X]HIV disease resulting in multiple diseases classified elsewhere,413321000000109,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Due to of,3654645,Bacterial infection due to human immunodeficiency virus infection,838338001,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept poss_eq from,44795859,[X]HIV disease resulting in multiple diseases classified elsewhere,413321000000109,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017284,Infective arthritis co-occurrent with human immunodeficiency virus infection,713532005,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Asso with finding,40484012,Non-Hodgkin lymphoma associated with Human immunodeficiency virus infection,442537007,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Due to of,45767673,Lipodystrophy due to Human immunodeficiency virus infection and antiretroviral therapy,705149003,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017282,Agranulocytosis co-occurrent with human immunodeficiency virus infection,713530002,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017254,Candidiasis of mouth co-occurrent with human immunodeficiency virus infection,713497004,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017093,Heart disease co-occurrent with human immunodeficiency virus infection,713298006,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017209,Hemophagocytic syndrome with human immunodeficiency virus infection,713444005,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,36715476,Human immunodeficiency virus complicating pregnancy childbirth and the puerperium,721166000,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017295,Infection caused by Nocardia co-occurrent with human immunodeficiency virus infection,713545009,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Focus of,37168542,Human immunodeficiency virus management program,1284934003,Procedure,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Due to of,37162512,Enteritis of small intestine due to human immunodeficiency virus disease,1193751008,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37018711,Disorder of eye proper co-occurrent with human immunodeficiency virus infection,713299003,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017244,Disorder of respiratory system co-occurrent with human immunodeficiency virus infection,713484001,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37116831,Extrapulmonary tuberculosis co-occurrent with human immunodeficiency virus infection,733835007,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Due to of,3663234,Pruritus due to human immunodeficiency virus infection,870271009,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,606040,Primary human immunodeficiency virus infection,1142045004,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Focus of,4191703,Antenatal screening for human immunodeficiency virus,390786002,Procedure,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,4237443,HIV infection with infection by another virus,5810003,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept poss_eq from,4237443,HIV infection with infection by another virus,5810003,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37162220,Infectious mononucleosis caused by human immunodeficiency virus,1187000005,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept was_a from,40380239,[X]HIV disease resulting in other mycoses,187442007,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,40380239,[X]HIV disease resulting in other mycoses,187442007,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37018935,Dermatophytosis co-occurrent with human immunodeficiency virus infection,713734009,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,3654682,Chronic hepatitis C co-occurrent with human immunodeficiency virus infection,838377003,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017132,Anemia co-occurrent with human immunodeficiency virus infection,713349004,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,40288730,HTLV-III/LAV infection,123321001,Disorder,SNOMED
