CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
42538960,Asymptomatic human immunodeficiency virus A2 infection,Disorder,SNOMED
45773072,Human immunodeficiency virus (HIV) II infection category B2,Disorder,SNOMED
45769839,Human immunodeficiency virus (HIV) II infection category B1,Disorder,SNOMED
432554,Human immunodeficiency virus II infection,Disorder,SNOMED
45561777,Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere,5-char billing code,ICD10CM
44828699,Human immunodeficiency virus, type 2 [HIV-2],5-dig billing code,ICD9CM
4262565,Human immunodeficiency virus type 2,Organism,SNOMED
3654900,Encephalitis caused by human immunodeficiency virus type 2,Disorder,SNOMED
4087606,HIV disease resulting in lymphoid interstitial pneumonitis,Disorder,SNOMED
3655331,Esophagitis due to human immunodeficiency virus disease,Disorder,SNOMED
44794980,[X]HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue,Disorder,SNOMED
4089881,Acquired human immunodeficiency virus infection syndrome NOS,Disorder,SNOMED
4008081,Acute HIV infection,Disorder,SNOMED
434752,Positive serological AND/OR viral culture findings for human immunodeficiency virus,Disorder,SNOMED
37166066,Autonomic disorder due to HIV infection,Disorder,SNOMED
44795858,[X]HIV disease resulting in unspecified malignant neoplasm,Disorder,SNOMED
37162513,Enteritis of intestine due to human immunodeficiency virus disease,Disorder,SNOMED
44795859,[X]HIV disease resulting in multiple diseases classified elsewhere,Disorder,SNOMED
3654645,Bacterial infection due to human immunodeficiency virus infection,Disorder,SNOMED
37017284,Infective arthritis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
40484012,Non-Hodgkin lymphoma associated with Human immunodeficiency virus infection,Disorder,SNOMED
45767673,Lipodystrophy due to Human immunodeficiency virus infection and antiretroviral therapy,Disorder,SNOMED
37017282,Agranulocytosis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017254,Candidiasis of mouth co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017093,Heart disease co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017209,Hemophagocytic syndrome with human immunodeficiency virus infection,Disorder,SNOMED
36715476,Human immunodeficiency virus complicating pregnancy childbirth and the puerperium,Disorder,SNOMED
37017295,Infection caused by Nocardia co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
