TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Subsumes,45769839,Human immunodeficiency virus (HIV) II infection category B1,72621000119104,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Has causative agent,4262565,Human immunodeficiency virus type 2,36115006,Organism,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Mapped from,44828699,Human immunodeficiency virus, type 2 [HIV-2],079.53,5-dig billing code,ICD9CM
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Has Module,40642539,SNOMED CT core,900000000000207008,Model Comp,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Mapped from,45561777,Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere,B97.35,5-char billing code,ICD10CM
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Has status,40642537,Defined,900000000000073002,Model Comp,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Has pathology,40480911,Infectious process,441862004,Qualifier Value,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Subsumes,42538960,Asymptomatic human immunodeficiency virus A2 infection,90691000119105,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Mapped from,45920889,Human Immunodeficiency Virus II Infection,138406,Diagnosis,CIEL
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Mapped from,3239249,Hiv-2 infection,79019005,Clinical Finding,Nebraska Lexicon
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Subsumes,45773072,Human immunodeficiency virus (HIV) II infection category B2,72631000119101,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Mapped from,432554,Human immunodeficiency virus II infection,79019005,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Subsumes,3654900,Encephalitis caused by human immunodeficiency virus type 2,840442003,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Is a,439727,Human immunodeficiency virus infection,86406008,Disorder,SNOMED
432554,79019005,Human immunodeficiency virus II infection,SNOMED,Maps to,432554,Human immunodeficiency virus II infection,79019005,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,45547443,Unspecified human immunodeficiency virus [HIV] disease,B24,ICD10 Hierarchy,ICD10
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept was_a from,40380238,[X]HIV disease resulting in other viral infections,187441000,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017094,Disorder of gastrointestinal tract co-occurrent with human immunodeficiency virus infection,713300006,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,40380238,[X]HIV disease resulting in other viral infections,187441000,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017082,Splenomegaly co-occurrent with human immunodeficiency virus infection,713275003,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,44798365,[X]HIV disease resulting in other viral infections,441561000000104,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept was_a from,44798365,[X]HIV disease resulting in other viral infections,441561000000104,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,4008081,Acute HIV infection,111880001,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,40380250,[X]HIV disease resulting in other specified conditions,187452006,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept was_a from,40380250,[X]HIV disease resulting in other specified conditions,187452006,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Asso with finding,4160420,Lipodystrophy associated with Human immunodeficiency virus infection,431347008,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,44795102,[X] HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified,401191000000107,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,45942182,HIV disease resulting in lymphoid interstitial pneumonitis,156670,Diagnosis,CIEL
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,45946698,Human immunodeficiency virus infection with high viral load,162185,Finding,CIEL
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,3119908,Human immunodeficiency virus (HIV) disease resulting in other types of non-Hodgkin's lymphoma,186724008,Clinical Finding,Nebraska Lexicon
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37018755,Recurrent salmonella sepsis co-occurrent with human immunodeficiency virus infection,714083007,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,44795859,[X]HIV disease resulting in multiple diseases classified elsewhere,413321000000109,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,44795859,[X]HIV disease resulting in multiple diseases classified elsewhere,413321000000109,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Concept poss_eq from,44795859,[X]HIV disease resulting in multiple diseases classified elsewhere,413321000000109,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,3163543,Positive serological AND/OR viral culture findings for human immunodeficiency virus,78466009,Clinical Finding,Nebraska Lexicon
439727,86406008,Human immunodeficiency virus infection,SNOMED,Due to of,3663234,Pruritus due to human immunodeficiency virus infection,870271009,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37018711,Disorder of eye proper co-occurrent with human immunodeficiency virus infection,713299003,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,37017244,Disorder of respiratory system co-occurrent with human immunodeficiency virus infection,713484001,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,606040,Primary human immunodeficiency virus infection,1142045004,Disorder,SNOMED
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,3214945,Human immunodeficiency virus infection,86406008,Clinical Finding,Nebraska Lexicon
439727,86406008,Human immunodeficiency virus infection,SNOMED,Mapped from,3119895,Human immunodeficiency virus infection,186705005,Clinical Finding,Nebraska Lexicon
439727,86406008,Human immunodeficiency virus infection,SNOMED,Subsumes,1340516,Progression of Human immunodeficiency virus infection,OMOP5166171,Disorder,OMOP Extension
