CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
45769839,Human immunodeficiency virus (HIV) II infection category B1,Disorder,SNOMED
44828699,Human immunodeficiency virus, type 2 [HIV-2],5-dig billing code,ICD9CM
45561777,Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere,5-char billing code,ICD10CM
42538960,Asymptomatic human immunodeficiency virus A2 infection,Disorder,SNOMED
45920889,Human Immunodeficiency Virus II Infection,Diagnosis,CIEL
3239249,Hiv-2 infection,Clinical Finding,Nebraska Lexicon
45773072,Human immunodeficiency virus (HIV) II infection category B2,Disorder,SNOMED
432554,Human immunodeficiency virus II infection,Disorder,SNOMED
3654900,Encephalitis caused by human immunodeficiency virus type 2,Disorder,SNOMED
45547443,Unspecified human immunodeficiency virus [HIV] disease,ICD10 Hierarchy,ICD10
40380238,[X]HIV disease resulting in other viral infections,Disorder,SNOMED
37017094,Disorder of gastrointestinal tract co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017082,Splenomegaly co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
44798365,[X]HIV disease resulting in other viral infections,Disorder,SNOMED
4008081,Acute HIV infection,Disorder,SNOMED
40380250,[X]HIV disease resulting in other specified conditions,Disorder,SNOMED
4160420,Lipodystrophy associated with Human immunodeficiency virus infection,Disorder,SNOMED
44795102,[X] HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified,Disorder,SNOMED
45942182,HIV disease resulting in lymphoid interstitial pneumonitis,Diagnosis,CIEL
45946698,Human immunodeficiency virus infection with high viral load,Finding,CIEL
3119908,Human immunodeficiency virus (HIV) disease resulting in other types of non-Hodgkin's lymphoma,Clinical Finding,Nebraska Lexicon
37018755,Recurrent salmonella sepsis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
44795859,[X]HIV disease resulting in multiple diseases classified elsewhere,Disorder,SNOMED
3163543,Positive serological AND/OR viral culture findings for human immunodeficiency virus,Clinical Finding,Nebraska Lexicon
3663234,Pruritus due to human immunodeficiency virus infection,Disorder,SNOMED
37018711,Disorder of eye proper co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017244,Disorder of respiratory system co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
606040,Primary human immunodeficiency virus infection,Disorder,SNOMED
3214945,Human immunodeficiency virus infection,Clinical Finding,Nebraska Lexicon
3119895,Human immunodeficiency virus infection,Clinical Finding,Nebraska Lexicon
1340516,Progression of Human immunodeficiency virus infection,Disorder,OMOP Extension
42709912,Diffuse infiltrative lymphocytosis syndrome,Disorder,SNOMED
4089882,Human immunodef virus resulting in other disease,Disorder,SNOMED
42484274,HIV disease resulting in multiple diseases classified elsewhere,KCD7 code,KCD7
3120300,HIV disease resulting in multiple infections,Clinical Finding,Nebraska Lexicon
4201627,Aseptic meningitis due to human immunodeficiency virus infection,Disorder,SNOMED
4092689,HIV disease resulting in multiple infections,Disorder,SNOMED
40380240,HIV disease resulting in multiple infections,Disorder,SNOMED
42484279,HIV disease resulting in other specified conditions,KCD7 code,KCD7
3655867,Seborrheic dermatitis due to human immunodeficiency virus infection,Disorder,SNOMED
44794980,[X]HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue,Disorder,SNOMED
37017248,Infection caused by Pneumocystis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
44795877,[X]HIV disease resulting in other bacterial infections,Disorder,SNOMED
45937581,Patient on second-line antiretroviral treatment for HIV,Finding,CIEL
3655580,Mycosis due to human immunodeficiency virus infection,Disorder,SNOMED
44792335,Family history of human immunodeficiency virus,Context-dependent,SNOMED
44829737,Human immunodeficiency virus [HIV] disease,3-dig billing code,ICD9CM
37017262,Neuritis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
4093297,HIV disease resulting in mycobacterial infection,Disorder,SNOMED
4298853,Oral hairy leukoplakia associated with HIV disease,Disorder,SNOMED
4087606,HIV disease resulting in lymphoid interstitial pneumonitis,Disorder,SNOMED
40380245,[X]HIV disease resulting in other malignant neoplasms,Disorder,SNOMED
36687122,Human immunodeficiency virus infection with cognitive impairment,Disorder,SNOMED
37162220,Infectious mononucleosis caused by human immunodeficiency virus,Disorder,SNOMED
4186235,Leukoplakia of tongue associated with HIV disease,Disorder,SNOMED
37017263,Lymphadenopathy co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
40376599,[X]HIV disease resulting in multiple diseases classified elsewhere,Disorder,SNOMED
3086998,HTLV-III/LAV infection -RETIRED-,Clinical Finding,Nebraska Lexicon
40380241,[X]Hiv disease resulting in other infectious and parasitic diseases,Disorder,SNOMED
605345,Psoriasis exacerbated by human immunodeficiency virus infection,Disorder,SNOMED
3520467,HIV disease resulting in other types of non-Hodgkin's lymphoma,Disorder,SNOMED
40380243,[X]HIV disease resulting in other non-Hodgkin's lymphoma,Disorder,SNOMED
3654682,Chronic hepatitis C co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
3519572,Human immunodeficiency virus resulting in other disease,Disorder,SNOMED
37017132,Anemia co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
4211792,Immune recovery uveitis,Disorder,SNOMED
4210151,Human immunodeficiency virus counseling,Procedure,SNOMED
35205776,Human immunodeficiency virus [HIV] disease,3-char billing code,ICD10CM
44798219,[X]Unspecified human immunodeficiency virus [HIV] disease,Disorder,SNOMED
606044,Parasitic disease due to human immunodeficiency virus infection,Disorder,SNOMED
40288730,HTLV-III/LAV infection,Disorder,SNOMED
3580699,[X]Hiv disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue,Disorder,SNOMED
4188151,Hairy leukoplakia of tongue associated with HIV disease,Disorder,SNOMED
4237443,HIV infection with infection by another virus,Disorder,SNOMED
37167026,Motor neuron disease due to human immunodeficiency virus infection,Disorder,SNOMED
37017456,Aspergillosis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
762532,Maternal human immunodeficiency virus infection,Context-dependent,SNOMED
45769855,Human immunodeficiency virus (HIV) infection category B1,Disorder,SNOMED
40380247,[X]HIV disease resulting in multiple diseases classified elsewhere,Disorder,SNOMED
44797022,[X]HIV disease resulting in other specified conditions,Disorder,SNOMED
45941914,Human immunodeficiency virus disease resulting in other specified diseases,Diagnosis,CIEL
40403276,AIDS virus infection, NEC,Disorder,SNOMED
37017580,Microsporidiosis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
44796338,[X]Hiv disease resulting in other infectious and parasitic diseases,Disorder,SNOMED
37019042,Infection caused by Salmonella co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017453,Coccidiosis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
4083351,HIV-related gut disease - cause unknown,Disorder,SNOMED
3161148,Human immunodeficiency virus infection with infection caused by another virus,Clinical Finding,Nebraska Lexicon
4191703,Antenatal screening for human immunodeficiency virus,Procedure,SNOMED
37017265,Enlargement of liver co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017279,Disorder of peripheral nervous system co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
762873,Documentation of human immunodeficiency virus infection medication action plan,Procedure,SNOMED
37017209,Hemophagocytic syndrome with human immunodeficiency virus infection,Disorder,SNOMED
37017320,Malignant neoplastic disease co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
44798263,[X]HIV disease resulting in other non-Hodgkin's lymphoma,Disorder,SNOMED
37018063,Immune reconstitution inflammatory syndrome caused by human immunodeficiency virus infection,Disorder,SNOMED
37162512,Enteritis of small intestine due to human immunodeficiency virus disease,Disorder,SNOMED
37168542,Human immunodeficiency virus management program,Procedure,SNOMED
40482214,Hepatitis B associated with Human immunodeficiency virus infection,Disorder,SNOMED
45955892,Human immunodeficiency virus disease resulting in malignant neoplasm,Diagnosis,CIEL
44795981,[X]HIV disease resulting in other mycoses,Disorder,SNOMED
4241530,Asymptomatic human immunodeficiency virus infection,Disorder,SNOMED
37017093,Heart disease co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017254,Candidiasis of mouth co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
4093298,HIV disease resulting in other types of non-Hodgkin's lymphoma,Disorder,SNOMED
37017284,Infective arthritis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
44795858,[X]HIV disease resulting in unspecified malignant neoplasm,Disorder,SNOMED
37162513,Enteritis of intestine due to human immunodeficiency virus disease,Disorder,SNOMED
37166066,Autonomic disorder due to HIV infection,Disorder,SNOMED
43531586,Symptomatic human immunodeficiency virus infection,Disorder,SNOMED
36716522,Sequela of infection caused by Human immunodeficiency virus,Disorder,SNOMED
434752,Positive serological AND/OR viral culture findings for human immunodeficiency virus,Disorder,SNOMED
3119898,Human immunodeficiency virus with other clinical findings,Clinical Finding,Nebraska Lexicon
3661697,Papular pruritic eruption of skin due to human immunodeficiency virus infection,Disorder,SNOMED
4230566,Family history of human immunodeficiency virus infection,Context-dependent,SNOMED
4253472,Human immunodeficiency virus I infection,Disorder,SNOMED
4089881,Acquired human immunodeficiency virus infection syndrome NOS,Disorder,SNOMED
607384,Primary effusion lymphoma due to human immune deficiency virus infection,Disorder,SNOMED
37017579,Opportunistic mycosis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
40484012,Non-Hodgkin lymphoma associated with Human immunodeficiency virus infection,Disorder,SNOMED
45767673,Lipodystrophy due to Human immunodeficiency virus infection and antiretroviral therapy,Disorder,SNOMED
3529048,[X]HIV disease resulting in unspecified malignant neoplasm,Disorder,SNOMED
36715476,Human immunodeficiency virus complicating pregnancy childbirth and the puerperium,Disorder,SNOMED
45769856,Human immunodeficiency virus (HIV) infection category B2,Disorder,SNOMED
3655331,Esophagitis due to human immunodeficiency virus disease,Disorder,SNOMED
606930,Disorder of skin due to human immunodeficiency virus infection,Disorder,SNOMED
45915343,Positive Serological and/or Viral Culture Findings for Human Immunodeficiency Virus,Diagnosis,CIEL
44801397,[X]Human immunodeficiency virus disease,Disorder,SNOMED
762495,Human immunodeficiency virus education,Procedure,SNOMED
3119901,Human immunodeficiency virus disease resulting in mycobacterial infection,Clinical Finding,Nebraska Lexicon
40380251,[X]Unspecified human immunodeficiency virus [HIV] disease,Disorder,SNOMED
45561749,HIV disease resulting in other specified conditions,ICD10 code,ICD10
37017446,Infection caused by Cytomegalovirus co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
3654645,Bacterial infection due to human immunodeficiency virus infection,Disorder,SNOMED
3119899,Acquired human immunodeficiency virus infection syndrome NOS,Clinical Finding,Nebraska Lexicon
37017282,Agranulocytosis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017455,Pyrexia of unknown origin co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
45590847,HIV disease resulting in multiple diseases classified elsewhere,ICD10 code,ICD10
37017295,Infection caused by Nocardia co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
3655330,Eosinophilic folliculitis due to human immunodeficiency virus infection,Disorder,SNOMED
37019034,Neuralgia co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017283,Visual impairment co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
40380244,[X]Hiv disease resulting in other malignant neoplasms of lymphoid, hematopoietic and related tissue,Disorder,SNOMED
3119900,Human immunodef virus resulting in other disease,Clinical Finding,Nebraska Lexicon
40380234,[X]Human immunodeficiency virus disease,Disorder,SNOMED
37116831,Extrapulmonary tuberculosis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
3119905,Human immunodeficiency virus disease resulting in multiple infections,Clinical Finding,Nebraska Lexicon
40380246,[X]HIV disease resulting in unspecified malignant neoplasm,Disorder,SNOMED
40376617,[X]Hiv disease resulting in other malignant neoplasms of lymphoid, hematopoietic and related tissue,Disorder,SNOMED
37018935,Dermatophytosis co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
40380239,[X]HIV disease resulting in other mycoses,Disorder,SNOMED
4093296,Human immunodeficiency virus with other clinical findings,Disorder,SNOMED
37017454,Infection caused by herpes simplex virus co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017319,Disorder of central nervous system co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
4236860,Pediatric human immunodeficiency virus infection,Disorder,SNOMED
45915692,Human immunodeficiency virus (HIV) infection,Diagnosis,CIEL
3129469,AIDS virus infection, NEC -RETIRED-,Clinical Finding,Nebraska Lexicon
37017260,Disorder of kidney co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
4180254,Congenital human immunodeficiency virus infection,Disorder,SNOMED
40376592,(AIDS) or (HIV infection),Disorder,SNOMED
4087605,Human immunodeficiency virus with secondary cancers,Disorder,SNOMED
4064903,HIV screening,Procedure,SNOMED
40380235,[X]HIV disease resulting in other bacterial infections,Disorder,SNOMED
40376600,[X]HIV disease resulting in unspecified malignant neoplasm,Disorder,SNOMED
4298854,HIV seropositivity,Disorder,SNOMED
37017125,Disorder of skin co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
44813431,[X]HIV disease resulting in other malignant neoplasms,Disorder,SNOMED
37017124,Infection caused by Strongyloides co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
37017285,Acquired hemolytic anemia co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
606041,Pityriasis rubra pilaris due to human immunodeficiency virus infection,Disorder,SNOMED
3655333,Enteritis due to human immunodeficiency virus disease,Disorder,SNOMED
4241524,AIDS virus infection associated with pregnancy,Disorder,SNOMED
37017655,Disseminated atypical infection caused by Mycobacterium co-occurrent with human immunodeficiency virus infection,Disorder,SNOMED
42484280,Unspecified human immunodeficiency virus [HIV] disease,KCD7 code,KCD7
606047,Human immunodeficiency virus modified skin disease,Disorder,SNOMED
3654950,Encephalitis caused by human immunodeficiency virus type 1,Disorder,SNOMED
4314426,HIV infection with acute lymphadenitis,Disorder,SNOMED
45929456,Generalized Skin Infection due to AIDS,Diagnosis,CIEL
3333046,Acute human immunodeficiency virus seroconversion illness,Clinical Finding,Nebraska Lexicon
4227053,Myocarditis with AIDS (acquired immunodeficiency syndrome),Disorder,SNOMED
42484276,Acute HIV infection syndrome,KCD7 code,KCD7
45929598,Acute HIV Infection,Diagnosis,CIEL
45576260,Acute HIV infection syndrome,ICD10 code,ICD10
3417701,Vacuolar myelopathy,Clinical Finding,Nebraska Lexicon
45924914,Vacuolar Myelopathy,Diagnosis,CIEL
4045982,Vacuolar myelopathy,Disorder,SNOMED
3348072,Human immunodeficiency virus leucoencephalopathy,Clinical Finding,Nebraska Lexicon
4047624,Human immunodeficiency virus leukoencephalopathy,Disorder,SNOMED
3376452,Neuropathy caused by human immunodeficiency virus,Clinical Finding,Nebraska Lexicon
4048033,Neuropathy caused by human immunodeficiency virus,Disorder,SNOMED
40443170,Human immunodeficiency virus neuropathy,Disorder,SNOMED
3138677,Human immunodeficiency virus neuropathy,Clinical Finding,Nebraska Lexicon
3326029,Human immunodeficiency virus infection constitutional disease,Clinical Finding,Nebraska Lexicon
4087603,Human immunodeficiency virus infection constitutional disease,Disorder,SNOMED
