TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
1761709,100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
1761709,100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),LOINC,Mapped from,1761709,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),100733-5,Lab Test,LOINC
1761709,100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),LOINC,Maps to,1761709,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),100733-5,Lab Test,LOINC
1761709,100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),LOINC,Has method,1028907,Calculated,LP6165-7,LOINC Method,LOINC
1761709,100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
1761709,100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),LOINC,Has property,1029650,Mass Concentration,LP6827-2,LOINC Property,LOINC
1761709,100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),LOINC,Has system,1033211,Serum,LP7567-3,LOINC System,LOINC
1761709,100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),LOINC,Has component,1762517,Cholesterol.in LDL^corrected for Cholesterol.in lipoprotein (little a),LP433282-3,LOINC Component,LOINC
3001308,22748-8,Cholesterol in LDL [Moles/volume] in Serum or Plasma,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
3001308,22748-8,Cholesterol in LDL [Moles/volume] in Serum or Plasma,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3001308,22748-8,Cholesterol in LDL [Moles/volume] in Serum or Plasma,LOINC,Has system,1033306,Serum or Plasma,LP7576-4,LOINC System,LOINC
3001308,22748-8,Cholesterol in LDL [Moles/volume] in Serum or Plasma,LOINC,Mapped from,3001308,Cholesterol in LDL [Moles/volume] in Serum or Plasma,22748-8,Lab Test,LOINC
3001308,22748-8,Cholesterol in LDL [Moles/volume] in Serum or Plasma,LOINC,Maps to,3001308,Cholesterol in LDL [Moles/volume] in Serum or Plasma,22748-8,Lab Test,LOINC
3001308,22748-8,Cholesterol in LDL [Moles/volume] in Serum or Plasma,LOINC,Has property,1029726,Substance Concentration,LP6860-3,LOINC Property,LOINC
3001308,22748-8,Cholesterol in LDL [Moles/volume] in Serum or Plasma,LOINC,Has component,40795800,Cholesterol in LDL,LP15491-1,LOINC Component,LOINC
3008631,14155-6,Cholesterol in LDL [Percentile],LOINC,Has property,1029715,Percentile,LP6846-2,LOINC Property,LOINC
3008631,14155-6,Cholesterol in LDL [Percentile],LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3008631,14155-6,Cholesterol in LDL [Percentile],LOINC,Has scale type,3968295,SemiQn,LP436123-6,LOINC Scale,LOINC
3008631,14155-6,Cholesterol in LDL [Percentile],LOINC,Has system,1033306,Serum or Plasma,LP7576-4,LOINC System,LOINC
3008631,14155-6,Cholesterol in LDL [Percentile],LOINC,Mapped from,3008631,Cholesterol in LDL [Percentile],14155-6,Lab Test,LOINC
3008631,14155-6,Cholesterol in LDL [Percentile],LOINC,Maps to,3008631,Cholesterol in LDL [Percentile],14155-6,Lab Test,LOINC
3008631,14155-6,Cholesterol in LDL [Percentile],LOINC,Has component,40795800,Cholesterol in LDL,LP15491-1,LOINC Component,LOINC
3009966,18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LOINC,Has method,1028974,Direct assay,LP6230-9,LOINC Method,LOINC
3009966,18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LOINC,Has system,1033306,Serum or Plasma,LP7576-4,LOINC System,LOINC
3009966,18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LOINC,Maps to,3009966,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,18262-6,Lab Test,LOINC
3009966,18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LOINC,Mapped from,3009966,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,18262-6,Lab Test,LOINC
3009966,18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LOINC,Has component,40795800,Cholesterol in LDL,LP15491-1,LOINC Component,LOINC
3009966,18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LOINC,Has property,1029650,Mass Concentration,LP6827-2,LOINC Property,LOINC
