TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
132570,188645002,Leukemic reticuloendotheliosis of lymph nodes of head, face and neck,SNOMED,Mapped from,132570,Leukemic reticuloendotheliosis of lymph nodes of head, face and neck,188645002,Disorder,SNOMED
132570,188645002,Leukemic reticuloendotheliosis of lymph nodes of head, face and neck,SNOMED,Mapped from,44832151,Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck,202.41,5-dig billing code,ICD9CM
132570,188645002,Leukemic reticuloendotheliosis of lymph nodes of head, face and neck,SNOMED,Maps to,132570,Leukemic reticuloendotheliosis of lymph nodes of head, face and neck,188645002,Disorder,SNOMED
132572,92817004,Chronic myeloid leukemia in remission,SNOMED,Maps to,132572,Chronic myeloid leukemia in remission,92817004,Disorder,SNOMED
132572,92817004,Chronic myeloid leukemia in remission,SNOMED,Mapped from,132572,Chronic myeloid leukemia in remission,92817004,Disorder,SNOMED
132572,92817004,Chronic myeloid leukemia in remission,SNOMED,Mapped from,44832157,Chronic myeloid leukemia, in remission,205.11,5-dig billing code,ICD9CM
132572,92817004,Chronic myeloid leukemia in remission,SNOMED,Mapped from,45595721,Chronic myeloid leukemia, BCR/ABL-positive, in remission,C92.11,5-char billing code,ICD10CM
132850,94716000,Myeloid leukemia in remission,SNOMED,Subsumes,135762,Acute myeloid leukemia in remission,91860005,Disorder,SNOMED
132850,94716000,Myeloid leukemia in remission,SNOMED,Mapped from,132850,Myeloid leukemia in remission,94716000,Disorder,SNOMED
132850,94716000,Myeloid leukemia in remission,SNOMED,Maps to,132850,Myeloid leukemia in remission,94716000,Disorder,SNOMED
132850,94716000,Myeloid leukemia in remission,SNOMED,Subsumes,132572,Chronic myeloid leukemia in remission,92817004,Disorder,SNOMED
132850,94716000,Myeloid leukemia in remission,SNOMED,Mapped from,40649780,Subacute myeloid leukemia in remission,95277009,Disorder,SNOMED
132850,94716000,Myeloid leukemia in remission,SNOMED,Mapped from,40645853,Chronic monocytic leukemia in remission,92815007,Disorder,SNOMED
