CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
132570,Leukemic reticuloendotheliosis of lymph nodes of head, face and neck,Disorder,SNOMED
44832151,Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck,5-dig billing code,ICD9CM
132572,Chronic myeloid leukemia in remission,Disorder,SNOMED
44832157,Chronic myeloid leukemia, in remission,5-dig billing code,ICD9CM
45595721,Chronic myeloid leukemia, BCR/ABL-positive, in remission,5-char billing code,ICD10CM
135762,Acute myeloid leukemia in remission,Disorder,SNOMED
132850,Myeloid leukemia in remission,Disorder,SNOMED
40649780,Subacute myeloid leukemia in remission,Disorder,SNOMED
40645853,Chronic monocytic leukemia in remission,Disorder,SNOMED
44821762,Other myeloid leukemia, in remission,5-dig billing code,ICD9CM
136367,Erythroleukemia in remission,Disorder,SNOMED
37311926,Juvenile myelomonocytic leukemia in remission,Disorder,SNOMED
45576369,Myeloid leukemia, unspecified in remission,5-char billing code,ICD10CM
40647633,Monocytic leukemia in remission,Disorder,SNOMED
44829847,Unspecified myeloid leukemia, in remission,5-dig billing code,ICD9CM
40649778,Subacute monocytic leukemia in remission,Disorder,SNOMED
4143382,Subacute myeloid leukemia in remission,Disorder,SNOMED
45542665,Other myeloid leukemia, in remission,5-char billing code,ICD10CM
44820642,Unspecified lymphoid leukemia,4-dig nonbill code,ICD9CM
4091924,Lymphoid leukemia NOS,Disorder,SNOMED
1567688,Lymphoid leukemia, unspecified,4-char nonbill code,ICD10CM
4097580,Other lymphoid leukemia NOS,Disorder,SNOMED
3531793,Lymphoid leukaemia NOS,Disorder,SNOMED
44831015,Other lymphoid leukemia, without mention of having achieved remission,5-dig billing code,ICD9CM
134305,Acute lymphoid leukemia,Disorder,SNOMED
40647531,Lymphoid leukemia,Disorder,SNOMED
3531792,Other lymphoid leukaemia NOS,Disorder,SNOMED
1567687,Other lymphoid leukemia,4-char nonbill code,ICD10CM
40320654,Leukemia: [lymphoid] or [monocytic] or [myeloid] or [specific cell type],Disorder,SNOMED
4082460,Large granular lymphocytic leukemia,Disorder,SNOMED
4094549,Aleukemic lymphoid leukemia,Disorder,SNOMED
45576366,Other lymphoid leukemia, in relapse,5-char billing code,ICD10CM
134596,Lymphoid leukemia in remission,Disorder,SNOMED
44821758,Lymphoid leukemia,3-dig nonbill code,ICD9CM
40387126,Lymphosarcoma cell leukemia,Disorder,SNOMED
40276290,Other type of lymphoid leukemia (clinical),Disorder,SNOMED
4097100,Other lymphoid leukemia,Disorder,SNOMED
760934,Lymphoid leukemia in relapse,Disorder,SNOMED
44797629,[X]Other lymphoid leukaemia,Disorder,SNOMED
44824053,Other lymphoid leukemia,4-dig nonbill code,ICD9CM
44835414,Personal history of lymphoid leukemia,5-dig billing V code,ICD9CM
40385843,[X]Other lymphoid leukemia,Disorder,SNOMED
4038845,Hairy cell leukemia (clinical),Disorder,SNOMED
45595719,Lymphoid leukemia, unspecified not having achieved remission,5-char billing code,ICD10CM
132853,Lymphoid leukemia,Disorder,SNOMED
45586065,Lymphoid leukemia, unspecified, in relapse,5-char billing code,ICD10CM
1567680,Lymphoid leukemia,3-char nonbill code,ICD10CM
4001331,Prolymphocytic leukemia (clinical),Disorder,SNOMED
43021265,History of lymphoid leukemia,Context-dependent,SNOMED
44820643,Unspecified lymphoid leukemia, without mention of having achieved remission,5-dig billing code,ICD9CM
138379,Chronic lymphoid leukemia, disease,Disorder,SNOMED
4094550,Adult T-cell leukemia,Disorder,SNOMED
40352621,Leukemia: [lymphoid] or [monocytic] or [myeloid] or [specific cell type],Disorder,SNOMED
45595720,Other lymphoid leukemia not having achieved remission,5-char billing code,ICD10CM
136656,Subacute lymphoid leukemia,Disorder,SNOMED
133154,Plasma cell leukemia,Disorder,SNOMED
133158,Plasma cell leukemia in remission,Disorder,SNOMED
44821756,Plasma cell leukemia,4-dig nonbill code,ICD9CM
760936,Plasma cell leukemia in relapse,Disorder,SNOMED
40352619,(Plasma cell leukemia) or (immunoproliferative neoplasm NOS),Disorder,SNOMED
40387086,Plasma cell leukemia,Disorder,SNOMED
45557038,Plasma cell leukemia not having achieved remission,5-char billing code,ICD10CM
