TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,LOINC,Maps to,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,Lab Test,LOINC
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,LOINC,Has method,1028881,Automated count,LP6141-8,LOINC Method,LOINC
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,LOINC,Has component,40782521,Leukocytes,LP14419-3,LOINC Component,LOINC
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,LOINC,Has property,1029672,Number Concentration,LP6836-3,LOINC Property,LOINC
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,LOINC,Mapped from,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,Lab Test,LOINC
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,LOINC,Has system,1029919,Blood,LP7057-5,LOINC System,LOINC
3001657,12227-5,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,LOINC,Mapped from,3001657,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,12227-5,Lab Test,LOINC
3001657,12227-5,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,LOINC,Has system,1029919,Blood,LP7057-5,LOINC System,LOINC
3001657,12227-5,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3001657,12227-5,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
3001657,12227-5,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,LOINC,Has property,1029672,Number Concentration,LP6836-3,LOINC Property,LOINC
