CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
37174992,Metastatic carcinoma to submandibular gland,Disorder,SNOMED
4110432,Carcinoma of submandibular gland,Disorder,SNOMED
4307266,Adenoid cystic carcinoma of submandibular gland,Disorder,SNOMED
4310565,Mucoepidermoid carcinoma of submandibular gland,Disorder,SNOMED
4312691,Primary malignant neoplasm of submaxillary gland,Disorder,SNOMED
22557,Malignant tumor of submandibular gland,Disorder,SNOMED
40382399,Malignant neoplasm, overlapping lesion of larynx,Disorder,SNOMED
35206181,Malignant neoplasm of overlapping sites of larynx,4-char billing code,ICD10CM
22839,Overlapping malignant neoplasm of larynx,Disorder,SNOMED
24296,Primary malignant neoplasm of pituitary gland,Disorder,SNOMED
37167521,Primary pituitary carcinoma,Disorder,SNOMED
442134,Primary malignant neoplasm of craniopharyngeal duct,Disorder,SNOMED
35206306,Malignant neoplasm of pituitary gland,4-char billing code,ICD10CM
37166482,Primary adenocarcinoma of pituitary gland,Disorder,SNOMED
4180786,Malignant tumor of buccal mucosa,Disorder,SNOMED
4090225,Malignant neoplasm of other and unspecified parts of mouth,Disorder,SNOMED
3532708,Overlapping lesion of other and unspecified parts of mouth,Disorder,SNOMED
764948,Family history of malignant neoplasm of oral cavity,Context-dependent,SNOMED
4094718,Malignant neoplasm of other specified mouth parts,Disorder,SNOMED
4177101,Malignant tumor of floor of mouth,Disorder,SNOMED
4090226,Malignant tumor of vestibule of mouth,Disorder,SNOMED
4178963,Malignant tumor of gum,Disorder,SNOMED
43021269,History of malignant neoplasm of oral cavity,Context-dependent,SNOMED
25189,Malignant tumor of oral cavity,Disorder,SNOMED
4089520,Malignant tumor of labial mucosa,Disorder,SNOMED
37163662,Kaposi sarcoma of internal part of mouth,Disorder,SNOMED
3567952,History of malignant neoplasm of oral cavity,Context-dependent,SNOMED
40489483,Non-Hodgkin's lymphoma of oral cavity,Disorder,SNOMED
40486214,Malignant neoplasm of alveolus dentalis,Disorder,SNOMED
4090230,Malignant neoplasm of mouth NOS,Disorder,SNOMED
3531224,Malignant neoplasm of other and unspecified parts of mouth,Disorder,SNOMED
4314484,Metastatic malignant neoplasm to submaxillary gland,Disorder,SNOMED
4116235,Malignant tumor of salivary gland,Disorder,SNOMED
37204489,Malignant epithelial neoplasm of salivary gland,Disorder,SNOMED
439404,Primary malignant neoplasm of oral cavity,Disorder,SNOMED
4178965,Malignant tumor of retromolar area,Disorder,SNOMED
4169627,Squamous cell carcinoma of oral mucous membrane,Disorder,SNOMED
4094717,Overlapping lesion of other and unspecified parts of mouth,Disorder,SNOMED
40650395,Primary malignant neoplasm of mouth,Disorder,SNOMED
4094720,Malignant tumor of tonsillar pillar,Disorder,SNOMED
4178962,Malignant tumor of tongue,Disorder,SNOMED
4118988,Malignant tumor of frenum of lip,Disorder,SNOMED
3532710,Malignant neoplasm of mouth NOS,Disorder,SNOMED
4225833,Malignant tumor of vermilion border of lip,Disorder,SNOMED
37166647,Primary malignant glucagonoma of pancreas,Disorder,SNOMED
35206162,Malignant neoplasm of endocrine pancreas,4-char billing code,ICD10CM
25486,Primary malignant neoplasm of islets of Langerhans,Disorder,SNOMED
44826396,Malignant neoplasm of islets of langerhans,4-dig billing code,ICD9CM
37166228,Primary carcinoma of endocrine pancreas,Disorder,SNOMED
35206113,Malignant neoplasm of overlapping sites of esophagus,4-char billing code,ICD10CM
36715847,Primary squamous cell carcinoma of overlapping sites of esophagus,Disorder,SNOMED
40381851,Malignant neoplasm, overlapping lesion of esophagus,Disorder,SNOMED
25748,Overlapping malignant neoplasm of esophagus,Disorder,SNOMED
36715850,Primary adenocarcinoma of overlapping sites of esophagus,Disorder,SNOMED
40384864,Malignant neoplasm of aortic body,Disorder,SNOMED
