ATC_5th	ATC_name	brand_name	CONCEPT_ID	CONCEPT_CODE	CONCEPT_NAME	DOMAIN_ID	CONCEPT_CLASS_ID	STANDARD_CONCEPT	VOCABULARY_ID	VOCABULARY_NAME
A10BB03	tolbutamide; oral	orinase	19047751	568742	tolbutamide 500 MG [Orinase]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
A10BB03	tolbutamide; oral	hoechst rastinon	35137975	OMOP4795146	Tolbutamide 500 MG Oral Tablet [Hoechst Rastinon]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40893670	OMOP2091632	Tolbutamide Oral Tablet [Rastinon]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	40932960	OMOP2130922	Tolbutamide 500 MG Oral Tablet [Artosin]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	orabet	40955939	OMOP2153901	Tolbutamide Oral Tablet [Orabet]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	40964208	OMOP2162170	Tolbutamide 500 MG Oral Tablet [Rastinon] Box of 240	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	guabeta	41049470	OMOP2247432	Tolbutamide Oral Tablet [Guabeta]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	orabet	41057721	OMOP2255683	Tolbutamide 500 MG Oral Tablet [Orabet] Box of 120	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	rastinon	41089267	OMOP2287229	Tolbutamide 1000 MG Oral Tablet [Rastinon] Box of 2400	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41112172	OMOP2310134	Tolbutamide Oral Tablet [Artosin]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	artosin	41214458	OMOP2412420	Tolbutamide 1000 MG Oral Tablet [Artosin] Box of 30	Drug	Branded Drug Box	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	mobenol	44095248	OMOP1089879	Tolbutamide Oral Tablet [Mobenol]	Drug	Branded Drug Form	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	orinase	44098314	OMOP1092945	Tolbutamide 1000 MG Oral Tablet [Orinase]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	mobenol	44118333	OMOP1112964	Tolbutamide 500 MG [Mobenol]	Drug	Branded Drug Comp	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	mobenol	44124404	OMOP1119035	Tolbutamide 500 MG Oral Tablet [Mobenol]	Drug	Branded Drug	S	RxNorm Extension	OMOP RxNorm Extension
A10BB03	tolbutamide; oral	tol-tab	19034783	575377	tolbutamide 500 MG [Tol-Tab]	Drug	Branded Drug Comp	S	RxNorm	RxNorm (NLM)
