CONCEPT_CODE,CONCEPT_NAME,DOMAIN_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,VOCABULARY_ID,VOCABULARY_NAME,brand_name
OMOP4958558,atorvastatin 10 MG / metformin 1000 MG [LIPITO-M],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,lipito-m
OMOP4958564,atorvastatin 20 MG / metformin 750 MG Extended Release Oral Tablet [LIPITO-M],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,lipito-m
OMOP4958574,atorvastatin 10 MG / metformin 750 MG Extended Release Oral Tablet [LIPITO-M],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,lipito-m
OMOP4958588,atorvastatin 20 MG / metformin 500 MG [LIPITO-M],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,lipito-m
OMOP4958895,metformin 500 MG [K-MET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,k-met
OMOP4958559,atorvastatin 20 MG / metformin 750 MG Extended Release Oral Tablet [LIPIMET],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,lipimet
OMOP4958576,atorvastatin 10 MG / metformin 750 MG [LIPIMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,lipimet
OMOP4958586,atorvastatin 20 MG / metformin 500 MG [LIPIMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,lipimet
OMOP4958597,atorvastatin 10 MG / metformin 500 MG [ATOMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,atomet
OMOP4958599,atorvastatin / metformin Extended Release Oral Tablet [LIPIMET],Drug,Branded Drug Form,S,RxNorm Extension,OMOP RxNorm Extension,lipimet
OMOP4958733,metformin 1000 MG / rosuvastatin 10 MG [CLAVIS],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,clavis
OMOP4958734,metformin 1000 MG / rosuvastatin 10 MG [DUOMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,duomet
OMOP4958741,metformin 1000 MG / rosuvastatin 5 MG [DUOMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,duomet
OMOP4958743,metformin 750 MG / rosuvastatin 20 MG Extended Release Oral Tablet [ROSUMET],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,rosumet
OMOP4958745,metformin 750 MG / rosuvastatin 20 MG [ROSUMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,rosumet
OMOP4958758,metformin 750 MG / rosuvastatin 10 MG [DUOMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,duomet
OMOP4958760,metformin 750 MG / rosuvastatin 10 MG [ROSUMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,rosumet
OMOP4958772,metformin 750 MG / rosuvastatin 5 MG [DUOMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,duomet
OMOP4958773,metformin 750 MG / rosuvastatin 5 MG [ROSUMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,rosumet
OMOP4958776,metformin 500 MG / rosuvastatin 20 MG Extended Release Oral Tablet [ROSUMET],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,rosumet
OMOP4958778,metformin 500 MG / rosuvastatin 20 MG [ROSUMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,rosumet
OMOP4958788,metformin 500 MG / rosuvastatin 10 MG Extended Release Oral Tablet [ROSUTANMET],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,rosutanmet
OMOP4958790,metformin 500 MG / rosuvastatin 10 MG [CLAVIS],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,clavis
OMOP4958791,metformin 500 MG / rosuvastatin 10 MG [DUOMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,duomet
OMOP4958793,metformin 500 MG / rosuvastatin 10 MG [ROSUMET],Drug,Branded Drug Comp,S,RxNorm Extension,OMOP RxNorm Extension,rosumet
OMOP4958800,metformin 500 MG / rosuvastatin 5 MG Extended Release Oral Tablet [ROSUMET],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,rosumet
OMOP4958802,metformin 500 MG / rosuvastatin 5 MG Extended Release Oral Tablet [ROSUTANMET],Drug,Branded Drug,S,RxNorm Extension,OMOP RxNorm Extension,rosutanmet
