TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
619390,895382009,Prolonged intermittent renal replacement therapy,SNOMED,Subsumes,44783963,Sustained low-efficiency dialysis,698074000,Procedure,SNOMED
619390,895382009,Prolonged intermittent renal replacement therapy,SNOMED,Mapped from,619390,Prolonged intermittent renal replacement therapy,895382009,Procedure,SNOMED
619390,895382009,Prolonged intermittent renal replacement therapy,SNOMED,Has focus,192359,Renal failure syndrome,42399005,Disorder,SNOMED
619390,895382009,Prolonged intermittent renal replacement therapy,SNOMED,Has method,4231018,Filtration - action,360166003,Qualifier Value,SNOMED
619390,895382009,Prolonged intermittent renal replacement therapy,SNOMED,Has indir proc site,4271678,Kidney structure,64033007,Body Structure,SNOMED
619390,895382009,Prolonged intermittent renal replacement therapy,SNOMED,Maps to,619390,Prolonged intermittent renal replacement therapy,895382009,Procedure,SNOMED
801350,G1027,The number of adult patient-months in the denominator who were on maintenance hemodialysis under the care of the same practitioner or group partner as of the last hemodialysis session of the reporting month using a catheter continuously for less than t...,HCPCS,Mapped from,801350,The number of adult patient-months in the denominator who were on maintenance hemodialysis under the care of the same practitioner or group partner as of the last hemodialysis session of the reporting month using a catheter continuously for less than t...,G1027,HCPCS,HCPCS
801350,G1027,The number of adult patient-months in the denominator who were on maintenance hemodialysis under the care of the same practitioner or group partner as of the last hemodialysis session of the reporting month using a catheter continuously for less than t...,HCPCS,Maps to,801350,The number of adult patient-months in the denominator who were on maintenance hemodialysis under the care of the same practitioner or group partner as of the last hemodialysis session of the reporting month using a catheter continuously for less than t...,G1027,HCPCS,HCPCS
801351,G1026,The number of adult patient-months in the denominator who were on maintenance hemodialysis using a catheter continuously for three months or longer under the care of the same practitioner or group partner as of the last hemodialysis session of the repo...,HCPCS,Mapped from,801351,The number of adult patient-months in the denominator who were on maintenance hemodialysis using a catheter continuously for three months or longer under the care of the same practitioner or group partner as of the last hemodialysis session of the repo...,G1026,HCPCS,HCPCS
801351,G1026,The number of adult patient-months in the denominator who were on maintenance hemodialysis using a catheter continuously for three months or longer under the care of the same practitioner or group partner as of the last hemodialysis session of the repo...,HCPCS,Maps to,801351,The number of adult patient-months in the denominator who were on maintenance hemodialysis using a catheter continuously for three months or longer under the care of the same practitioner or group partner as of the last hemodialysis session of the repo...,G1026,HCPCS,HCPCS
