CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
44783963,Sustained low-efficiency dialysis,Procedure,SNOMED
619390,Prolonged intermittent renal replacement therapy,Procedure,SNOMED
192359,Renal failure syndrome,Disorder,SNOMED
4231018,Filtration - action,Qualifier Value,SNOMED
4271678,Kidney structure,Body Structure,SNOMED
801350,The number of adult patient-months in the denominator who were on maintenance hemodialysis under the care of the same practitioner or group partner as of the last hemodialysis session of the reporting month using a catheter continuously for less than t...,HCPCS,HCPCS
801351,The number of adult patient-months in the denominator who were on maintenance hemodialysis using a catheter continuously for three months or longer under the care of the same practitioner or group partner as of the last hemodialysis session of the repo...,HCPCS,HCPCS
1126186,Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomos...,HCPCS,HCPCS
1126187,Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomos...,HCPCS,HCPCS
1126188,Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomos...,HCPCS,HCPCS
1126203,Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomos...,HCPCS,HCPCS
4002872,Stabilizing hemodialysis,Procedure,SNOMED
4044535,Perfusion - action,Qualifier Value,SNOMED
4049844,Continuous arteriovenous hemofiltration,Procedure,SNOMED
4050867,Continuous arteriovenous hemodiafiltration,Procedure,SNOMED
46270932,Maintenance hemodiafiltration,Procedure,SNOMED
4050866,Continuous hemodiafiltration,Procedure,SNOMED
4049845,Hemodiafiltration,Procedure,SNOMED
4052538,Intermittent hemodiafiltration,Procedure,SNOMED
46270934,Emergency hemodiafiltration,Procedure,SNOMED
4049846,Continuous venovenous hemodiafiltration,Procedure,SNOMED
4104340,Venous structure,Body Structure,SNOMED
4050862,Intermittent hemodialysis with continuous ultrafiltration,Procedure,SNOMED
4051329,Continuous venovenous hemodialysis,Procedure,SNOMED
4050863,Continuous hemodialysis,Procedure,SNOMED
4051328,Continuous arteriovenous hemodialysis,Procedure,SNOMED
46270935,Maintenance hemofiltration,Procedure,SNOMED
37396069,Emergency hemofiltration,Procedure,SNOMED
4050865,Intermittent hemofiltration,Procedure,SNOMED
3525710,Haemofiltration,Undefined,SNOMED
4052537,Continuous hemofiltration,Procedure,SNOMED
4050864,Hemofiltration,Procedure,SNOMED
