SOURCE_CODE	SOURCE_VOCABULARY_ID	SOURCE_DOMAIN_ID	TARGET_CONCEPT_ID	TARGET_CONCEPT_NAME	TARGET_CONCEPT_CODE	TARGET_CONCEPT_CLASS_ID	TARGET_CONCEPT_VOCAB_ID
271649006	SNOMED	Measurement	37160570	Self reported systolic blood pressure	1162737008	Observable Entity	SNOMED
271649006	SNOMED	Measurement	4152194	Systolic blood pressure	271649006	Observable Entity	SNOMED
271649006	SNOMED	Measurement	4232915	Sitting systolic blood pressure	407554009	Observable Entity	SNOMED
271649006	SNOMED	Measurement	45769778	Systolic blood pressure of neonate at birth	708502007	Observable Entity	SNOMED
271649006	SNOMED	Measurement	4197167	24 hour systolic blood pressure	314464000	Observable Entity	SNOMED
271649006	SNOMED	Measurement	4161413	Systolic blood pressure on admission	399304008	Observable Entity	SNOMED
271649006	SNOMED	Measurement	4248525	Lying systolic blood pressure	407556006	Observable Entity	SNOMED
271649006	SNOMED	Measurement	44806887	Systolic blood pressure centile	814101000000107	Observable Entity	SNOMED
271649006	SNOMED	Measurement	44789315	Ambulatory systolic blood pressure	198081000000101	Observable Entity	SNOMED
271649006	SNOMED	Measurement	4292062	Standing systolic blood pressure	400974009	Observable Entity	SNOMED
271649006	SNOMED	Measurement	4217013	Systolic arterial pressure	72313002	Observable Entity	SNOMED
271649006	SNOMED	Measurement	37396683	Baseline systolic blood pressure	716579001	Observable Entity	SNOMED
