TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
4152194,271649006,Systolic blood pressure,SNOMED,Maps to,4152194,Systolic blood pressure,271649006,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,44789315,Ambulatory systolic blood pressure,198081000000101,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,44806887,Systolic blood pressure centile,814101000000107,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,4292062,Standing systolic blood pressure,400974009,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,4197167,24 hour systolic blood pressure,314464000,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,4232915,Sitting systolic blood pressure,407554009,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Has scale type,4149267,Quantitative,30766002,Qualifier Value,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,4217013,Systolic arterial pressure,72313002,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,37160570,Self reported systolic blood pressure,1162737008,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Inheres in,4014241,Structure of cardiovascular system,113257007,Body Structure,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,37396683,Baseline systolic blood pressure,716579001,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Has property,36716283,Pressure,722243006,Qualifier Value,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,4161413,Systolic blood pressure on admission,399304008,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Mapped from,4152194,Systolic blood pressure,271649006,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Characterizes,36716960,Systolic phase,723228002,Qualifier Value,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,45769778,Systolic blood pressure of neonate at birth,708502007,Observable Entity,SNOMED
4152194,271649006,Systolic blood pressure,SNOMED,Subsumes,4248525,Lying systolic blood pressure,407556006,Observable Entity,SNOMED
4161413,399304008,Systolic blood pressure on admission,SNOMED,Mapped from,4161413,Systolic blood pressure on admission,399304008,Observable Entity,SNOMED
4161413,399304008,Systolic blood pressure on admission,SNOMED,Inheres in,4014241,Structure of cardiovascular system,113257007,Body Structure,SNOMED
4161413,399304008,Systolic blood pressure on admission,SNOMED,Has scale type,4149267,Quantitative,30766002,Qualifier Value,SNOMED
